problema,D,M,N,T,n_ger,tim_null_ok,tim_ordem_ok,tim_pos_ok,soma_tger,t_total,t_aval,aval_le_ger,frac_ger_no_total,frac_aval,ideal_eq_minpop,nadir_eq_maxpop,nf1_confere,fbest_e_individuo,n_gens,k_hardstop,tentativas,clone_lo,clone_hi,clone_lo2,clone_hi2,clone_med,dentro_bracket,idade_med,idade_max,hits_no_mesmo_lote,n_hits_off
BBOB_F1,10,2,20,2,12,True,True,True,0.7549439668655396,4.443082,0.09356600000000005,True,0.16991447982853783,0.12393767498861907,12,12,12,0,12,15,235,0.1473958860422728,0.16007510204590916,0.14759245103646979,0.1602592849932276,0.14468085106382977,False,17.5,64,25,34
BBOB_F17,10,2,20,2,14,True,True,True,0.8800809979438782,4.813238,0.15306500000000006,True,0.18284593405600932,0.17392149172360707,14,14,14,0,14,15,275,0.25882668822807703,0.28162489392692314,0.2589144340795144,0.2816903759056078,0.2690909090909091,True,16.0,92,45,74
BBOB_F22,10,2,20,2,14,True,True,True,0.8646259903907776,4.641169,0.128314,True,0.18629487320775814,0.14840405149283917,14,14,14,0,14,4,264,0.23871062437615387,0.26284990099846156,0.2388180148211967,0.2629337179311779,0.23863636363636365,False,17.0,134,39,63
BBOB_F37,10,2,20,2,13,True,True,True,0.6403120160102844,4.617853,0.128517,True,0.13866011239645012,0.2007099613728564,13,13,13,0,13,2,242,0.15254681754375005,0.16562225904750008,0.15273835233140262,0.16580102484930914,0.16942148760330578,False,17.0,79,27,41
BBOB_F49,10,2,20,2,14,True,True,True,0.9612460732460022,5.21697,0.58248,True,0.18425370919250106,0.6059634636873379,14,14,14,0,14,10,270,0.26284990099846167,0.28430703577384625,0.26293371793117803,0.28436989847338356,0.25555555555555554,False,31.0,95,24,69
BBOB_F5,10,2,20,2,14,True,True,True,0.7574949860572815,4.972182,0.128612,True,0.1523465927146837,0.1697859423062563,14,14,14,0,14,10,270,0.2615088300750001,0.28430703577384625,0.2615939566472901,0.2843698984733835,0.25555555555555554,False,16.0,59,43,69
BBOB_F55,10,2,20,2,13,True,True,True,1.3302801847457886,5.473182,1.1418410000000005,True,0.24305425705664246,0.858346243966794,13,13,13,0,13,12,252,0.18450900788625005,0.19758444939000008,0.1846693295973963,0.1977320021153028,0.20238095238095238,False,17.0,62,40,51
DTLZ1,7,3,15,2,11,True,True,True,0.5569940209388733,4.304676,0.06758600000000002,True,0.12939278610954072,0.12134062029261383,11,11,11,0,11,3,153,0.08837833604316962,0.097442780765546,0.09034347933259107,0.09933710808057387,0.0784313725490196,False,20.0,54,6,12
DTLZ2,12,3,15,2,17,True,True,True,0.6338130235671997,4.289777,0.1135470000000003,True,0.1477496437617153,0.17914904834384732,17,17,17,0,17,13,253,0.057199289552297264,0.06013258645241506,0.057271261314617045,0.06020384207779634,0.04743083003952569,False,14.0,26,10,12
DTLZ3,12,3,15,2,18,True,True,True,0.6672579646110535,5.119199,0.11046900000000004,True,0.13034421295422458,0.16555666003086636,18,18,17,0,18,12,267,0.11871225101653246,0.12285337605199292,0.11876920496599477,0.12290931898460088,0.09737827715355805,False,14.0,81,17,26
DTLZ4,12,3,15,2,18,True,True,True,0.674564003944397,5.13918,0.12971000000000005,True,0.1312590732265453,0.19228716510448696,18,18,6,0,18,7,262,0.09110475078012957,0.09800662583923027,0.09116844484195427,0.09806863487296437,0.08015267175572519,False,14.0,43,15,21
DTLZ7,22,3,15,2,33,True,True,True,1.5489541292190552,7.844259,0.35829799999999995,True,0.19746340976490642,0.23131608176198545,33,33,26,0,33,14,494,0.1340100285335699,0.13625600666541746,0.1340100822603557,0.13625605985672032,0.10728744939271255,False,13.0,70,39,53
MMF1,2,2,20,2,3,True,True,True,0.40088197588920593,4.130395,0.022207999999999995,True,0.0970565710759397,0.05539785107758935,3,3,3,0,3,14,54,0.08125,0.16875,0.1234375,0.18906250000000002,0.24074074074074073,False,17.0,32,9,13
MMF11_L,2,2,20,2,3,True,True,True,0.40446099638938904,4.236753,0.027222,True,0.09546485159493344,0.0673043884157186,3,3,2,0,3,12,52,0.0875,0.175,0.128125,0.19374999999999998,0.21153846153846154,False,17.0,37,6,11
MMF16_20,20,3,15,2,29,True,True,True,0.8792550563812256,4.713688,0.20889,True,0.18653229835772447,0.23757611455740085,29,29,29,0,29,6,426,0.07937902567617713,0.08193963940766673,0.07937929185325608,0.08193990314275412,0.05868544600938967,False,13.0,40,21,25
MMF4,2,2,20,2,3,True,True,True,0.3929320275783539,4.281545,0.022692999999999998,True,0.09177342001038266,0.057752991375778925,3,3,3,0,3,11,51,0.05625,0.13125,0.1046875,0.1609375,0.19607843137254902,False,20.5,56,5,10
