label,alg,problema,n_final,n_nd,fantasia,igd7,hv7
swap_medium-lhs_DTLZ2,moead_media,DTLZ2,105,105,1.0,2.6858554259615,0.0
swap_medium-lhs_DTLZ2,b5m,DTLZ2,105,66,0.6285714285714286,0.06522322281380545,0.6152827350812673
swap_medium-lhs_DTLZ2,b5r,DTLZ2,100,90,0.9,0.03412091276374354,0.716343012900833
swap_medium-lhs_DTLZ2,e103,DTLZ2,100,70,0.7,0.07025194443304997,0.5978695098580783
swap_medium-lhs_MMF16_20,moead_media,MMF16_20,105,38,0.3619047619047619,0.10830292730507968,0.46842620714786226
swap_medium-lhs_MMF16_20,b5m,MMF16_20,105,40,0.38095238095238093,0.9554466398286063,0.0
swap_medium-lhs_MMF16_20,b5r,MMF16_20,88,58,0.6590909090909091,0.06630660776872828,0.6378168833494878
swap_medium-lhs_MMF16_20,e103,MMF16_20,100,100,1.0,0.507181524415269,0.033187889615820275
swap_medium-lhs_WFG9,moead_media,WFG9,50,1,0.02,0.47153908614885315,0.0021738633502173645
swap_medium-lhs_WFG9,b5m,WFG9,50,20,0.4,0.21726768369615437,0.12588889266660241
swap_medium-lhs_WFG9,b5r,WFG9,44,12,0.2727272727272727,0.26408256159596083,0.055613460100460727
swap_medium-lhs_WFG9,e103,WFG9,100,11,0.11,0.20985964404129137,0.06315514232083781
swap_medium-lhs_ZDT1,moead_media,ZDT1,50,18,0.36,0.2363395819929156,0.5018584019916155
swap_medium-lhs_ZDT1,b5m,ZDT1,50,22,0.44,1.274892214441708,0.0
swap_medium-lhs_ZDT1,b5r,ZDT1,48,7,0.14583333333333334,0.3293505882553668,0.26785924845592335
swap_medium-lhs_ZDT1,e103,ZDT1,100,92,0.92,0.007175837372302388,0.8624781144314376
swap_medium-lhs_ZDT4,moead_media,ZDT4,50,10,0.2,144.511610049797,0.0
swap_medium-lhs_ZDT4,b5m,ZDT4,50,2,0.04,194.10539922644278,0.0
swap_medium-lhs_ZDT4,b5r,ZDT4,8,2,0.25,147.9988858935588,0.0
swap_medium-lhs_ZDT4,e103,ZDT4,200,10,0.05,53.94899049075502,0.0
swap_medium-mvns_DTLZ2,moead_media,DTLZ2,105,4,0.0380952380952381,2.4272082225160583,0.0
swap_medium-mvns_DTLZ2,b5m,DTLZ2,105,34,0.3238095238095238,0.3006700608837325,0.1561382349382182
swap_medium-mvns_DTLZ2,b5r,DTLZ2,88,72,0.8181818181818182,0.14235330385163006,0.4504747360867461
swap_medium-mvns_DTLZ2,e103,DTLZ2,100,22,0.22,0.4788276948729606,0.01773605473705821
