alg,problema,D,M,N_nom,N_ef,n_gens,ch_total,ch_seed,ch_prole,slots,taxa,evento
nsga2,BBOB_F1,10,2,20,20,11,38,21,17,200,0.085,nsga2_gen
nsga2,BBOB_F17,10,2,20,20,11,30,21,9,200,0.045,nsga2_gen
nsga2,BBOB_F22,10,2,20,20,11,24,21,3,200,0.015,nsga2_gen
nsga2,BBOB_F37,10,2,20,20,11,24,21,3,200,0.015,nsga2_gen
nsga2,BBOB_F49,10,2,20,20,11,24,21,3,200,0.015,nsga2_gen
nsga2,BBOB_F5,10,2,20,20,11,27,21,6,200,0.03,nsga2_gen
nsga2,BBOB_F55,10,2,20,20,11,27,21,6,200,0.03,nsga2_gen
nsga2,DTLZ1,7,3,20,20,8,23,21,2,140,0.014285714285714285,nsga2_gen
nsga2,DTLZ2,12,3,20,20,13,25,21,4,240,0.016666666666666666,nsga2_gen
nsga2,DTLZ3,12,3,20,20,13,24,21,3,240,0.0125,nsga2_gen
nsga2,DTLZ4,12,3,20,20,13,22,21,1,240,0.004166666666666667,nsga2_gen
nsga2,DTLZ7,22,3,20,20,23,36,21,15,440,0.03409090909090909,nsga2_gen
nsga2,MMF1,2,2,20,20,3,22,21,1,40,0.025,nsga2_gen
nsga2,MMF11_L,2,2,20,20,3,22,21,1,40,0.025,nsga2_gen
nsga2,MMF16_20,20,3,20,20,21,31,21,10,400,0.025,nsga2_gen
nsga2,MMF4,2,2,20,20,3,21,21,0,40,0.0,nsga2_gen
nsga2,WFG1,22,2,20,20,23,33,21,12,440,0.02727272727272727,nsga2_gen
nsga2,WFG2,22,2,20,20,23,32,21,11,440,0.025,nsga2_gen
nsga2,WFG4,22,2,20,20,23,32,21,11,440,0.025,nsga2_gen
nsga2,WFG5,22,2,20,20,23,31,21,10,440,0.022727272727272728,nsga2_gen
nsga2,WFG9,22,2,20,20,23,31,21,10,440,0.022727272727272728,nsga2_gen
nsga2,ZDT1,30,2,20,20,31,40,21,19,600,0.03166666666666667,nsga2_gen
nsga2,ZDT3,30,2,20,20,31,32,21,11,600,0.018333333333333333,nsga2_gen
nsga2,ZDT4,10,2,20,20,11,27,21,6,200,0.03,nsga2_gen
nsga2,ZDT6,10,2,20,20,11,30,21,9,200,0.045,nsga2_gen
nsga3,BBOB_F1,10,2,20,20,11,23,21,2,200,0.01,nsga3_gen
nsga3,BBOB_F17,10,2,20,20,11,22,21,1,200,0.005,nsga3_gen
nsga3,BBOB_F22,10,2,20,20,11,32,21,11,200,0.055,nsga3_gen
nsga3,BBOB_F37,10,2,20,20,11,25,21,4,200,0.02,nsga3_gen
nsga3,BBOB_F49,10,2,20,20,11,22,21,1,200,0.005,nsga3_gen
nsga3,BBOB_F5,10,2,20,20,11,23,21,2,200,0.01,nsga3_gen
