problema,M,transicoes,viol,estagnadas,melhoras,frac_estag
BBOB_F1,2,20,0,8,12,0.4
BBOB_F17,2,20,0,9,11,0.45
BBOB_F22,2,20,0,11,9,0.55
BBOB_F37,2,20,0,12,8,0.6
BBOB_F49,2,20,0,14,6,0.7
BBOB_F5,2,20,0,10,10,0.5
BBOB_F55,2,20,0,9,11,0.45
DTLZ1,3,21,0,16,5,0.7619047619047619
DTLZ2,3,36,0,16,20,0.4444444444444444
DTLZ3,3,36,0,25,11,0.6944444444444444
DTLZ4,3,36,0,22,14,0.6111111111111112
DTLZ7,3,66,0,52,14,0.7878787878787878
MMF1,2,4,0,3,1,0.75
MMF11_L,2,4,0,2,2,0.5
MMF16_20,3,60,0,47,13,0.7833333333333333
MMF4,2,4,0,1,3,0.25
WFG1,2,44,0,28,16,0.6363636363636364
WFG2,2,44,0,26,18,0.5909090909090909
WFG4,2,44,0,26,18,0.5909090909090909
WFG5,2,44,0,26,18,0.5909090909090909
WFG9,2,44,0,31,13,0.7045454545454546
ZDT1,2,60,0,37,23,0.6166666666666667
ZDT3,2,60,0,41,19,0.6833333333333333
ZDT4,2,20,0,7,13,0.35
ZDT6,2,20,0,9,11,0.45
