prob,tem_params,tem_sigma,tem_run_id,tem_env,tem_timing,n_chaves_params,fit_series,fallback,n_retries,stack,matlab,algo_version,repo_hash,hdr_piso,hdr_surr,hdr_ops,sonda,n_blocos,motivo_parada
BBOB_F1,True,False,True,True,True,12,0,False,0,matlab-platemo,25.1.0.2973910 (R2025a) Update 1,piso-NSGAIII-PlatEMO4.15,,True,False,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),nao_se_aplica,0,<ausente>
BBOB_F17,True,False,True,True,True,12,0,False,0,matlab-platemo,25.1.0.2973910 (R2025a) Update 1,piso-NSGAIII-PlatEMO4.15,,True,False,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),nao_se_aplica,0,<ausente>
BBOB_F22,True,False,True,True,True,12,0,False,0,matlab-platemo,25.1.0.2973910 (R2025a) Update 1,piso-NSGAIII-PlatEMO4.15,,True,False,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),nao_se_aplica,0,<ausente>
BBOB_F37,True,False,True,True,True,12,0,False,0,matlab-platemo,25.1.0.2973910 (R2025a) Update 1,piso-NSGAIII-PlatEMO4.15,,True,False,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),nao_se_aplica,0,<ausente>
BBOB_F49,True,False,True,True,True,12,0,False,0,matlab-platemo,25.1.0.2973910 (R2025a) Update 1,piso-NSGAIII-PlatEMO4.15,,True,False,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),nao_se_aplica,0,<ausente>
BBOB_F5,True,False,True,True,True,12,0,False,0,matlab-platemo,25.1.0.2973910 (R2025a) Update 1,piso-NSGAIII-PlatEMO4.15,,True,False,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),nao_se_aplica,0,<ausente>
BBOB_F55,True,False,True,True,True,12,0,False,0,matlab-platemo,25.1.0.2973910 (R2025a) Update 1,piso-NSGAIII-PlatEMO4.15,,True,False,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),nao_se_aplica,0,<ausente>
DTLZ1,True,False,True,True,True,12,0,False,0,matlab-platemo,25.1.0.2973910 (R2025a) Update 1,piso-NSGAIII-PlatEMO4.15,,True,False,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),nao_se_aplica,0,<ausente>
DTLZ2,True,False,True,True,True,12,0,False,0,matlab-platemo,25.1.0.2973910 (R2025a) Update 1,piso-NSGAIII-PlatEMO4.15,,True,False,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),nao_se_aplica,0,<ausente>
DTLZ3,True,False,True,True,True,12,0,False,0,matlab-platemo,25.1.0.2973910 (R2025a) Update 1,piso-NSGAIII-PlatEMO4.15,,True,False,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),nao_se_aplica,0,<ausente>
