label,problema,D,M,soma_mu_ger1,soma_mu_ger1000,soma_mu_min,ger_do_min,melhora_pct,monotona_decrescente_pct,curva_20ck,pop_ger1,pop_ger1000,nd_mu_ger1,nd_mu_ger1000,nd_real_da_ultima_pop,colapso_nd
swap_big-lhs_DTLZ2,DTLZ2,12,3,2.584195137023926,2.2428202629089355,2.128422737121582,60,13.21,66.87,2.5842;2.1292;2.1704;2.1694;2.1844;2.1981;2.2117;2.2218;2.2274;2.238;2.2413;2.246;2.251;2.2442;2.2512;2.2462;2.2556;2.2534;2.2434;2.2428,76,105,45,40,61,1.525
swap_big-lhs_MMF16_20,MMF16_20,20,3,3.6431243419647217,2.9614129066467285,2.8112595081329346,53,18.71,75.08,3.6431;2.8117;2.8284;2.8539;2.8681;2.8839;2.8962;2.9148;2.9156;2.9269;2.9358;2.9525;2.9615;2.9641;2.9465;2.9551;2.9592;2.9569;2.9617;2.9614,71,105,38,37,79,2.1351
swap_big-lhs_WFG9,WFG9,22,2,5.217902660369873,4.39993143081665,4.267411231994629,89,15.68,91.79,5.2179;4.3859;4.3735;4.3328;4.334;4.3256;4.3296;4.3316;4.332;4.3213;4.3791;4.3701;4.3804;4.3657;4.4111;4.4188;4.4138;4.4048;4.4012;4.3999,35,46,3,4,16,4.0
swap_big-lhs_ZDT1,ZDT1,30,2,4.343005180358887,4.269399642944336,4.22327184677124,72,1.69,93.39,4.343;4.2318;4.2398;4.237;4.2385;4.2394;4.2417;4.2474;4.2503;4.2531;4.2563;4.2576;4.2631;4.2655;4.2694;4.2694;4.2694;4.2694;4.2694;4.2694,41,50,12,14,11,0.7857
swap_big-lhs_ZDT4,ZDT4,10,2,148.06942749023438,110.20252990722656,110.1751937866211,418,25.57,92.89,148.07;113.48;111.2;110.88;110.34;110.27;110.19;110.18;110.18;110.21;110.2;110.2;110.22;110.3;110.38;110.38;110.3;110.3;110.2;110.2,36,36,7,2,7,3.5
swap_big-mvns_DTLZ2,DTLZ2,12,3,2.5630106925964355,2.259352922439575,2.11700177192688,101,11.85,71.27,2.563;2.1373;2.1522;2.1506;2.1747;2.1878;2.201;2.2073;2.2098;2.2176;2.2196;2.2385;2.2497;2.2519;2.237;2.2421;2.2506;2.2585;2.2582;2.2594,78,102,33,33,37,1.1212
swap_big-mvns_MMF16_20,MMF16_20,20,3,3.6455154418945312,3.058638334274292,2.8946003913879395,54,16.1,66.67,3.6455;2.8946;2.9304;2.9373;2.9479;2.9621;2.9777;2.9897;3.0004;3.0323;3.0281;3.0426;3.0562;3.0693;3.0577;3.0518;3.0365;3.0451;3.0622;3.0586,69,102,31,41,69,1.6829
swap_big-mvns_WFG9,WFG9,22,2,5.372295379638672,5.177729606628418,5.103494644165039,185,3.62,89.99,5.3723;5.1844;5.164;5.1123;5.1271;5.1273;5.1233;5.1223;5.1087;5.1101;5.1116;5.1219;5.1392;5.1482;5.1926;5.1836;5.1846;5.1971;5.1721;5.1777,36,47,15,8,11,1.375
swap_big-mvns_ZDT1,ZDT1,30,2,3.162193775177002,2.9751691818237305,2.944340705871582,99,5.91,89.79,3.1622;2.9579;2.9798;2.9569;2.957;2.9563;2.9657;2.9635;2.9624;2.9612;2.9584;2.9539;2.9592;2.9684;3.0086;3.011;2.9974;2.9831;2.9752;2.9752,40,48,12,15,10,0.6667
swap_big-mvns_ZDT4,ZDT4,10,2,134.5426025390625,113.7055892944336,113.61792755126953,354,15.49,90.09,134.54;116.05;114.22;113.88;113.66;113.66;113.65;113.62;113.66;113.66;113.66;113.66;113.71;113.71;113.79;113.66;113.66;113.66;113.71;113.71,36,37,5,2,8,4.0
