label,problema,dist,obj,D,N_min,teto,distintos_sonda,distintos_busca,pts_por_folha_med
swap_big-lhs_DTLZ2,DTLZ2,lhs,0,12,120,416,323,255,58.0
swap_big-lhs_DTLZ2,DTLZ2,lhs,1,12,120,416,324,264,57.0
swap_big-lhs_DTLZ2,DTLZ2,lhs,2,12,120,416,327,164,57.0
swap_big-lhs_MMF16_20,MMF16_20,lhs,0,20,200,250,189,139,99.0
swap_big-lhs_MMF16_20,MMF16_20,lhs,1,20,200,250,184,137,104.5
swap_big-lhs_MMF16_20,MMF16_20,lhs,2,20,200,250,188,95,101.5
swap_big-lhs_WFG9,WFG9,lhs,0,22,220,227,169,92,111.0
swap_big-lhs_WFG9,WFG9,lhs,1,22,220,227,173,98,108.0
swap_big-lhs_ZDT1,ZDT1,lhs,0,30,300,166,128,104,156.0
swap_big-lhs_ZDT1,ZDT1,lhs,1,30,300,166,124,77,151.5
swap_big-lhs_ZDT4,ZDT4,lhs,0,10,100,500,256,240,78.0
swap_big-lhs_ZDT4,ZDT4,lhs,1,10,100,500,393,67,48.0
swap_big-mvns_DTLZ2,DTLZ2,mvns,0,12,120,416,327,125,31.0
swap_big-mvns_DTLZ2,DTLZ2,mvns,1,12,120,416,274,160,49.0
swap_big-mvns_DTLZ2,DTLZ2,mvns,2,12,120,416,273,99,40.0
swap_big-mvns_MMF16_20,MMF16_20,mvns,0,20,200,250,189,116,67.0
swap_big-mvns_MMF16_20,MMF16_20,mvns,1,20,200,250,165,131,86.0
swap_big-mvns_MMF16_20,MMF16_20,mvns,2,20,200,250,172,111,86.0
swap_big-mvns_WFG9,WFG9,mvns,0,22,220,227,168,116,75.0
swap_big-mvns_WFG9,WFG9,mvns,1,22,220,227,171,124,80.0
swap_big-mvns_ZDT1,ZDT1,mvns,0,30,300,166,115,107,162.0
swap_big-mvns_ZDT1,ZDT1,mvns,1,30,300,166,124,94,93.5
swap_big-mvns_ZDT4,ZDT4,mvns,0,10,100,500,319,268,43.0
swap_big-mvns_ZDT4,ZDT4,mvns,1,10,100,500,372,48,24.0
