problema,D,M,maxfe,n_linhas_1,n_init,n_iter,n_infill,cache_hits,c0,ledger_ok,u1_len,u1_dense,u1_sid_uniq,dupX,u2_ok,doe_dX,doe_hash_ok,termino,status,fe_final,cp_init,cache_ok,n_dedup_guard,dedup_total,gbest_ok_abs,gbest_naive_abs,gbest_ok_rel,gbest_max_abs,gbest_max_rel,norm_ok,norm_naive_ok,norm_max_rel,arq_ne_fe1,na_eq_pop,ei_ok_rel,ei_ok_abs,ei_max_rel,ei_falhas_rel,sid_match,n_sid_check,subset_id_ok,subset_ok,n_no_cap,n_treino_max,cap,ga_iters_ok,ga_pop_delta_set,ga_iters_min,ga_iters_max,theta_lo,theta_hi,theta_viol,n_mse_neg,n_ei_nan,nan_guard,ftm_nao_monot,e0_ei_eq,e0_monot,lam_grid_max,lam_distintos,lam_N,lam_max_rep,dist_min_zero,pop_gens,pop_gens_esperado,dup_last,dup_last_ok,pop_size_ok,pop_linhas,tim_linhas,tim_ok,tim_viol_sonda,tim_viol_eq_sonda,n_gens_sonda,sonda_cad_ok,Gmax,Gmax_impar,sonda_jsonl_ok,erro_fant_med,erro_fant_otimista
BBOB_F1,10,2,309,309,109,204,200,5,1,True,True,True,True,2,True,0.0,True,normal,ok,309,True,True,9,9,204,204,200,2.458506134783711e-09,4.9942352843050896e-05,204,204,4.004794219775433e-08,0,204,204,148,3.941822461097433e-14,0,201,204,204,204,179,134,134,204,"[np.int64(-2), np.int64(0)]",17,47,7.629394531249939e-05,15.874010519681866,0,0,0,0,3,204,8,9.9e-05,86,100,5,4,205,205,4,True,True,43255,204,204,103,True,103,True,204,False,True,0.06840441081925863,0.946078431372549
BBOB_F17,10,2,309,309,109,206,200,7,1,True,True,True,True,21,True,0.0,True,normal,ok,309,True,True,39,104,206,206,200,3.6343806610050766e-10,0.0012243932694130611,206,206,4.6385115875716184e-08,0,206,206,181,8.993149874444468e-15,0,200,206,206,206,181,134,134,206,"[np.int64(-2), np.int64(0)]",16,47,1e-05,20.0,0,0,0,0,2,206,1,9.9e-05,86,100,5,6,207,207,6,True,True,43884,206,206,104,True,104,True,206,False,True,0.10927857114705117,0.9951456310679612
BBOB_F22,10,2,309,309,109,264,200,65,1,True,True,True,True,35,True,0.0,True,normal,ok,309,True,True,24,29,264,264,261,2.059950935523469e-09,0.0016167016264910454,264,264,5.7059718353214895e-08,0,264,264,185,1.4917512294130525e-14,0,201,264,264,264,239,134,134,264,"[np.int64(-2), np.int64(0)]",14,47,1e-05,7.937005259841473,0,0,0,0,13,264,54,9.9e-05,95,100,7,64,265,265,64,True,True,63865,264,264,133,True,133,True,264,False,True,0.23098136249196233,0.9696969696969697
BBOB_F37,10,2,309,309,109,515,200,316,1,True,True,True,True,47,True,0.0,True,normal,ok,309,True,True,32,36,515,513,504,2.151946149053785e-09,0.0015659972952216574,515,515,4.209034364353353e-08,2,515,515,346,2.8148495202692693e-14,0,201,515,515,515,490,134,134,515,"[np.int64(-2), np.int64(0)]",9,47,1e-05,20.0,0,0,0,0,2,515,313,9.9e-05,99,100,13,315,516,516,315,True,True,189114,515,515,258,False,259,True,515,True,True,0.27010258919694297,0.9398058252427185
BBOB_F49,10,2,309,309,109,504,200,305,1,True,True,True,True,19,True,0.0,True,normal,ok,309,True,True,24,24,504,504,493,2.698417930074859e-08,0.0027616463687149036,504,494,2.80113228084149e-08,10,504,504,407,1.474899046646047e-14,0,201,504,504,504,479,134,134,504,"[np.int64(-2), np.int64(0)]",9,47,1e-05,20.0,0,0,0,0,4,504,291,9.9e-05,99,100,13,304,505,505,304,True,True,182305,504,504,253,True,253,True,504,False,True,0.24375639304466162,0.9642857142857143
BBOB_F5,10,2,309,309,109,214,200,15,1,True,True,True,True,9,True,0.0,True,normal,ok,309,True,True,88,90,214,213,208,5.7440602135860885e-09,0.0005236209784771711,214,214,5.093051669685562e-08,1,214,214,152,4.070827581489113e-14,0,202,214,214,214,189,134,134,214,"[np.int64(-2), np.int64(0)]",16,47,0.0029615618434934592,2.2272467953508617,0,0,0,0,3,214,4,9.9e-05,87,100,5,14,215,215,14,True,True,46440,214,214,108,True,108,True,214,False,True,0.06495122172215663,0.9158878504672897
BBOB_F55,10,2,309,309,109,201,200,2,1,True,True,True,True,3,True,0.0,True,normal,ok,309,True,True,2,2,201,201,197,3.562355305186671e-08,0.0005400675677027317,201,201,5.0082031943294474e-08,0,201,201,144,2.2639517567121947e-14,0,200,201,201,201,176,134,134,201,"[np.int64(-2), np.int64(0)]",17,47,3.2544232759908e-05,20.0,0,0,0,0,0,201,2,9.9e-05,85,100,5,1,202,202,1,True,True,42319,201,201,101,False,102,True,201,True,True,0.05750078408526388,0.8955223880597015
DTLZ1,7,3,216,216,76,153,140,14,1,True,True,True,True,0,True,0.0,True,normal,ok,216,True,True,147,4286,153,153,149,1.907977759841873e-07,0.5360771406586482,153,153,2.4700064586234845e-08,0,153,153,136,1.4459432557393865e-15,0,141,153,153,153,128,90,101,153,"[np.int64(-2), np.int64(0)]",22,66,1e-05,20.0,0,0,0,0,16,153,13,1.2e-05,68,91,6,13,154,154,13,True,True,23485,153,153,77,False,78,True,153,True,True,0.03233956852952486,0.8169934640522876
DTLZ2,12,3,371,371,131,240,240,1,1,True,True,True,True,0,True,0.0,True,normal,ok,371,True,True,77,867,240,240,237,1.4434699732493132e-08,0.013759563727996119,240,240,5.4210811416540374e-08,0,240,240,219,3.3863629161131722e-15,0,240,240,240,240,215,156,156,240,"[np.int64(-2), np.int64(0)]",14,39,1e-05,10.0,0,0,0,0,20,240,19,1.2e-05,84,91,9,0,241,241,0,True,True,60491,240,240,121,True,121,True,240,False,True,0.022680910710959942,0.9791666666666666
DTLZ3,12,3,371,371,131,240,240,1,1,True,True,True,True,1,True,0.0,True,normal,ok,371,True,True,228,3092,240,240,236,1.9829548443607183e-08,0.10050472039455934,240,240,3.95507371519397e-08,0,240,240,216,1.5258135432938593e-15,0,240,240,240,240,215,156,156,240,"[np.int64(-2), np.int64(0)]",14,39,1e-05,20.0,0,0,0,0,18,240,21,1.2e-05,84,91,9,0,241,241,0,True,True,60491,240,240,121,True,121,True,240,False,True,0.028901308423959375,0.8958333333333334
