problema,D,M,n_iter,n_ng_match,sg_ratio_med,sg_ratio_p90,frac_sg_maior,ei_gain_med,sg_rank_sel,sg_rank_greedy,theta_lo,theta_hi,theta_med_1,theta_med_last,n_theta_comp,n_sat_hi,n_sat_lo,hp_keys,fit1,fit_med,fit_ratio1,fit_last,frac_no_cap,drift_pos_cap,tempo_total,frac_fit,e0_len_min,e0_len_max,e0_frac_monot,n_dedup_ev,dedup_sum,dedup_max,ftm_sonda_min,ftm_sonda_max,n_front1_1,n_front1_last
BBOB_F1,10,2,204,90,1.0512157262189898,1.2095924630034864,1.0,6.986961497122972e-05,0.900354609929078,0.007083835139836746,7.629394531249939e-05,15.874010519681866,1.9577352162809603,0.07211836753642942,2040,0,0,corr;n;regr;sigma2;tempo_fit_s;theta,0.27404099702835083,0.1531830132007599,1.7889777421951294,0.13832299411296844,0.8333333333333334,-0.06376593058335099,277.40643310546875,0.11391489952802658,17,47,0.0392156862745098,9,9,1,108,306,7,41
BBOB_F17,10,2,206,73,1.0746579851296876,1.1782665787705846,1.0,6.366641619530482e-05,0.7213740458015268,0.03958333333333333,1e-05,20.0,4.92758677528465,1.5359275856137744,2060,49,162,corr;n;regr;sigma2;tempo_fit_s;theta,0.3459089994430542,0.13862448930740356,2.4952950477600098,0.15851999819278717,0.6893203883495146,-0.03757055032877833,272.0267639160156,0.10448949038982391,16,47,0.0048543689320388345,39,104,35,108,304,6,4
BBOB_F22,10,2,264,81,1.038528270190786,1.3527835173106013,1.0,0.0002132079620191,0.3805147058823529,0.02247191011235955,1e-05,7.937005259841473,1.3306778783356004,0.28939542943537955,2640,0,50,corr;n;regr;sigma2;tempo_fit_s;theta,0.36484000086784363,0.14700549840927124,2.481812000274658,0.14194299280643463,0.8143939393939394,-0.06415122333144141,359.9487609863281,0.10879674553871155,14,47,0.20454545454545456,24,29,2,108,305,5,16
BBOB_F37,10,2,515,111,1.0188177324794612,1.042535015030508,1.0,0.0001530287927322,0.4170731707317073,0.017657992565055763,1e-05,20.0,9.594603557501362,3.8990400611499454,5150,27,1,corr;n;regr;sigma2;tempo_fit_s;theta,0.310914009809494,0.15123799443244934,2.055793046951294,0.1154249981045723,0.8893203883495145,0.04994784158295811,692.7989501953125,0.11309956759214401,9,47,0.6077669902912621,32,36,2,108,301,5,9
BBOB_F49,10,2,504,82,1.0326092788615873,1.2494641564954414,1.0,0.00033865702704075,0.41676311728395066,0.011747082939135919,1e-05,20.0,5.745517003157426,2.3993448270378703,5040,118,24,corr;n;regr;sigma2;tempo_fit_s;theta,0.2591150104999542,0.1493934988975525,1.734446406364441,0.18022100627422333,0.9067460317460317,0.10683220681094256,661.7679443359375,0.11257970333099365,9,47,0.5773809523809523,24,24,1,108,307,5,20
BBOB_F5,10,2,214,47,1.0299506655817445,1.1974851246621492,1.0,8.591773922700212e-05,0.9921259842519685,0.0189873417721519,0.0029615618434934592,2.2272467953508617,0.572065844384802,0.12952286934845553,2140,0,0,corr;n;regr;sigma2;tempo_fit_s;theta,0.36285901069641113,0.14598900079727173,2.485522985458374,0.15137800574302673,0.4719626168224299,0.019764871917273594,281.140869140625,0.11245393753051758,16,47,0.018691588785046728,88,90,2,108,306,7,36
BBOB_F55,10,2,201,56,1.0295496430929538,1.1951199456701098,1.0,0.0003662844226249,0.9750746562993013,0.025332550860719873,3.2544232759908e-05,20.0,3.991846882027403,0.22843388779397703,2010,30,0,corr;n;regr;sigma2;tempo_fit_s;theta,0.2738560140132904,0.14936299622058868,1.8334929943084717,0.14305199682712555,0.8656716417910447,0.01916671506725248,260.321044921875,0.1127210408449173,17,47,0.009950248756218905,2,2,1,108,297,4,26
DTLZ1,7,3,153,83,1.0687174011285958,1.7763506152655848,1.0,0.0002611554738706,0.4479166666666667,0.04044117647058824,1e-05,20.0,0.4938202822728121,10.294890322549813,1071,188,155,corr;n;regr;sigma2;tempo_fit_s;theta,0.23319099843502045,0.028348000720143318,8.226012229919434,0.022938000038266182,0.0,,158.03904724121094,0.03230711817741394,22,66,0.08496732026143791,147,4286,74,75,214,15,16
DTLZ2,12,3,240,93,1.073485913800385,1.3312812542123373,1.0,0.0001235263021891,0.572,0.058823529411764705,1e-05,10.0,10.0,0.09757197930312893,2880,0,10,corr;n;regr;sigma2;tempo_fit_s;theta,0.37665098905563354,0.23336699604988098,1.6139856576919556,0.22433899343013763,0.5958333333333333,-0.07643499309137176,366.5286865234375,0.1524132788181305,14,39,0.07916666666666666,77,867,47,130,368,41,73
DTLZ3,12,3,240,121,1.1130831495315388,2.8704903978864658,1.0,0.0004769217183891,0.45714285714285713,0.023809523809523808,1e-05,20.0,10.0,12.127286166263241,2880,470,361,corr;n;regr;sigma2;tempo_fit_s;theta,0.3824940025806427,0.17285799980163574,2.212764263153076,0.16316500306129456,0.004166666666666667,,352.47967529296875,0.1161867082118988,14,39,0.0875,228,3092,102,130,369,11,24
DTLZ7,22,3,440,184,3.2598124082081332,32.32792023490502,1.0,0.0003401641915429,0.31971544715447153,0.0025641699978960655,1e-05,20.0,10.0,0.2151193177061936,9680,4,776,corr;n;regr;sigma2;tempo_fit_s;theta,3.5638859272003174,1.7232844829559326,2.068077564239502,2.037123918533325,0.3840909090909091,-0.1733267194255165,1728.97412109375,0.44113069772720337,8,21,0.15227272727272728,248,1119,72,240,679,10,75
MMF1,2,2,48,2,1.003788536760319,1.0067427494238677,1.0,6.215833099570769e-05,0.830565268065268,0.7886072261072261,0.03145488929588385,20.0,1.3919041855250367,10.015727444647942,96,14,0,corr;n;regr;sigma2;tempo_fit_s;theta,0.2067829966545105,0.004770999774336815,43.34164810180664,0.005557999946177006,0.3541666666666667,-0.19618843406440017,43.184669494628906,0.010627614334225655,74,250,0.125,6,18,5,20,59,7,13
MMF11_L,2,2,40,2,1.0129754311062185,1.0233558452128364,0.5,3.564648025343193e-07,0.3947172619047619,0.37276785714285715,0.0006373741347823577,20.0,0.8459708691207967,7.08052651150453,80,20,0,corr;n;regr;sigma2;tempo_fit_s;theta,0.16425199806690216,0.00425049988552928,38.642982482910156,0.003957999870181084,0.375,-0.05078931044580464,35.261695861816406,0.010147725231945515,84,250,0.025,0,0,0,20,59,9,13
MMF16_20,20,3,400,121,1.254877866793605,4.326932593713107,1.0,0.0002207877734877,0.5685654008438819,0.06327160493827161,1e-05,19.629335890310994,10.0,0.6353390386686556,8000,0,4181,corr;n;regr;sigma2;tempo_fit_s;theta,2.194709062576294,0.867450475692749,2.5300683975219727,0.558089017868042,0.09,-0.5884803667204194,1266.861572265625,0.32827994227409363,9,23,0.285,355,7403,112,218,616,51,136
MMF4,2,2,40,0,,,,,,,0.22097086912079608,20.0,18.408964152537145,12.499070530532592,80,3,0,corr;n;regr;sigma2;tempo_fit_s;theta,0.1284160017967224,0.004584500100463629,28.010906219482422,0.004585000220686197,0.375,-0.029928267471965975,34.66680145263672,0.009962095879018307,84,250,0.0,0,0,0,20,59,10,22
WFG2,22,2,440,159,1.3840838683468863,2.3455186013724107,1.0,0.000953727665646,0.46598639455782315,0.018518518518518517,1e-05,20.0,10.0,0.385705214196391,9680,78,1188,corr;n;regr;sigma2;tempo_fit_s;theta,3.7589969635009766,1.725311040878296,2.1787357330322266,1.6917999982833862,0.7704545454545455,-0.08864256420815099,1704.025146484375,0.45071735978126526,8,21,0.35,80,96,4,240,676,8,15
WFG4,22,2,440,94,1.3144009600161366,2.0286209020274266,1.0,0.00069907523331725,0.3429330065359477,0.03892530299282711,1e-05,20.0,10.0,1.9613995354889366,9680,31,535,corr;n;regr;sigma2;tempo_fit_s;theta,3.602423906326294,1.7642179727554321,2.041938066482544,1.6537280082702637,0.7272727272727273,0.006807697000042925,1743.373779296875,0.45384103059768677,8,21,0.33181818181818185,98,120,3,240,679,31,37
WFG5,22,2,440,91,1.2815385590822652,2.2313062450947947,1.0,0.0004733345809589,0.4947916666666667,0.056485355648535567,1e-05,17.515033530318686,10.0,0.38909976709222355,9680,0,1122,corr;n;regr;sigma2;tempo_fit_s;theta,3.589329957962036,1.7238914966583252,2.082108974456787,1.3295619487762451,0.7022727272727273,-0.04306157409422401,1741.015869140625,0.4459928870201111,8,21,0.2636363636363636,110,135,3,240,678,34,31
WFG9,22,2,440,101,1.1423236276976647,1.6566757669574064,1.0,0.0012680423064849,0.30603448275862066,0.009114583333333334,1e-05,20.0,10.0,2.7868942674533206,9680,135,1156,corr;n;regr;sigma2;tempo_fit_s;theta,3.647552013397217,1.7093005180358887,2.133944272994995,1.3268109560012817,0.6681818181818182,-0.0346217526146703,1751.177490234375,0.43899890780448914,8,21,0.2545454545454545,122,147,2,240,679,15,23
ZDT1,30,2,603,182,6.0565143520462215,53.6798950530533,1.0,9.359601927551546e-05,0.20076411490024054,0.0008055059770878299,1e-05,20.0,10.0,0.3710459187272254,18090,21,259,corr;n;regr;sigma2;tempo_fit_s;theta,3.7892136573791504,2.6699445247650146,1.41921067237854,2.421376943588257,0.2620232172470978,0.023267298327225263,2582.74609375,0.7135359644889832,6,16,0.16417910447761194,423,2571,117,328,927,15,52
