problema,D,M,J_ncic,J_nsel,J_sig_rel1e6,J_sig_rel1e5,J_sig_maxrel,J_X_new,J_X_old,J_X_miss,J_cyc_ok,J_X_old_vs_cache,U11_relerr_med,U11_otimista,L_sum_dfe,L_5n,L_cache_tot,L_cache_init,L_cache_opt_cic,L_ident,L_fe_last_cic,L_maxfe,L_resto,L_hardstop,L_resto_le4,L_hs_iff_resto,S_G,S_nb,S_formula_ok,S_last,S_last_eq_G,S_finalprobe_impar,R_rsid_nn,R_online_rows,R_frac_w1,R_frac_w20,R_frac_tot
BBOB_F1,10,2,40,200,40,40,5.572161077166938e-08,198,2,0,40,2,0.0008733021095395088,0.48484848484848486,197,200,4,1,3,True,306,309,3,1,True,True,41,22,True,41,True,True,7063,67750,0.5468581687612208,0.057569296375266525,0.10425092250922509
BBOB_F17,10,2,40,200,40,40,5.540301896847189e-08,200,0,0,40,0,1.236884355545044,0.7525,200,200,1,1,0,True,309,309,0,0,True,True,40,21,True,40,True,False,4814,63123,0.536776724419745,0.06018657839301836,0.07626380241750233
BBOB_F22,10,2,40,200,40,40,5.891290703867886e-08,200,0,0,40,0,0.9134497940540314,0.7625,200,200,1,1,0,True,309,309,0,0,True,True,40,21,True,40,True,False,4657,60203,0.5231235784685367,0.05566325117695929,0.07735494908891584
BBOB_F37,10,2,40,200,40,40,5.8241620734625234e-08,200,0,0,40,0,0.41769954562187195,0.84,200,200,1,1,0,True,309,309,0,0,True,True,40,21,True,40,True,False,4801,59160,0.555155010814708,0.05710227272727273,0.0811528059499662
BBOB_F49,10,2,40,200,40,40,5.756105857105935e-08,197,3,0,40,3,0.24130205810070038,0.751269035532995,197,200,4,1,3,True,306,309,3,1,True,True,41,22,True,41,True,True,7253,62529,0.5563829787234043,0.06327714838353136,0.1159941787010827
BBOB_F5,10,2,42,210,42,42,5.526151764599007e-08,199,11,0,42,11,0.012970291078090668,0.5829145728643216,197,210,14,1,13,True,306,309,3,1,True,True,43,23,True,43,True,True,8591,72536,0.5700483091787439,0.060719640179910044,0.11843774125951252
BBOB_F55,10,2,40,200,40,40,5.7118604248636546e-08,198,2,0,40,2,0.06806747242808342,0.5580808080808081,198,200,3,1,2,True,307,309,2,1,True,True,41,22,True,41,True,True,6621,59065,0.6493506493506493,0.0632617527568195,0.11209684246169474
DTLZ1,7,3,28,140,28,28,5.585748134235178e-08,139,1,0,28,1,0.6061742901802063,0.5827338129496403,139,140,2,1,1,True,215,216,1,1,True,True,29,16,True,29,True,True,3833,28293,0.5474308300395256,0.10073382254836558,0.1354752058813134
DTLZ2,12,3,48,240,48,48,5.6884402463765286e-08,240,0,0,48,0,0.16634442657232285,0.5027777777777778,240,240,1,1,0,True,371,371,0,0,True,True,48,25,True,48,True,False,6862,65807,0.5773564165979664,0.07170484974709908,0.10427462124090142
DTLZ3,12,3,48,240,48,48,5.7363198098395337e-08,240,0,0,48,0,0.44686079025268555,0.5208333333333334,240,240,1,1,0,True,371,371,0,0,True,True,48,25,True,48,True,False,7570,53998,0.5737704918032787,0.09283625730994152,0.140190377421386
DTLZ4,12,3,48,240,48,48,5.588922995283867e-08,239,1,0,48,1,1.437852144241333,0.6666666666666667,239,240,2,1,1,True,370,371,1,1,True,True,49,26,True,49,True,True,3568,43881,0.37418655097613884,0.10218376596621344,0.08131081789384928
DTLZ7,22,3,98,490,98,98,5.729116838648459e-08,444,46,0,98,46,0.0,0.16816816816816815,437,490,55,1,53,True,678,681,3,1,True,True,99,51,True,99,True,True,14602,108518,0.687909469922573,0.0900626678603402,0.13455832212167568
MMF1,2,2,8,40,8,8,5.602694563031511e-08,39,1,0,8,1,0.5499715805053711,0.5769230769230769,39,40,2,1,1,True,60,61,1,1,True,True,9,6,True,9,True,True,833,12709,0.5086206896551724,0.05834464043419267,0.06554410260445354
MMF11_L,2,2,8,40,8,8,4.752818961930288e-08,40,0,0,8,0,0.07557198405265808,0.325,40,40,1,1,0,True,61,61,0,0,True,True,8,5,True,8,True,False,603,13048,0.5555555555555556,0.05290322580645161,0.04621397915389332
MMF16_20,20,3,80,400,80,80,5.743287665626823e-08,400,0,0,80,0,0.20761573314666748,0.49666666666666665,400,400,1,1,0,True,619,619,0,0,True,True,80,41,True,80,True,False,14051,85175,0.6112412177985949,0.11320754716981132,0.16496624596419138
MMF4,2,2,8,40,8,8,5.529874093312912e-08,39,1,0,8,1,0.31440430879592896,0.6282051282051282,39,40,2,2,1,False,60,61,1,1,True,True,9,6,True,9,True,True,759,12978,0.5465587044534413,0.054901960784313725,0.0584835876098012
WFG1,22,2,89,445,89,89,5.774980180481099e-08,437,8,0,89,8,0.28338637948036194,0.5755148741418764,436,445,10,1,9,True,677,681,4,1,True,True,90,46,True,90,True,False,14377,138962,0.3031932773109244,0.07618924842078123,0.1034599386882745
WFG2,22,2,94,470,94,94,5.916449636920892e-08,438,32,0,94,32,0.045632317662239075,0.6974885844748858,437,470,34,1,33,True,678,681,3,1,True,True,95,49,True,95,True,True,26007,174288,0.6050528789659224,0.0655118809682434,0.14921853483888736
WFG4,22,2,92,460,92,92,5.5110122691775204e-08,440,20,0,92,20,0.11308298632502556,0.6704545454545454,438,460,23,1,22,True,679,681,2,1,True,True,93,48,True,93,True,True,21191,170881,0.5254197761194029,0.08265783765270009,0.12401027615709177
WFG5,22,2,88,440,88,88,5.711891045787799e-08,437,3,0,88,3,0.08680251240730286,0.6064073226544623,437,440,4,2,3,False,678,681,3,1,True,True,89,46,True,89,True,True,18445,164774,0.5857404021937843,0.06573212392507952,0.11194120431621493
WFG9,22,2,90,450,90,90,5.8725580418131625e-08,440,10,0,90,10,0.321603387594223,0.6954545454545454,440,450,11,1,10,True,681,681,0,0,True,True,90,46,True,90,True,False,25769,156308,0.5456553755522827,0.08927250308261406,0.1648604038181027
ZDT1,30,2,120,600,120,120,5.8457844581236136e-08,599,1,0,120,1,0.0021863800939172506,0.2671118530884808,599,600,2,1,1,True,928,929,1,1,True,True,121,62,True,121,True,True,24575,220965,0.6704331450094162,0.05217540547498498,0.11121670852849999
ZDT3,30,2,131,655,131,131,5.8968893679351306e-08,599,56,0,131,56,0.006539568770676851,0.2654424040066778,599,655,57,1,56,True,928,929,1,1,True,True,132,67,True,132,True,False,28053,245101,0.6595513748191028,0.0535184896239663,0.11445485738532278
ZDT4,10,2,43,215,43,43,5.5573625023314186e-08,202,13,0,43,13,0.16562439501285553,0.4628712871287129,199,215,17,1,16,True,308,309,1,1,True,True,44,23,True,44,True,False,11000,53841,0.6101804123711341,0.09207077326343381,0.2043052692186252
ZDT6,10,2,40,200,40,40,5.7008806686869495e-08,200,0,0,40,0,0.31134094297885895,0.5475,200,200,1,1,0,True,309,309,0,0,True,True,40,21,True,40,True,False,4230,60415,0.5135379061371841,0.058319039451114926,0.07001572457171232
