label,problema,alg,n_final,n_nd,fantasia,igd_plus,hv,igd,gd,spacing,sigma_nn_med,sigma_nn_mean,x_unicos
BBOB_F1,BBOB_F1,b5m,50,27,0.54,0.08709293582915997,0.8757733791872327,0.15181221236747927,0.09336511378523468,0.014316286870722677,1.392002522945404,1.4296030712127685,50
BBOB_F1,BBOB_F1,b5r,48,28,0.5833333333333334,0.08608217308211402,0.8712015741040198,0.17537140088677972,0.06258514606097665,0.012791698481684027,1.392002522945404,1.392002522945404,48
BBOB_F1,BBOB_F1,moead_media,50,29,0.58,0.057109701971287015,0.9262436567510618,0.11167418365601348,0.0522731816337563,0.016414204699832593,1.392002522945404,1.550418963432312,50
BBOB_F1,BBOB_F1,c311,50,17,0.34,0.20226216714496442,0.6817583241964288,0.23667126368959288,0.15373115127719872,0.023752387815456435,2.9274792671203613,3.4245497155189515,50
BBOB_F1,BBOB_F1,e103,100,99,0.99,0.006707131941329389,1.0268755406557037,0.02354621296664727,0.0021195443215489625,0.006286171096156248,1.9410144090652466,2.081491804122925,98
BBOB_F17,BBOB_F17,b5m,50,7,0.14,0.4867828447730065,0.39335880374667254,0.5142187344155275,0.03849418794723366,0.0369153804991293,11.524231433868408,11.524231433868408,25
BBOB_F17,BBOB_F17,b5r,29,3,0.10344827586206896,0.36581343682732054,0.5381528963519732,0.40973091667852696,0.022302528306134092,0.007272655881387476,17.39158344268799,17.39158344268799,29
BBOB_F17,BBOB_F17,moead_media,50,50,1.0,0.5603489390410448,0.3115960169957207,0.5880524367223087,0.04362519997589296,0.0,11.524231433868408,11.524231433868408,1
BBOB_F17,BBOB_F17,c311,2,1,0.5,0.4330362768845093,0.46012042521295615,0.4716104066100502,0.014884302014814435,0.0,25.044121742248535,25.044121742248535,2
BBOB_F17,BBOB_F17,e103,100,9,0.09,0.0809068278140177,1.0039655088435206,0.13844394335065371,0.06411965372480233,0.04855126414005688,26.08085060119629,24.797709589004516,100
BBOB_F22,BBOB_F22,b5m,50,22,0.44,0.7521703519166867,0.1322645038398847,0.7528203232574218,0.6957977960577707,0.034872347671622846,4.895319104194641,4.477847833633422,48
BBOB_F22,BBOB_F22,b5r,39,5,0.1282051282051282,0.7383553006966405,0.1379115131700106,0.7394748517693891,0.6811058935653825,0.007310368357754044,3.986033320426941,4.36728071860778,39
BBOB_F22,BBOB_F22,moead_media,50,17,0.34,0.7410118190857242,0.14327075377091925,0.7416981708263309,0.6907889771134235,0.021116681672024365,4.895319104194641,4.589362697601318,48
BBOB_F22,BBOB_F22,c311,14,2,0.14285714285714285,4.805768382200147,0.0,4.805768382200147,6.098061993463503,0.0,15.954562187194824,15.900265863963536,14
BBOB_F22,BBOB_F22,e103,100,20,0.2,0.4649127323552117,0.4546381554234699,0.4679446613272383,0.28247718069124356,0.055029070873791865,7.281742572784424,7.534208326339722,100
BBOB_F37,BBOB_F37,b5m,50,9,0.18,0.24136246529028876,0.5709400650881025,0.24367369156765054,0.23259544298890647,0.07646249197675506,8.62694525718689,11.406338605880737,50
BBOB_F37,BBOB_F37,b5r,50,7,0.14,0.2544229591165837,0.5600397868739374,0.2977603552373724,0.22318242846682157,0.024300063521436533,8.62694525718689,8.57754791021347,50
BBOB_F37,BBOB_F37,moead_media,50,3,0.06,0.5958907309822424,0.22183119126832823,0.5985233970006376,0.519595001194655,0.08673510702749027,11.136806011199951,13.6586607670784,50
BBOB_F37,BBOB_F37,c311,50,5,0.1,1.987471031562861,0.0,1.987471031562861,2.0116846228031484,0.5322246337783192,15.745953559875488,17.33238314628601,50
BBOB_F37,BBOB_F37,e103,100,5,0.05,0.3101446345657044,0.39286951878392024,0.3344564855235214,0.19736736559570617,0.004565620840516143,12.566916704177856,12.043912144899368,100
BBOB_F49,BBOB_F49,b5m,50,15,0.3,0.6222845835110263,0.3224566530872475,0.6608855993174291,0.21580358663677984,0.02082918459268235,8.554320216178894,8.34645076751709,28
BBOB_F49,BBOB_F49,b5r,46,2,0.043478260869565216,0.7328149888815487,0.20124039157178375,0.7631445486120751,0.2742552218025707,0.0,14.346888065338135,13.19188007582789,46
