label,problema,tier,dist,M,sig_busca_med,sig_busca_mediana,sig_sonda_med,sig_sonda_mediana,razao_busca_sonda,zero_share_busca,zero_share_sonda,sig_ini10,sig_fim10,deriva,sig_cv_sonda,prior_sqrt1000
BBOB_F1,BBOB_F1,main,lhs,2,1.2586553836647432,1.2269366383552551,5.6128515883237124,5.426329135894775,0.22424526354537777,0.0,0.0,1.562794856415163,1.1917857727284504,0.7625989859361603,0.3346937941058025,False
BBOB_F17,BBOB_F17,main,lhs,2,18.109625972414726,18.60717010498047,19.336880304920673,19.444025993347168,0.9365329715469333,0.0,0.0,18.567695310887167,18.02005486589564,0.970505739359563,0.2940613048385424,False
BBOB_F22,BBOB_F22,main,lhs,2,4.359676803992624,5.788260459899902,10.765396638172865,10.261983871459961,0.4049713123001626,0.0,0.0,6.402141214372639,4.334576068461275,0.6770509933036568,0.37590517411031493,False
BBOB_F37,BBOB_F37,main,lhs,2,6.665117042274216,9.660365104675293,15.383967318999767,14.590005874633789,0.4332508581217896,0.0,0.0,8.022698744813038,6.274687096918289,0.7821167535394619,0.4735732577074077,False
BBOB_F49,BBOB_F49,main,lhs,2,12.905034015608912,12.690701484680176,14.667720342737436,13.923410415649414,0.8798254748563366,0.0,0.0,16.31826312587423,11.130624964858498,0.6820961813766678,0.46335958031141905,False
BBOB_F5,BBOB_F5,main,lhs,2,2.154728617689486,2.5347964763641357,7.1468556330561634,6.793475389480591,0.30149323399276134,0.0,0.0,2.433242900426571,2.073238993857919,0.8520476905509352,0.3809834330025688,False
BBOB_F55,BBOB_F55,main,lhs,2,7.112376516391318,6.312124729156494,6.0013605688422915,5.749842405319214,1.185127344841963,0.0,0.0,14.330291186891753,3.6551689837244483,0.2550659254619973,0.35184578226051755,False
DTLZ1,DTLZ1,main,lhs,3,18.613447625680266,14.392685413360596,23.06671184142828,21.908809661865234,0.8069397907095773,0.0,0.0,19.95444252799898,17.719117516349897,0.8879785787795074,0.30247769424301313,False
DTLZ2,DTLZ2,main,lhs,3,0.10537672113417733,0.04810401424765587,0.2891323719910346,0.14098439365625381,0.3644583980981723,0.0,0.0,0.1275043164270477,0.10226532867030406,0.8020538561831021,0.9898035614912152,False
DTLZ3,DTLZ3,main,lhs,3,31.62277603149414,31.62277603149414,31.622776028760274,31.62277603149414,1.0000000000864524,0.0,0.0,31.62277603149414,31.62277603149414,1.0,1.7698093474010778e-08,True
DTLZ4,DTLZ4,main,lhs,3,0.09351634499139115,0.09091195464134216,0.14712757680717234,0.15672554820775986,0.6356139822377086,0.0,0.0,0.10261489733935969,0.08714036658722689,0.8491980097104548,0.22272589359736858,False
DTLZ7,DTLZ7,main,lhs,3,0.46120960782282877,0.0,0.45202153525413014,0.46208085119724274,1.0203266257293095,0.5447008568612087,0.30138333333333334,0.5259407726817109,0.3985175894521134,0.7577233220009137,0.835168736824518,False
MMF1,MMF1,main,lhs,2,0.26155928396053485,0.03521324321627617,0.7740282273209897,0.1344086155295372,0.3379195676956444,0.0,0.0,0.43146941823119367,0.2167865032554025,0.502437702639778,1.125451300780087,False
MMF11_L,MMF11_L,main,lhs,2,0.10953708512275065,0.017408158630132675,0.37549526719698334,0.3083638846874237,0.29171362382388677,0.4260401395278297,0.211475,0.18451897148621055,0.09975427765389805,0.5406180017719906,0.9921100215916729,False
MMF16_20,MMF16_20,main,lhs,3,0.26326852658713623,0.25758054852485657,0.20581488023294756,0.2018827423453331,1.2791520529961724,0.0,0.0,0.31879238958769723,0.1162172213206255,0.3645545662835062,0.24038375946585963,False
MMF4,MMF4,main,lhs,2,0.05511822741430817,0.018304551020264626,0.13306738088049525,0.07496152445673943,0.4142129126582012,0.0,0.0,0.12292350022546021,0.041767609897458736,0.3397853935240263,1.162792259346656,False
WFG1,WFG1,main,lhs,2,0.045022751033477734,0.03954979404807091,0.031194249323499387,0.030333811417222023,1.4433029167193647,0.0,0.0,0.06954185214768858,0.023486024755942404,0.33772503939159215,0.278445711798026,False
WFG2,WFG2,main,lhs,2,0.2918956142315181,0.15094555914402008,0.5102071600133553,0.37173376977443695,0.5721119519841261,0.0,0.0,0.5529144123494709,0.16841872764716018,0.30460180433985634,0.7793188516855863,False
WFG4,WFG4,main,lhs,2,0.5213596428173426,0.40996794402599335,0.610854578660056,0.578073650598526,0.8534922402660456,0.0,0.0,1.0598243943650392,0.23048688336078665,0.2174764843933185,0.26497253651070213,False
WFG5,WFG5,main,lhs,2,0.48159690677908695,0.3418799340724945,0.6878224293295294,0.6160045266151428,0.7001762173538518,0.0,0.0,1.1211941901328681,0.2585462412357947,0.23059898411099997,0.40077233280409125,False
WFG9,WFG9,main,lhs,2,0.5633106961404649,0.36153659224510193,0.8516418531015515,0.7804594039916992,0.6614408323040631,0.0,0.0,1.3337285817764493,0.21540180976148585,0.16150348182130364,0.3510522869301993,False
ZDT1,ZDT1,main,lhs,2,0.14620579880533538,0.15377943962812424,0.22939091847731033,0.08290189877152443,0.6373652443429098,0.2753617698310478,0.023,0.19589383251998932,0.12050742652933419,0.6151670268487774,0.8570810353280656,False
ZDT3,ZDT3,main,lhs,2,0.3108258644005972,0.34224796295166016,0.28958386299881383,0.36912861466407776,1.0733535397373657,0.4159846418106497,0.296925,0.3610344730490475,0.2536848910068144,0.7026611305684115,0.750214525464745,False
ZDT4,ZDT4,main,lhs,2,3.5387223220061395,1.6379277259111404,7.695314103483429,2.0302722603082657,0.45985417546559537,0.46379977366634206,0.45975,5.6078253649209495,3.2038417659172334,0.5713162513865829,1.0528570317704329,False
ZDT6,ZDT6,main,lhs,2,0.20081380217181444,0.21298817545175552,0.11280466845291667,0.1076187901198864,1.7801905269162839,0.0,0.0,0.30962922278816335,0.14893410918501734,0.48100792245605467,0.416810241784271,False
swap_medium-lhs_DTLZ2,DTLZ2,medium,lhs,3,0.02336435689010054,0.008150900714099407,0.08496207544760545,0.031360652297735214,0.2749974829005785,0.0,0.0,0.031632673404933635,0.021879832988680337,0.6916845980291952,1.17625764181859,False
swap_medium-lhs_MMF16_20,MMF16_20,medium,lhs,3,0.2929247130807306,0.15300238132476807,0.5068920396027465,0.20508268475532532,0.5778838296815569,0.0,0.0,0.6015145243810257,0.1426088615563047,0.2370829893144359,0.9623130451705953,False
swap_medium-lhs_WFG9,WFG9,medium,lhs,2,0.5835110993455698,0.4290291368961334,0.8457343446388841,0.7775108516216278,0.6899460841864241,0.0,0.0,1.315909659259137,0.29151354272032104,0.221530057682261,0.3385662375227148,False
swap_medium-lhs_ZDT1,ZDT1,medium,lhs,2,0.07391215399793345,0.06145109236240387,0.04116796708208276,0.036874791607260704,1.7953802248861037,0.4929397797312317,0.458425,0.06787710400129583,0.053670828108083116,0.7907059220891112,1.9673729356573448,False
swap_medium-lhs_ZDT4,ZDT4,medium,lhs,2,5.187770616252482,1.2308654338121414,11.101254925960035,5.5323056392371655,0.4673138893622736,0.0,0.0,12.894486723883816,5.091508489672654,0.3948593378472294,1.0134373109179569,False
swap_medium-mvns_DTLZ2,DTLZ2,medium,mvns,3,0.0350085061352692,0.012041797861456871,0.16178827137903232,0.06633192673325539,0.2163846973384888,0.0,0.0,0.07062394807045592,0.021886341233600087,0.30989971293824886,1.2493818017819875,False
swap_medium-mvns_MMF16_20,MMF16_20,medium,mvns,3,0.37640538197425616,0.23405005037784576,0.8207994815873603,0.5051483511924744,0.4585838446758256,0.0,0.0,0.8505691347481501,0.13784619839619902,0.16206348521806482,0.754178720769622,False
swap_medium-mvns_WFG9,WFG9,medium,mvns,2,0.7597769423025914,0.633002758026123,1.1141800738397987,1.0236255526542664,0.681915751449559,0.0,0.0,1.471967949943586,0.3512560187957693,0.2386302084968843,0.3334098719408371,False
swap_medium-mvns_ZDT1,ZDT1,medium,mvns,2,0.08898368117837405,0.06839688867330551,0.35595828564340193,0.22187462449073792,0.24998345246419595,0.4456395495631975,0.18775,0.1260307771287093,0.05880857664018639,0.46662075708799255,1.0161942042337153,False
swap_medium-mvns_ZDT4,ZDT4,medium,mvns,2,3.5299877832569475,1.2817890793085098,11.954779812166453,2.75322026014328,0.29527836051521894,0.0,0.0,15.714417719504759,2.2632399167835886,0.14402314849849332,1.047641375454086,False
swap_small-lhs_DTLZ2,DTLZ2,small,lhs,3,0.10537672113417733,0.04810401424765587,0.2891323719910346,0.14098439365625381,0.3644583980981723,0.0,0.0,0.1275043164270477,0.10226532867030406,0.8020538561831021,0.9898035614912152,False
swap_small-lhs_MMF16_20,MMF16_20,small,lhs,3,0.26326852658713623,0.25758054852485657,0.20581488023294756,0.2018827423453331,1.2791520529961724,0.0,0.0,0.31879238958769723,0.1162172213206255,0.3645545662835062,0.24038375946585963,False
swap_small-lhs_WFG9,WFG9,small,lhs,2,0.5633106961404649,0.36153659224510193,0.8516418531015515,0.7804594039916992,0.6614408323040631,0.0,0.0,1.3337285817764493,0.21540180976148585,0.16150348182130364,0.3510522869301993,False
swap_small-lhs_ZDT1,ZDT1,small,lhs,2,0.14620579880533538,0.15377943962812424,0.22939091847731033,0.08290189877152443,0.6373652443429098,0.2753617698310478,0.023,0.19589383251998932,0.12050742652933419,0.6151670268487774,0.8570810353280656,False
swap_small-lhs_ZDT4,ZDT4,small,lhs,2,3.5387223220061395,1.6379277259111404,7.695314103483429,2.0302722603082657,0.45985417546559537,0.46379977366634206,0.45975,5.6078253649209495,3.2038417659172334,0.5713162513865829,1.0528570317704329,False
swap_small-mvns_DTLZ2,DTLZ2,small,mvns,3,0.10352629575962252,0.04418864846229553,0.425028910402162,0.21829336136579514,0.243574715098006,0.0,0.0,0.18551847601971808,0.08041267990808774,0.43344836392220565,1.0003985140214777,False
swap_small-mvns_MMF16_20,MMF16_20,small,mvns,3,0.3140264182130723,0.2500663697719574,0.40760819588055214,0.4002295881509781,0.7704124239569914,0.0,0.0,0.587255696901458,0.09690726764671902,0.1650171605963665,0.2772798980454458,False
swap_small-mvns_WFG9,WFG9,small,mvns,2,0.5361343011515401,0.3897748589515686,1.0829209989149124,1.0155856609344482,0.4950816372466201,0.0,0.0,1.3367735280227584,0.30543559328482445,0.22848716471562597,0.34079350194759783,False
swap_small-mvns_ZDT1,ZDT1,small,mvns,2,0.06020101124789104,0.06081772223114967,0.16540794182227145,0.17840626090765,0.36395478103812084,0.4675337795176159,0.3249,0.07583357060451823,0.04337790304795359,0.5720145141809938,0.8891796066140055,False
swap_small-mvns_ZDT4,ZDT4,small,mvns,2,6.071035269742828,2.3775180727243423,11.691597509699177,2.9918636232614517,0.5192648194317661,0.2762453133369041,0.255275,15.403972084569698,5.666564146263186,0.3678638285731143,1.0373254429472831,False
