label,problema,M,NRV,ngen,ok_distintos,share_distintos,defice_med,defice_max
BBOB_F1,BBOB_F1,2,50,828,315,0.3804347826086957,1.2596618357487923,21
BBOB_F17,BBOB_F17,2,50,2461,378,0.15359609914668834,8.869971556277935,48
BBOB_F22,BBOB_F22,2,50,1144,148,0.12937062937062938,5.119755244755245,47
BBOB_F37,BBOB_F37,2,50,814,640,0.7862407862407862,0.457002457002457,20
BBOB_F49,BBOB_F49,2,50,919,22,0.023939064200217627,3.821545157780196,41
BBOB_F5,BBOB_F5,2,50,879,112,0.12741751990898748,2.5267349260523324,36
BBOB_F55,BBOB_F55,2,50,942,160,0.16985138004246284,3.5870488322717624,22
DTLZ1,DTLZ1,3,105,870,0,0.0,30.066666666666666,93
DTLZ2,DTLZ2,3,105,504,250,0.49603174603174605,1.2817460317460319,47
DTLZ3,DTLZ3,3,105,1077,0,0.0,34.5803156917363,103
DTLZ4,DTLZ4,3,105,2312,668,0.2889273356401384,4.2076124567474045,94
DTLZ7,DTLZ7,3,105,785,2,0.0025477707006369425,13.803821656050955,91
MMF1,MMF1,2,50,909,0,0.0,8.66006600660066,30
MMF11_L,MMF11_L,2,50,848,7,0.008254716981132075,5.308962264150943,23
MMF16_20,MMF16_20,3,105,595,243,0.4084033613445378,2.235294117647059,52
MMF4,MMF4,2,50,865,38,0.04393063583815029,4.49364161849711,22
WFG1,WFG1,2,50,935,371,0.3967914438502674,2.0128342245989304,20
WFG2,WFG2,2,50,923,75,0.08125677139761647,5.360780065005417,24
WFG4,WFG4,2,50,937,57,0.060832443970117396,4.6350053361792956,20
WFG5,WFG5,2,50,930,27,0.02903225806451613,5.118279569892473,25
WFG9,WFG9,2,50,906,110,0.12141280353200883,4.172185430463577,30
ZDT1,ZDT1,2,50,878,0,0.0,9.446469248291573,24
ZDT3,ZDT3,2,50,921,0,0.0,8.381107491856678,21
ZDT4,ZDT4,2,50,3845,626,0.16280884265279583,1.7703511053315995,47
ZDT6,ZDT6,2,50,950,24,0.02526315789473684,4.36,22
swap_medium-lhs_DTLZ2,DTLZ2,3,105,408,347,0.8504901960784313,0.5294117647058824,42
swap_medium-lhs_MMF16_20,MMF16_20,3,105,512,187,0.365234375,5.62890625,56
swap_medium-lhs_WFG9,WFG9,2,50,905,41,0.045303867403314914,5.111602209944752,25
swap_medium-lhs_ZDT1,ZDT1,2,50,852,32,0.03755868544600939,4.916666666666667,21
swap_medium-lhs_ZDT4,ZDT4,2,50,5465,1596,0.2920402561756633,1.1729185727355902,46
swap_medium-mvns_DTLZ2,DTLZ2,3,105,454,339,0.7466960352422908,0.9052863436123348,42
swap_medium-mvns_MMF16_20,MMF16_20,3,105,647,228,0.35239567233384855,4.539412673879443,51
swap_medium-mvns_WFG9,WFG9,2,50,954,0,0.0,7.211740041928721,19
swap_medium-mvns_ZDT1,ZDT1,2,50,864,6,0.006944444444444444,6.265046296296297,25
swap_medium-mvns_ZDT4,ZDT4,2,50,3660,905,0.24726775956284153,1.7937158469945356,47
swap_small-lhs_DTLZ2,DTLZ2,3,105,504,250,0.49603174603174605,1.2817460317460319,47
swap_small-lhs_MMF16_20,MMF16_20,3,105,595,243,0.4084033613445378,2.235294117647059,52
swap_small-lhs_WFG9,WFG9,2,50,906,110,0.12141280353200883,4.172185430463577,30
swap_small-lhs_ZDT1,ZDT1,2,50,878,0,0.0,9.446469248291573,24
swap_small-lhs_ZDT4,ZDT4,2,50,3845,626,0.16280884265279583,1.7703511053315995,47
swap_small-mvns_DTLZ2,DTLZ2,3,105,557,194,0.348294434470377,2.5727109515260325,48
swap_small-mvns_MMF16_20,MMF16_20,3,105,507,208,0.41025641025641024,4.226824457593688,59
swap_small-mvns_WFG9,WFG9,2,50,944,2,0.00211864406779661,5.871822033898305,21
swap_small-mvns_ZDT1,ZDT1,2,50,854,7,0.00819672131147541,5.453161592505855,21
swap_small-mvns_ZDT4,ZDT4,2,50,5548,1665,0.30010814708002886,1.1000360490266763,47
