label,problema,ngen,gens_validas,gens_desc_maior,share_desc_maior,n_mantidos,n_descartados,sigma_mantido,sigma_descartado,razao
BBOB_F1,BBOB_F1,828,826,429,0.5193704600484261,32224,7335,1.2620428478525794,1.27202780791422,1.0079117441049092
BBOB_F17,BBOB_F17,2461,2135,1147,0.5372365339578454,26580,11094,18.18712290630063,18.189793725910924,1.0001468522329813
BBOB_F22,BBOB_F22,1144,1107,425,0.3839205058717254,29270,10021,4.457196022025087,4.459135284512487,1.000435085752975
BBOB_F37,BBOB_F37,814,808,297,0.36757425742574257,34735,4733,6.701376248477308,6.68023407665554,0.9968451000156018
BBOB_F49,BBOB_F49,919,917,320,0.3489640130861505,29614,9926,13.112780448140237,12.913031879109866,0.984766879166447
BBOB_F5,BBOB_F5,879,878,538,0.6127562642369021,31115,8400,2.1759353302985613,2.1879079676133317,1.0055022946445415
BBOB_F55,BBOB_F55,942,940,612,0.6510638297872341,31485,7979,7.147158532334969,7.734173606614479,1.0821326505664808
DTLZ1,DTLZ1,870,869,637,0.7330264672036824,23675,15798,18.45154384624188,18.972166813859122,1.0282156860128147
DTLZ2,DTLZ2,504,503,387,0.7693836978131213,31258,8450,0.10434759471352166,0.1096763633793009,1.0510674796137751
DTLZ3,DTLZ3,1077,1076,0,0.0,19632,19727,31.62277603149414,31.62277603149414,1.0
DTLZ4,DTLZ4,2312,2297,1127,0.49063996517196345,24653,14132,0.0920972004783058,0.09224266343873991,1.001579450403255
DTLZ7,DTLZ7,785,782,755,0.9654731457800512,32470,6953,0.44080111066372124,0.567845603405495,1.2882127328365411
MMF1,MMF1,909,908,900,0.9911894273127754,31019,8525,0.2098097011253583,0.4676006358250984,2.2286892994795973
MMF11_L,MMF11_L,848,847,741,0.8748524203069658,33183,6331,0.09859424411887054,0.1724129348915808,1.748711970282063
MMF16_20,MMF16_20,595,594,261,0.4393939393939394,31148,8468,0.2725185163463617,0.2716228463642455,0.9967133610070816
MMF4,MMF4,865,864,718,0.8310185185185185,31515,8006,0.05136196512579878,0.07425380713604736,1.4456963816353312
WFG1,WFG1,935,927,369,0.39805825242718446,32107,7140,0.04580837245891637,0.044980125338813626,0.981919306981588
WFG2,WFG2,923,922,428,0.4642082429501085,30535,8990,0.3016945984037953,0.3017446556091256,1.0001659201245072
WFG4,WFG4,937,934,624,0.6680942184154176,29848,9591,0.5333378546831526,0.55115978439427,1.0334158349245717
