label,problema,M,D,n_pop1,NRV,pop1_eq_NRV,dims_lhs_perfeitas,dims,share_lhs,colisoes_max,colisoes_tot,dentro_bounds,u_min,u_max,inter_dataset
BBOB_F1,BBOB_F1,2,10,50,50,True,10,10,1.0,0,0,True,0.0004907608032226563,0.9998898029327392,0
BBOB_F17,BBOB_F17,2,10,50,50,True,10,10,1.0,0,0,True,0.0004907608032226563,0.9998898029327392,0
BBOB_F22,BBOB_F22,2,10,50,50,True,10,10,1.0,0,0,True,0.0004907608032226563,0.9998898029327392,0
BBOB_F37,BBOB_F37,2,10,50,50,True,10,10,1.0,0,0,True,0.0004907608032226563,0.9998898029327392,0
BBOB_F49,BBOB_F49,2,10,50,50,True,10,10,1.0,0,0,True,0.0004907608032226563,0.9998898029327392,0
BBOB_F5,BBOB_F5,2,10,50,50,True,10,10,1.0,0,0,True,0.0004907608032226563,0.9998898029327392,0
BBOB_F55,BBOB_F55,2,10,50,50,True,10,10,1.0,0,0,True,0.0004907608032226563,0.9998898029327392,0
DTLZ1,DTLZ1,3,7,105,105,True,7,7,1.0,0,0,True,0.001896706409752369,0.9998178482055664,0
DTLZ2,DTLZ2,3,12,105,105,True,12,12,1.0,0,0,True,0.0005248967208899558,0.9994010329246521,0
DTLZ3,DTLZ3,3,12,105,105,True,12,12,1.0,0,0,True,0.0005248967208899558,0.9994010329246521,0
DTLZ4,DTLZ4,3,12,105,105,True,12,12,1.0,0,0,True,0.0005248967208899558,0.9994010329246521,0
DTLZ7,DTLZ7,3,22,105,105,True,22,22,1.0,0,0,True,0.0005248967208899558,0.9995141625404358,0
MMF1,MMF1,2,2,50,50,True,2,2,1.0,0,0,True,0.0004907548427581787,0.9952753484249115,0
MMF11_L,MMF11_L,2,2,50,50,True,2,2,1.0,0,0,True,0.0004907414317130987,0.9952752828598023,0
MMF16_20,MMF16_20,3,20,105,105,True,20,20,1.0,0,0,True,0.0005248967208899558,0.999995768070221,0
MMF4,MMF4,2,2,50,50,True,2,2,1.0,0,0,True,0.0004907399998046458,0.9952753186225891,0
WFG1,WFG1,2,22,50,50,True,22,22,1.0,0,0,True,0.0004907399998046458,0.9979875087738037,0
WFG2,WFG2,2,22,50,50,True,22,22,1.0,0,0,True,0.0004907399998046458,0.9979875087738037,0
WFG4,WFG4,2,22,50,50,True,22,22,1.0,0,0,True,0.0004907399998046458,0.9979875087738037,0
WFG5,WFG5,2,22,50,50,True,22,22,1.0,0,0,True,0.0004907399998046458,0.9979875087738037,0
WFG9,WFG9,2,22,50,50,True,22,22,1.0,0,0,True,0.0004907399998046458,0.9979875087738037,0
ZDT1,ZDT1,2,30,50,50,True,30,30,1.0,0,0,True,0.0004907399998046458,0.9999650120735168,0
ZDT3,ZDT3,2,30,50,50,True,30,30,1.0,0,0,True,0.0004907399998046458,0.9999650120735168,0
ZDT4,ZDT4,2,10,50,50,True,10,10,1.0,0,0,True,0.0004907608032226563,0.9998898029327392,0
ZDT6,ZDT6,2,10,50,50,True,10,10,1.0,0,0,True,0.0004907399998046458,0.9998897910118103,0
swap_medium-lhs_DTLZ2,DTLZ2,3,12,105,105,True,12,12,1.0,0,0,True,0.0005248967208899558,0.9994010329246521,0
swap_medium-lhs_MMF16_20,MMF16_20,3,20,105,105,True,20,20,1.0,0,0,True,0.0005248967208899558,0.999995768070221,0
swap_medium-lhs_WFG9,WFG9,2,22,50,50,True,22,22,1.0,0,0,True,0.0004907399998046458,0.9979875087738037,0
swap_medium-lhs_ZDT1,ZDT1,2,30,50,50,True,30,30,1.0,0,0,True,0.0004907399998046458,0.9999650120735168,0
swap_medium-lhs_ZDT4,ZDT4,2,10,50,50,True,10,10,1.0,0,0,True,0.0004907608032226563,0.9998898029327392,0
swap_medium-mvns_DTLZ2,DTLZ2,3,12,105,105,True,12,12,1.0,0,0,True,0.0005248967208899558,0.9994010329246521,0
swap_medium-mvns_MMF16_20,MMF16_20,3,20,105,105,True,20,20,1.0,0,0,True,0.0005248967208899558,0.999995768070221,0
swap_medium-mvns_WFG9,WFG9,2,22,50,50,True,22,22,1.0,0,0,True,0.0004907399998046458,0.9979875087738037,0
swap_medium-mvns_ZDT1,ZDT1,2,30,50,50,True,30,30,1.0,0,0,True,0.0004907399998046458,0.9999650120735168,0
swap_medium-mvns_ZDT4,ZDT4,2,10,50,50,True,10,10,1.0,0,0,True,0.0004907608032226563,0.9998898029327392,0
swap_small-lhs_DTLZ2,DTLZ2,3,12,105,105,True,12,12,1.0,0,0,True,0.0005248967208899558,0.9994010329246521,0
swap_small-lhs_MMF16_20,MMF16_20,3,20,105,105,True,20,20,1.0,0,0,True,0.0005248967208899558,0.999995768070221,0
swap_small-lhs_WFG9,WFG9,2,22,50,50,True,22,22,1.0,0,0,True,0.0004907399998046458,0.9979875087738037,0
swap_small-lhs_ZDT1,ZDT1,2,30,50,50,True,30,30,1.0,0,0,True,0.0004907399998046458,0.9999650120735168,0
swap_small-lhs_ZDT4,ZDT4,2,10,50,50,True,10,10,1.0,0,0,True,0.0004907608032226563,0.9998898029327392,0
swap_small-mvns_DTLZ2,DTLZ2,3,12,105,105,True,12,12,1.0,0,0,True,0.0005248967208899558,0.9994010329246521,0
swap_small-mvns_MMF16_20,MMF16_20,3,20,105,105,True,20,20,1.0,0,0,True,0.0005248967208899558,0.999995768070221,0
swap_small-mvns_WFG9,WFG9,2,22,50,50,True,22,22,1.0,0,0,True,0.0004907399998046458,0.9979875087738037,0
swap_small-mvns_ZDT1,ZDT1,2,30,50,50,True,30,30,1.0,0,0,True,0.0004907399998046458,0.9999650120735168,0
swap_small-mvns_ZDT4,ZDT4,2,10,50,50,True,10,10,1.0,0,0,True,0.0004907608032226563,0.9998898029327392,0
