problema,D,M,n_sets,n_cands_tot,rho_med,rho_p25,rho_p75,rho_frac_pos,rho_pool,n_rho,n_degenerado,frac_set_sem_dominancia,top1_frac,percentil_med,conf_hit_med,conf_miss_med,dX_escolhido_vs_real,dF_escolhido_vs_real
BBOB_F1,10,2,182,10061,0.36397591356065745,0.05818603045174606,0.6245050186941341,0.797752808988764,0.5309702733718982,178,4,0.02197802197802198,0.21978021978021978,0.8535714285714285,0.9905527234077454,0.9943777918815613,0.0,2.8567024088488324e-06
BBOB_F17,10,2,177,11055,0.15350812449131018,-0.15142525735994367,0.3525274502710936,0.6420454545454546,0.33806142490141383,176,1,0.0,0.062146892655367235,0.5833333333333334,0.984321117401123,0.9984887540340424,0.0,1.825868807733059
BBOB_F22,10,2,182,10701,0.14603090629050658,-0.11445792553985445,0.43348865419113236,0.6871508379888268,0.3759656971167288,179,3,0.01098901098901099,0.12637362637362637,0.6683333333333333,0.9693298935890198,0.9915242195129395,0.0,0.01815194677328691
BBOB_F37,10,2,187,13479,0.23785302023655336,-0.13735244722589535,0.6731760915971894,0.6397849462365591,0.39763996401886315,186,1,0.0053475935828877,0.13368983957219252,0.68,1.0,0.9994842112064362,0.0,0.00018372476870354149
BBOB_F49,10,2,178,11415,0.2294579487505813,-0.12616927961135677,0.44507599055875124,0.6457142857142857,0.36535473668233504,175,3,0.016853932584269662,0.11797752808988764,0.7272727272727273,0.9914587140083313,0.9994350075721741,0.0,0.00010618736916967464
BBOB_F5,10,2,189,13907,0.3946211596765086,0.05446740996062588,0.6154297342896575,0.7967914438502673,0.42575328343537755,187,2,0.010582010582010581,0.18518518518518517,0.86,1.0,0.9999918937683105,0.0,3.8275080100902414e-05
BBOB_F55,10,2,187,13269,0.3920846416772453,0.07787597803308825,0.6157878349647465,0.7891891891891892,0.27375016582553546,185,2,0.0053475935828877,0.17647058823529413,0.84,0.9999995231628418,1.0,0.0,4.317335225323404e-06
DTLZ1,7,3,130,5432,-0.19993662523606268,-0.4144560805117521,0.02354852260964667,0.2713178294573643,0.22453748930427178,129,1,0.0,0.07692307692307693,0.3693181818181818,0.9859190881252289,0.9974315762519836,0.0,0.00016402079029376182
DTLZ2,12,3,227,7641,-0.033247511404080596,-0.32497649731554085,0.25092532932769235,0.4669603524229075,0.25311062896897085,227,0,0.0,0.1145374449339207,0.5161290322580645,0.9956023097038269,0.9982175230979919,0.0,8.6331295445774e-08
DTLZ3,12,3,221,6510,-0.09136750832964226,-0.3699917369844027,0.15939392747241626,0.3881278538812785,0.4076192447113089,219,2,0.00904977375565611,0.1085972850678733,0.44,0.9980683326721191,0.9877705574035645,0.0,0.0003272772015634473
DTLZ4,12,3,206,13382,0.16962092696656214,-0.10531007698642646,0.3882214016314509,0.6871794871794872,0.232217813198185,195,11,0.04854368932038835,0.1553398058252427,0.74,0.9999136924743652,1.0,0.0,5.33901782223678e-06
DTLZ7,22,3,409,23647,0.45750824600933515,0.22105722830759522,0.6543018271280294,0.8819095477386935,0.29911770997322806,398,11,0.019559902200488997,0.2665036674816626,0.87,0.9999897480010986,0.9942397475242615,0.0,6.17370165656439e-07
