problema,geracao,log,rec,dif,n_emp
BBOB_F1,1,104,104,0,8
BBOB_F1,2,130,130,0,9
BBOB_F1,3,128,128,0,6
BBOB_F1,4,125,127,2,14
BBOB_F1,5,132,134,2,4
BBOB_F1,6,145,145,0,10
BBOB_F1,7,146,150,4,12
BBOB_F1,8,138,142,4,12
BBOB_F1,9,153,153,0,11
BBOB_F1,10,153,154,1,11
BBOB_F1,11,148,153,5,17
BBOB_F1,12,155,157,2,21
BBOB_F1,13,144,144,0,14
BBOB_F1,14,160,161,1,10
BBOB_F1,15,159,161,2,14
BBOB_F1,16,147,152,5,24
BBOB_F1,17,151,151,0,13
BBOB_F1,18,147,147,0,13
BBOB_F1,19,156,160,4,18
BBOB_F1,20,149,155,6,9
BBOB_F1,21,150,150,0,19
BBOB_F1,22,160,160,0,22
BBOB_F1,23,154,157,3,19
BBOB_F1,24,143,146,3,17
BBOB_F1,25,146,151,5,21
BBOB_F1,26,143,149,6,18
BBOB_F1,27,155,160,5,19
BBOB_F1,28,141,146,5,23
BBOB_F1,29,152,160,8,22
BBOB_F1,30,160,163,3,30
BBOB_F1,31,162,164,2,26
BBOB_F1,32,154,164,10,27
BBOB_F1,33,157,157,0,31
BBOB_F1,34,144,155,11,28
BBOB_F1,35,161,164,3,24
BBOB_F1,36,159,167,8,31
BBOB_F1,37,149,154,5,24
BBOB_F1,38,154,156,2,23
BBOB_F1,39,150,152,2,35
BBOB_F1,40,139,148,9,22
BBOB_F1,41,141,146,5,16
BBOB_F1,42,147,156,9,25
BBOB_F1,43,138,153,15,31
BBOB_F1,44,148,153,5,23
BBOB_F1,45,137,153,16,28
BBOB_F1,46,144,153,9,41
BBOB_F1,47,137,158,21,36
BBOB_F1,48,141,148,7,33
BBOB_F1,49,137,148,11,27
BBOB_F1,50,140,145,5,35
BBOB_F1,51,153,153,0,42
BBOB_F1,52,140,146,6,28
BBOB_F1,53,137,145,8,29
BBOB_F1,54,143,154,11,27
BBOB_F1,55,135,146,11,35
BBOB_F1,56,141,146,5,31
BBOB_F1,57,149,155,6,36
BBOB_F1,58,145,145,0,24
BBOB_F1,59,133,140,7,28
BBOB_F17,1,107,107,0,2
BBOB_F17,2,82,82,0,4
BBOB_F17,3,95,95,0,6
BBOB_F17,4,88,88,0,23
BBOB_F17,5,121,121,0,14
BBOB_F17,6,127,127,0,24
BBOB_F17,7,126,126,0,8
BBOB_F17,8,128,128,0,10
BBOB_F17,9,129,129,0,4
BBOB_F17,10,141,141,0,4
BBOB_F17,11,110,110,0,4
BBOB_F17,12,117,117,0,4
BBOB_F17,13,121,121,0,16
BBOB_F17,14,118,119,1,3
BBOB_F17,15,113,113,0,14
BBOB_F17,16,122,122,0,4
BBOB_F17,17,104,104,0,6
BBOB_F17,18,101,101,0,4
BBOB_F17,19,129,129,0,12
BBOB_F17,20,128,128,0,20
BBOB_F17,21,107,107,0,16
BBOB_F17,22,111,111,0,30
BBOB_F17,23,118,118,0,12
BBOB_F17,24,107,107,0,12
BBOB_F17,25,124,124,0,12
BBOB_F17,26,120,120,0,16
BBOB_F17,27,115,115,0,4
BBOB_F17,28,93,93,0,4
BBOB_F17,29,123,123,0,30
BBOB_F17,30,118,118,0,12
BBOB_F17,31,80,80,0,8
BBOB_F17,32,110,110,0,18
BBOB_F17,33,82,82,0,8
BBOB_F17,34,67,67,0,6
BBOB_F17,35,111,111,0,20
BBOB_F17,36,76,76,0,8
BBOB_F17,37,90,90,0,6
BBOB_F17,38,103,103,0,13
BBOB_F17,39,87,87,0,10
BBOB_F17,40,109,109,0,40
BBOB_F17,41,132,132,0,18
BBOB_F17,42,92,92,0,4
BBOB_F17,43,130,130,0,6
BBOB_F17,44,78,78,0,22
BBOB_F17,45,109,109,0,15
BBOB_F17,46,108,108,0,47
BBOB_F17,47,85,85,0,17
BBOB_F17,48,75,109,34,52
BBOB_F17,49,105,105,0,46
BBOB_F17,50,107,107,0,11
BBOB_F17,51,91,91,0,12
BBOB_F17,52,121,124,3,26
