problema,n,R1_bruto,R2_uniqueMU,R3_semEmpArquivo,R4_uniqueGlobal
BBOB_F1,59,13,6,3,6
BBOB_F17,57,52,1,55,1
BBOB_F22,51,40,0,35,0
BBOB_F37,50,38,0,34,0
BBOB_F49,51,49,0,44,0
BBOB_F5,56,9,1,4,1
BBOB_F55,54,35,0,17,0
DTLZ1,31,31,4,31,4
DTLZ2,65,65,21,58,21
DTLZ3,64,64,14,64,14
DTLZ4,63,63,19,63,19
DTLZ7,102,90,4,72,4
MMF1,12,12,0,12,0
MMF11_L,12,8,1,8,1
MMF16_20,119,72,27,28,27
MMF4,11,11,2,10,2
WFG1,124,102,3,42,3
WFG2,141,118,0,97,0
WFG4,125,90,4,43,4
WFG5,121,104,4,78,4
WFG9,124,122,4,114,4
ZDT1,173,169,29,167,29
ZDT3,181,175,26,175,26
ZDT4,57,55,5,55,5
ZDT6,64,62,3,62,3
