exp,prob,n_iter,distintos_min,distintos_med,cv_intra,val_mse_med,val_mse_med_ini,val_mse_med_fim
main,BBOB_F1,200,10,10.0,0.4949046629901874,0.29200950000000003,0.541992,0.26072649999999997
main,BBOB_F17,200,10,10.0,0.574596700883349,0.264527,0.44360900000000003,0.2121355
main,BBOB_F22,200,10,10.0,0.37557309600182653,0.3703525,0.586409,0.31600550000000005
main,BBOB_F37,200,10,10.0,0.5075389084167075,0.33579899999999996,0.5435555000000001,0.258583
main,BBOB_F49,200,10,10.0,0.8654884858126128,0.3729515,0.456488,0.32531200000000005
main,BBOB_F5,200,10,10.0,0.6965793631384967,0.2348735,0.6084985,0.227958
main,BBOB_F55,200,10,10.0,0.33237344192164403,0.8785295,1.2043279999999998,0.9754755
main,DTLZ1,140,10,10.0,0.2636026324333736,0.6533545000000001,0.562359,0.6270925
main,DTLZ2,240,10,10.0,0.43507887108984633,0.2756015,0.442082,0.1543245
main,DTLZ3,240,10,10.0,0.263804200304609,0.431661,0.5164805,0.2940395
main,DTLZ4,240,10,10.0,0.6088799409337073,0.440567,0.3789975,0.462737
main,DTLZ7,440,10,10.0,0.20731954934372887,0.154652,0.491363,0.115895
main,MMF1,40,10,10.0,0.5981009013913732,0.7989885,0.524957,0.4457645
main,MMF11_L,40,10,10.0,0.7704944469547237,0.3599075,0.866899,0.1132675
main,MMF16_20,400,10,10.0,0.41657537575121023,0.456696,0.510232,0.277428
main,MMF4,40,10,10.0,0.35548904940115356,0.8401879999999999,1.2725300000000002,0.8896010000000001
main,WFG1,440,9,9.997727272727273,0.5741899974079459,0.1414675,0.461635,0.11228199999999999
main,WFG2,440,9,9.997727272727273,0.2841387758075383,0.1588905,0.516718,0.11218900000000001
main,WFG4,440,10,10.0,0.26493293703907056,0.735328,1.013109,0.3733085
main,WFG5,440,10,10.0,0.21670511143080778,0.6441795,1.0723105,0.689674
main,WFG9,440,10,10.0,0.14468223842495112,0.9287825000000001,1.053933,0.9706980000000001
main,ZDT1,600,9,9.998333333333333,1.1904674738258607,0.0338985,0.134107,0.0035455
main,ZDT3,600,9,9.998333333333333,0.9186236640880263,0.044158,0.244865,0.0064234999999999995
main,ZDT4,200,10,10.0,0.3388006920975795,0.243027,0.6470115000000001,0.2034465
main,ZDT6,200,10,10.0,0.7212091482586696,0.38353349999999997,0.918813,0.4956785
batch,DTLZ2,200,10,10.0,0.5857963395367223,0.22177249999999998,0.442082,0.062369
batch,MMF16_20,200,10,10.0,0.7172512193970257,0.202841,0.510232,0.0756645
batch,WFG9,200,10,10.0,0.12133642010546719,0.9025655,1.053933,0.8258615
batch,ZDT1,200,9,9.98,1.1765202593466753,0.0018695,0.134107,0.0007745
batch,ZDT4,200,10,10.0,0.17033964299627619,0.319425,0.6470115000000001,0.3344735
