exp,prob,M,G,gers_testadas,n_gers_com_dominado,soma_dominados,soma_dup_2M,n_min,n_max
main,BBOB_F1,2,200,25,0,0,0,1000,1000
main,BBOB_F17,2,200,25,0,0,0,1000,1000
main,BBOB_F22,2,200,25,1,1,0,1000,1000
main,BBOB_F37,2,200,25,1,4,1,1000,1000
main,BBOB_F49,2,200,25,0,0,0,1000,1000
main,BBOB_F5,2,200,25,0,0,0,1000,1000
main,BBOB_F55,2,200,25,1,12,0,1000,1000
main,DTLZ1,3,140,25,0,0,0,1000,1000
main,DTLZ2,3,240,25,0,0,0,1000,1000
main,DTLZ3,3,240,25,0,0,0,1000,1000
main,DTLZ4,3,240,25,0,0,0,1000,1000
main,DTLZ7,3,440,25,0,0,0,1000,1000
main,MMF1,2,40,40,1,2119,2599,338,1000
main,MMF11_L,2,40,40,1,5,55,1000,1000
main,MMF16_20,3,400,25,0,0,0,1000,1000
main,MMF4,2,40,40,1,1057,7039,1000,1000
main,WFG1,2,440,25,1,2,0,1000,1000
main,WFG2,2,440,25,1,1,0,1000,1000
main,WFG4,2,440,25,0,0,0,1000,1000
main,WFG5,2,440,25,0,0,0,1000,1000
main,WFG9,2,440,25,1,1,0,1000,1000
main,ZDT1,2,600,25,0,0,0,1000,1000
main,ZDT3,2,600,25,0,0,0,1000,1000
main,ZDT4,2,200,25,0,0,0,1000,1000
main,ZDT6,2,200,25,1,3,0,1000,1000
batch,DTLZ2,3,200,25,0,0,0,1000,1000
batch,MMF16_20,3,200,25,0,0,0,1000,1000
batch,WFG9,2,200,25,1,2,0,1000,1000
batch,ZDT1,2,200,25,1,1,0,1000,1000
batch,ZDT4,2,200,25,1,1,0,1000,1000
