exp,prob,obj,n_blocos,wape_ini,wape_fim,corr_ini,corr_fim,cob_ini,cob_fim,wape_min,wape_max,d_pct
batch,DTLZ2,0,101,0.453937,0.318424,0.650742,0.887377,0.455,0.987,0.227427,0.59996,-29.85282098617209
batch,DTLZ2,1,101,0.484592,0.367727,0.634651,0.899106,0.3695,0.8625,0.291422,0.551866,-24.116163700597614
batch,DTLZ2,2,101,0.167511,0.229874,0.933647,0.891587,0.822,0.7935,0.154996,0.307121,37.22919688856254
batch,MMF16_20,0,101,0.452501,0.25762,0.653529,0.948249,0.379,0.91,0.198593,0.513857,-43.06752913253229
batch,MMF16_20,1,101,0.466177,0.286316,0.636272,0.896473,0.357,0.8145,0.199558,0.486277,-38.58212653133896
batch,MMF16_20,2,101,0.152912,0.155337,0.941751,0.944864,0.737,0.747,0.101562,0.235658,1.5858794600816224
batch,WFG9,0,101,0.247093,0.285375,0.257332,0.120576,0.2245,0.2305,0.247093,0.299039,15.492952046395478
batch,WFG9,1,101,0.259145,0.273218,0.167059,0.050182,0.1645,0.208,0.257987,0.278002,5.430550464025932
batch,ZDT1,0,101,0.157574,0.014624,0.957511,0.999772,0.718,0.999,0.004797,0.178053,-90.71928109967381
batch,ZDT1,1,101,0.055323,0.046984,0.923745,0.988363,0.712,0.9975,0.01066,0.15486,-15.073296820490572
batch,ZDT4,0,101,0.126558,0.058932,0.992465,0.998425,0.984,0.994,0.025925,0.285365,-53.4347887924904
batch,ZDT4,1,101,0.153123,0.378073,0.098719,0.090865,0.0735,0.0865,0.153123,0.432057,146.90804124788565
main,BBOB_F1,0,101,0.203985,0.402228,0.700865,0.686268,0.337,0.548,0.199975,0.557748,97.1850871387602
main,BBOB_F1,1,101,0.228959,0.454968,0.587057,0.582635,0.2675,0.408,0.228959,0.599177,98.71155971156408
main,BBOB_F17,0,101,0.429004,0.595009,0.851073,0.82533,0.592,0.1955,0.325552,0.659285,38.69544339912915
main,BBOB_F17,1,101,0.610286,5.300601,0.571819,0.609783,0.495,0.6505,0.610286,6.974898,768.5437647267019
main,BBOB_F22,0,101,0.211399,0.245734,0.896173,0.866738,0.7435,0.7755,0.200799,0.316194,16.24179868400513
main,BBOB_F22,1,101,0.14351,0.18308,0.420614,0.269198,0.248,0.29,0.14351,0.228358,27.572991429168695
main,BBOB_F37,0,101,0.130994,0.196084,0.707924,0.310465,0.568,0.3675,0.130994,0.214174,49.68929874650748
main,BBOB_F37,1,101,0.60122,1.142094,0.554252,0.522437,0.3315,0.8775,0.60122,2.428325,89.96274242373839
main,BBOB_F49,0,101,0.377985,0.688044,0.652093,0.595392,0.5245,0.5255,0.367938,4.230606,82.02944561292114
main,BBOB_F49,1,101,0.05617,0.053416,0.016819,0.043538,0.07,0.2905,0.052699,0.058253,-4.902973117322414
main,BBOB_F5,0,101,0.214514,0.219274,0.660564,0.643263,0.411,0.532,0.179555,0.518761,2.218969391275155
main,BBOB_F5,1,101,0.148163,0.17791,0.3795,0.401704,0.296,0.5415,0.148163,0.279742,20.077212259471004
main,BBOB_F55,0,101,0.057217,0.060296,0.093387,0.063652,0.1755,0.3405,0.056342,0.066968,5.381267805022992
main,BBOB_F55,1,101,0.051557,0.05427,0.120335,0.148938,0.243,0.3875,0.050456,0.060448,5.262137052194658
main,DTLZ1,0,71,0.519262,0.662918,0.747698,0.470937,0.654,0.133,0.519262,0.684646,27.665417457853646
main,DTLZ1,1,71,0.617932,0.492445,0.76994,0.716097,0.456,0.2725,0.449638,0.646911,-20.30757429620088
main,DTLZ1,2,71,0.337039,0.366038,0.836877,0.842905,0.7685,0.263,0.287421,0.403665,8.604048789605951
main,DTLZ2,0,121,0.453937,0.572213,0.650742,0.480957,0.455,0.2895,0.41378,0.591778,26.055598023514275
main,DTLZ2,1,121,0.484592,0.342978,0.634651,0.813819,0.3695,0.7765,0.279553,0.498713,-29.223346650378055
main,DTLZ2,2,121,0.167511,0.249008,0.933647,0.818631,0.822,0.423,0.149167,0.263405,48.65173033412732
main,DTLZ3,0,121,0.529807,0.581797,0.575534,0.517007,0.363,0.136,0.529807,0.610704,9.813007378158458
main,DTLZ3,1,121,0.43031,0.387102,0.707789,0.731594,0.55,0.2535,0.336563,0.43031,-10.041133136575962
main,DTLZ3,2,121,0.222177,0.233081,0.878068,0.873478,0.7655,0.286,0.222177,0.264827,4.907798737042987
main,DTLZ4,0,121,0.113571,0.164247,0.037419,0.049165,0.193,0.3125,0.113571,0.206238,44.62054573790844
main,DTLZ4,1,121,2.097518,4.776736,0.075971,0.065096,0.627,0.5505,2.097518,7.247566,127.7327775017902
main,DTLZ4,2,121,2.099422,9.127751,0.095,0.112232,0.6325,0.5885,2.025531,15.975458,334.774476022448
main,DTLZ7,0,221,0.364282,0.355051,0.663737,0.68256,0.391,0.12,0.331354,0.371412,-2.5340258371261797
main,DTLZ7,1,221,0.379455,0.358301,0.62314,0.674885,0.3825,0.1155,0.341266,0.379455,-5.574837596025881
main,DTLZ7,2,221,0.06308,0.089704,0.684773,0.569096,0.404,0.2495,0.062578,0.118745,42.20672162333546
main,MMF1,0,21,0.500003,0.531761,0.023573,-0.000111,0.0255,0.044,0.500003,0.709684,6.35156189062867
main,MMF1,1,21,0.74178,0.742678,0.001863,0.001431,0.0785,0.0685,0.74178,0.753117,0.12106015260588779
main,MMF11_L,0,21,0.412843,0.372008,0.834097,0.767855,0.067,0.14,0.242674,0.412843,-9.891169282269532
main,MMF11_L,1,21,0.568763,0.686466,0.737717,0.688127,0.062,0.1135,0.568763,0.866062,20.69455994851986
main,MMF16_20,0,201,0.452501,0.427539,0.653529,0.782222,0.379,0.658,0.295492,0.520402,-5.516451897343869
main,MMF16_20,1,201,0.466177,0.410442,0.636272,0.801382,0.357,0.6825,0.261526,0.489573,-11.955759293144029
main,MMF16_20,2,201,0.152912,0.165476,0.941751,0.95475,0.737,0.9115,0.141431,0.203019,8.216490530501217
main,MMF4,0,21,0.500478,0.529984,0.003737,0.016486,0.0435,0.0635,0.500478,0.671335,5.895563840968041
main,MMF4,1,21,0.397884,0.445977,-0.111804,-0.104831,0.09,0.1,0.397884,0.479781,12.087191241668425
main,WFG1,0,221,0.004841,0.006421,0.86864,0.792255,0.802,0.759,0.004841,0.006928,32.63788473455897
main,WFG1,1,221,0.012554,0.023872,0.584359,0.57489,0.57,0.8865,0.012554,0.040414,90.15453241994585
main,WFG2,0,221,0.083464,0.131021,0.965669,0.913123,0.5795,0.353,0.062831,0.1514,56.979056838876645
main,WFG2,1,221,0.181344,0.183619,0.444254,0.420006,0.162,0.15,0.179798,0.190504,1.254521792835715
main,WFG4,0,221,0.269487,0.297031,0.166282,0.150985,0.2505,0.3175,0.257336,0.343045,10.220901193749611
main,WFG4,1,221,0.142203,0.163378,0.17344,0.155925,0.288,0.337,0.124965,0.195767,14.890684444069391
main,WFG5,0,221,0.171747,0.187272,0.182863,0.097325,0.209,0.477,0.171747,0.205672,9.03945920452758
main,WFG5,1,221,0.224947,0.227822,0.203183,0.112155,0.259,0.227,0.224306,0.230007,1.2780788363481124
main,WFG9,0,221,0.247093,0.251386,0.257332,0.235809,0.2245,0.2455,0.243454,0.270211,1.7374025164614098
main,WFG9,1,221,0.259145,0.26081,0.167059,0.149407,0.1645,0.196,0.257105,0.271518,0.6424974435161673
main,ZDT1,0,301,0.157574,0.136927,0.957511,0.976623,0.718,0.565,0.025633,0.188281,-13.103049995557642
main,ZDT1,1,301,0.055323,0.100851,0.923745,0.908607,0.712,0.633,0.046423,0.144595,82.29488639444715
main,ZDT3,0,301,0.144871,0.167716,0.971995,0.977408,0.8655,0.849,0.031339,0.182426,15.769201565530716
main,ZDT3,1,301,0.108123,0.125326,0.740893,0.755594,0.4805,0.8515,0.097528,0.17302,15.910583317148058
main,ZDT4,0,101,0.126556,0.251413,0.992465,0.94971,0.984,0.2065,0.126556,0.271954,98.65751129934574
main,ZDT4,1,101,0.153123,0.195881,0.09872,0.101358,0.0735,0.1655,0.153123,0.207793,27.923956557799933
main,ZDT6,0,101,0.093545,0.092317,0.299739,0.178571,0.2955,0.0615,0.08718,0.100433,-1.3127371853118892
main,ZDT6,1,101,0.024115,0.023483,0.800623,0.919512,0.5095,0.918,0.0114,0.034903,-2.620775450964133
