problema,rec,name,it,n_nonfinite,nota,fe,maxfe,x_key,solution_id
BBOB_F1,guard,nan_guard_ics,58.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,62.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,70.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,74.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,76.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,90.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,100.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,107.0,2.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,128.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,147.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,156.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,159.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,162.0,2.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,164.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,167.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,168.0,2.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,180.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,183.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,191.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,192.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,nan_guard_ics,200.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F1,guard,hard_stop,,,,309.0,309.0,e6400388c295f0bf,
BBOB_F17,guard,hard_stop,,,,309.0,309.0,fa20e6f1d38d12c0,
BBOB_F22,guard,nan_guard_ics,115.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
