alg,BBOB_F1,BBOB_F17,BBOB_F22,BBOB_F37,BBOB_F49,BBOB_F5,DTLZ1,MMF1,MMF11_L,MMF4,ZDT4
b1,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3
b3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3
b4,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3
c122,v6,v6,v6,v6,v6,v6,v6,v6,v6,v6,v6
c141,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3
c149,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5
c154,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5
c217,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3
c238,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3
c262,v6,v6,v6,v6,v6,v6,v6,v6,v6,v6,v6
e7,mac*,mac*,mac*,mac*,mac*,mac*,mac*,vm3,vm3,vm3,mac*
e74,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3
e81,mac,mac,mac,mac,mac,mac,mac,mac,mac,mac,mac
moead,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3
nsga2,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3
nsga3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3
smsemoa,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3,vm3
