problema,n,mu_null,sg_null,pred_tipo,pred_classe_null,modelo_flag,espaco,transf,score_uniq,rsid_null_sonda,rsid_null_online,regimes
BBOB_F1,192200,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
BBOB_F17,198201,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
BBOB_F22,142198,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
BBOB_F37,188201,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
BBOB_F49,198201,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
BBOB_F5,162200,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
BBOB_F55,180203,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
DTLZ1,142140,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
DTLZ2,242240,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
DTLZ3,242240,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
DTLZ4,242240,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
DTLZ7,434441,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
MMF1,44042,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
MMF11_L,46043,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
MMF16_20,402400,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
MMF4,40040,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
WFG1,442440,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],[0.0],1.0,0.0,"[""online"", ""sonda""]"
WFG2,442440,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],[0.0],1.0,0.0,"[""online"", ""sonda""]"
WFG4,442440,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],[0.0],1.0,0.0,"[""online"", ""sonda""]"
WFG5,442440,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],[0.0],1.0,0.0,"[""online"", ""sonda""]"
WFG9,444441,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],[0.0],1.0,0.0,"[""online"", ""sonda""]"
ZDT1,588601,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
ZDT3,584601,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
ZDT4,184201,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
ZDT6,158200,1.0,1.0,"[""score""]",1.0,"[""PNN-par""]","[""cru""]",[],"[-1.0, 0.0, 1.0]",1.0,0.0,"[""online"", ""sonda""]"
