g,nf,nf_calc,eim,vmax,vinf,relmax,relinf,gap_argmax,argmax0,med,medrec,relmed
1,14,14,0.7509396335870036,0.7509396132102445,0.7509396096291646,2.7135016113781796e-08,3.1903814718769494e-08,4.768798734389126e-09,False,0.7509396060480846,0.7509396311230518,3.339145541727701e-08
2,6,6,0.10344386825114132,0.10344386988631274,0.10344386988631274,1.5807330512503234e-08,1.5807330512503234e-08,0.0,True,0.10344352209553878,0.10344352048273525,1.5591150824039095e-08
3,2,2,0.0007697397214203915,0.0007697397207914022,0.000769739694040978,8.171453904256216e-10,3.556970330763996e-08,3.475255794561223e-08,False,0.0007697391577595667,0.0007697391535512639,5.467180330727669e-09
4,3,3,0.000600718442955024,0.0006007184272284477,0.0006007184272284477,2.6179612887976702e-08,2.6179612887976702e-08,0.0,True,0.0006007182067582324,0.0006007182020396249,7.85494335479692e-09
5,3,3,0.000387445356033553,0.000387445362324925,0.000387445362324925,1.6238088529240656e-08,1.6238088529240656e-08,0.0,True,0.0003874449131613432,0.00038744491719692944,1.0415896636403667e-08
6,3,3,0.10283872418070068,0.10283872576527846,0.10283872576527846,1.5408376437702987e-08,1.5408376437702987e-08,0.0,True,0.10283640870929138,0.10283640712455729,1.541024368958898e-08
7,4,4,0.0003984792639072319,0.0003984792598655874,0.0003984792598655874,1.0142671969634577e-08,1.0142671969634577e-08,0.0,True,0.0003984771578238412,0.00039847715725898074,1.4175478596882678e-09
8,4,4,0.00038080105785469505,0.00038080105306542055,0.00038080105306542055,1.2576841374779713e-08,1.2576841374779713e-08,0.0,True,0.00038077029968491274,0.0003807702959863809,9.713288727275004e-09
9,5,5,0.0002081547157856224,0.000208154713580116,0.000208154713580116,1.0595514905875145e-08,1.0595514905875145e-08,0.0,True,0.00020806496681322647,0.00020806496300063477,1.8324044823722495e-08
10,5,5,0.10295035130121784,0.10295035289217684,0.10295035289217684,1.5453652982427103e-08,1.5453652982427103e-08,0.0,True,0.10294978816872662,0.10294978658270233,1.5405804487550182e-08
11,5,5,0.00025992006618235616,0.00025992008046783646,0.00025992008046783646,5.4961052089381916e-08,5.4961052089381916e-08,0.0,True,0.0002599095724697421,0.0002599095692922816,1.222525385861544e-08
12,5,5,0.00026499408598429196,0.0002649940782644843,0.0002649940782644843,2.9131999759012905e-08,2.9131999759012905e-08,0.0,True,0.00026498610279873723,0.00026498610203884806,2.8676566876602125e-09
13,4,4,0.0002000854179890754,0.00020008541236175495,0.00020008541236175495,2.8124590476306082e-08,2.8124590476306082e-08,0.0,True,0.0002000699692585181,0.0002000699715894541,1.1650603985835745e-08
14,4,4,0.00018775332361804217,0.00018775332676439026,0.00018775332676439026,1.6757882258960626e-08,1.6757882258960626e-08,0.0,True,0.00018774866369642378,0.00018774866342298151,1.45642723108384e-09
15,4,4,0.000152060084268536,0.00015206008519108222,0.00015206008519108222,6.066984794483526e-09,6.066984794483526e-09,0.0,True,0.00015201307423275316,0.000152013073213143,6.707384627397741e-09
16,4,4,0.0002699450739764531,0.0002699450655111258,0.0002699450655111258,3.135944347596513e-08,3.135944347596513e-08,0.0,True,0.00026974519357559376,0.00026974518966082985,1.4512821960851704e-08
17,4,4,0.0003273704874968962,0.00032737048265486877,0.00032737048265486877,1.4790665700851161e-08,1.4790665700851161e-08,0.0,True,0.00032736717814908474,0.00032736717179893994,1.939762245388777e-08
18,4,4,0.00022003009839930804,0.00022003009464852382,0.00022003009464852382,1.704668698891037e-08,1.704668698891037e-08,0.0,True,0.00021987314273616825,0.00021987314265562466,3.663184574867089e-10
19,4,4,0.0002372453226588228,0.00023724531626512772,0.00023724531626512772,2.6949720305432487e-08,2.6949720305432487e-08,0.0,True,0.0002372423484801444,0.00023724234734730964,4.775010778347032e-09
20,4,4,0.00021011855080071986,0.0002101185496746971,0.0002101185496746971,5.358987801067701e-09,5.358987801067701e-09,0.0,True,0.000210047168674244,0.00021004716530464312,1.604211545368157e-08
21,4,4,0.00017099801037737962,0.0001709980124364518,0.0001709980124364518,1.2041497872553666e-08,1.2041497872553666e-08,0.0,True,0.00017090245991259584,0.00017090245866271448,7.3134193970212725e-09
22,4,4,0.0001377727152060456,0.0001377727169496795,0.0001377727169496795,1.265587244621353e-08,1.265587244621353e-08,0.0,True,0.00013759947665192222,0.00013759947436598233,1.6612998662221992e-08
23,4,4,0.00015471760396977907,0.0001547176103273222,0.0001547176103273222,4.1091271864377936e-08,4.1091271864377936e-08,0.0,True,0.00015470362110496795,0.00015470362034267172,4.927462138949311e-09
24,4,4,0.00027214842348253994,0.0002721484190612944,0.0002721484190612944,1.6245714325320024e-08,1.6245714325320024e-08,0.0,True,0.00027214693019692005,0.000272146932759535,9.41629184026256e-09
25,4,4,0.000198822663157179,0.00019882266754666478,0.0001988226570539949,2.2077391587066736e-08,3.0696621784343366e-08,5.2774012206297565e-08,False,0.0001988225735159746,0.00019882257306559197,2.2652489455611183e-09
26,4,4,0.00019697669721083,0.00019697669637342593,0.00019697669637342593,4.251284940314515e-09,4.251284940314515e-09,0.0,True,0.00019697217573829646,0.00019697217608714146,1.7710369574929219e-09
27,4,4,0.0001865611491910824,0.00018656115462524977,0.00018656115462524977,2.9128076135879572e-08,2.9128076135879572e-08,0.0,True,0.00018571031568052443,0.0001857103174493956,9.524894505781889e-09
28,4,4,0.0001537284624759618,0.00015372846914340357,0.00015372846914340357,4.3371550491788323e-08,4.3371550491788323e-08,0.0,True,0.00015356343131055,0.00015356343246856184,7.540934836161221e-09
29,4,4,0.0001409033862237393,0.0001409033824980796,0.0001409033824980796,2.644123608596322e-08,2.644123608596322e-08,0.0,True,0.00014083890550112212,0.00014083890688688054,9.839315391421958e-09
30,4,4,0.00015110709674322627,0.00015110709143526047,0.00015110709143526047,3.5127177382651926e-08,3.5127177382651926e-08,0.0,True,0.00015110700315440546,0.00015110700376473558,4.03905910041663e-09
31,4,4,0.0001114370439990429,0.00011143704507340059,0.00011143704507340059,9.64093847043537e-09,9.64093847043537e-09,0.0,True,0.00011137734589518724,0.00011137734554853525,3.1124102123872494e-09
32,4,4,0.00017517316785302454,0.00017517317200099319,0.00017517317200099319,2.3679246626351823e-08,2.3679246626351823e-08,0.0,True,0.0001751730570584345,0.00017517305667646515,2.1805257368546355e-09
33,4,4,0.0001768500514957777,0.0001768500543044272,0.0001768500543044272,1.5881530568982546e-08,1.5881530568982546e-08,0.0,True,0.00017684713753589,0.00017684713646082742,6.0790500407965185e-09
34,5,5,0.0001414777616708148,0.000141477758991739,0.000141477758991739,1.893637408492371e-08,1.893637408492371e-08,0.0,True,0.00014147604730819092,0.00014147604477683732,1.7892453828128007e-08
