problema,D,M,n_gens,fbest_eq_ymin,normmin_eq_ymin,normmax_eq_ymax,eim_zero,eim_lt1e12,prim_gen_zero,frac_zero,mind_nas_zero,rank_infill_1,rank_infill_med,rank_infill_max,empate_med,empate_max,n_clones_pool,clone_sigma_max,clone_sigma_med,clone_eim_max,clone_eim_med,eim_med_pool_med,razao_clone_pool
BBOB_F1,10,2,200,37.78917704409984,1.1783028028844456e-06,7.11303590605894e-06,189,189,8,0.945,3.953876556039373,195,1.0,84,100.0,100,0,,,,,0.0,
BBOB_F17,10,2,200,238949.20553689223,0.013213107769843191,3.4760478734970093,0,0,-1,0.0,,104,1.0,99,1.0,100,2,0.05265390872955322,0.05265390872955322,0.03370268632061129,0.03370268632061129,0.032717148261715054,1.030122981716273
BBOB_F22,10,2,200,570.3539264930471,5.931727241659246e-05,0.10702253272756934,0,0,-1,0.0,,99,2.0,98,1.0,100,1,0.04562070220708847,0.04562070220708847,0.02999597946496254,0.02999597946496254,0.016731816994603226,1.7927508694744636
BBOB_F37,10,2,200,210.11932712983412,2.4981133719848003e-05,8.23199638944061e-05,0,0,-1,0.0,,117,1.0,95,1.0,100,2,0.04245616868138313,0.04245616868138313,0.028075302900207807,0.028075302900207807,0.03167878180740101,0.8862494483183904
BBOB_F49,10,2,200,28.26539374359585,2.565808387089419e-06,8.479113603243604e-05,0,0,-1,0.0,,122,1.0,99,1.0,100,3,0.12413160502910614,0.12173791229724884,0.03265212928259006,0.03153633185312158,0.03255031474445569,0.9688487530982532
BBOB_F5,10,2,200,199.13566502836568,2.9309754609130323e-05,3.8367730667232536e-05,0,0,-1,0.0,,146,1.0,100,1.0,100,1,0.0366479866206646,0.0366479866206646,3.882722834073529e-06,3.882722834073529e-06,0.008384599485633727,0.00046307791334890025
BBOB_F55,10,2,200,18.546503953543436,1.8221229538539774e-06,1.8819511780066023e-06,0,0,-1,0.0,,119,1.0,100,1.0,100,9,0.201677605509758,0.201677605509758,0.3418138063021843,0.011657871430357855,0.1481533189094389,0.07868788574006849
DTLZ1,7,3,140,0.22425293922210476,5.539061959103364e-09,1.1640624677511369e-05,0,0,-1,0.0,,62,2.5,70,4.5,70,1,0.25784698128700256,0.25784698128700256,0.14304192644197722,0.14304192644197722,0.1162491864995655,1.2304767951430942
DTLZ2,12,3,240,0.0156117581388333,2.667471174500058e-10,1.0819126572414461e-07,0,0,-1,0.0,,75,19.0,120,1.0,120,2,0.07234710454940796,0.06978966295719147,0.13835762005077054,0.11289870654416993,0.12177885430921451,0.9270797231964708
DTLZ3,12,3,240,8.049751773014442,2.4908005791246524e-07,5.873131112821284e-05,0,0,-1,0.0,,63,19.0,120,1.0,120,0,,,,,0.09470769715672814,
DTLZ4,12,3,240,0.3764548154965988,9.813794055180125e-09,1.190399210315718e-07,0,0,-1,0.0,,89,7.5,120,1.0,120,1,0.05666249617934227,0.05666249617934227,0.3390280238092675,0.3390280238092675,0.08989197520422124,3.771504887272152
DTLZ7,22,3,440,10.646338641174601,6.007356834203392e-08,8.989833304440253e-07,0,0,-1,0.0,,332,1.0,171,1.0,168,0,,,,,0.00016748264227768708,
MMF1,2,2,40,0.18097332504275154,2.5330575137427758e-09,2.897171214044647e-08,0,0,-1,0.0,,39,1.0,19,20.0,20,521,58.822940826416016,1.70421302318573,90.67376367042634,2.197314221662747,0.5634260848214807,3.8999156781300903
MMF11_L,2,2,40,0.3126493248068367,4.775243467314283e-08,4.985852797290136e-07,0,0,-1,0.0,,39,1.0,10,20.0,20,477,3.6788277626037598,0.0539163239300251,4.958294648756011,0.08051535216841542,0.07767463900149157,1.0365719519709553
MMF16_20,20,3,400,0.0015933359632884884,1.761350180290444e-11,1.072319393280452e-07,0,0,-1,0.0,,120,16.0,200,1.0,200,0,,,,,0.16889811025414148,
MMF4,2,2,40,0.07449131106618456,8.034932441614018e-10,9.435839398719281e-08,0,0,-1,0.0,,38,1.0,6,20.0,20,500,43.5177001953125,0.9466821551322937,37.45321052959744,3.505731821303367,2.992645547953488,1.171449062419287
WFG1,22,2,440,0.46186732344161263,4.758011939998141e-08,6.350079972960998e-08,0,0,-1,0.0,,308,1.0,192,1.0,143,0,,,,,0.36478825456614095,
WFG2,22,2,440,0.6310588527943459,2.8792879858130505e-08,1.2642410318619568e-07,0,0,-1,0.0,,373,1.0,211,1.0,3,0,,,,,0.059371269929427116,
WFG4,22,2,440,0.35421750767565063,3.0487011359880967e-08,2.0758891317029793e-07,0,0,-1,0.0,,374,1.0,169,1.0,2,0,,,,,0.12475041938521059,
WFG5,22,2,440,0.6600322186676224,1.6654935874882426e-08,4.996637814613791e-08,0,0,-1,0.0,,190,8.0,216,37.5,220,0,,,,,0.05827147423763397,
WFG9,22,2,440,0.5275986451467953,3.2090404333828815e-08,1.443808743673003e-07,0,0,-1,0.0,,426,1.0,80,1.0,1,0,,,,,0.3215850557719011,
ZDT1,30,2,600,1.695638359586076,9.006027168467767e-08,4.232946313464936e-07,0,0,-1,0.0,,557,1.0,294,1.0,298,0,,,,,0.00028754812306860684,
ZDT3,30,2,600,2.9149868747269165,9.107420417819867e-08,2.2486232520435578e-07,0,4,-1,0.0,,594,1.0,179,1.0,300,0,,,,,6.419280409145016e-05,
ZDT4,10,2,200,29.600632071374882,2.820037764195149e-06,6.361291099210575e-06,0,0,-1,0.0,,101,1.0,100,1.0,100,27,0.20817799866199493,0.1890002340078354,0.006785741047166213,0.003415723484134789,0.04175281069167172,0.08180822865695388
ZDT6,10,2,200,7.480353144941736,4.009881671152016e-08,2.2202404359461525e-07,0,10,-1,0.0,,112,1.0,100,3.0,100,9,0.11002621799707413,0.10670067369937897,7.694777147485422e-05,6.02235012711263e-06,3.63663898426941e-05,0.16560208899378837
