problema,obj,n_blocos,wape_ini,wape_fim,dwape,wape_min,cob_ini,cob_fim,cob_med,corr_fim,n_nan,n_validas_min
BBOB_F1,0,102,0.048964,0.037574,-0.23261988399640546,0.035414,0.993,0.993,0.993,0.991591,0,2000
BBOB_F1,1,102,0.043677,0.035921,-0.17757629873846645,0.033755,0.996,0.9945,0.9945,0.992228,0,2000
BBOB_F17,0,102,0.030769,0.017792,-0.4217556631674738,0.012624,0.994,0.978,0.9802500000000001,0.999619,0,2000
BBOB_F17,1,102,0.385394,0.353205,-0.08352231742061376,0.33376,0.9325,0.8585,0.8574999999999999,0.874985,0,2000
BBOB_F22,0,102,0.106207,0.089361,-0.15861478057001893,0.086614,0.9845,0.904,0.90025,0.98131,0,2000
BBOB_F22,1,102,0.039493,0.022766,-0.42354341275669105,0.020024,0.9965,0.998,0.999,0.989273,0,2000
BBOB_F37,0,102,0.042464,0.025079,-0.40940561416729465,0.017296,0.993,0.9965,0.9975,0.989666,0,2000
BBOB_F37,1,102,0.368984,0.338062,-0.08380309173297489,0.328257,0.9525,0.9025,0.9007499999999999,0.842058,0,2000
BBOB_F49,0,102,0.26602,0.24228,-0.08924141042026909,0.233506,0.9415,0.8895,0.8855,0.828961,0,2000
BBOB_F49,1,102,0.053585,0.052968,-0.011514416347858533,0.051028,0.981,0.9855,0.985,0.212132,0,2000
BBOB_F5,0,102,0.047022,0.032844,-0.30151843817787427,0.031127,0.99,0.994,0.994,0.993845,0,2000
BBOB_F5,1,102,0.043415,0.045216,0.041483358286306504,0.038274,0.9965,0.997,0.9965,0.965497,0,2000
BBOB_F55,0,102,0.053527,0.05436,0.015562239617389364,0.053065,0.95,0.9725,0.9725,0.32547,0,2000
BBOB_F55,1,102,0.048746,0.050942,0.04504985024412267,0.048403,0.926,0.986,0.986,0.254237,0,2000
DTLZ1,0,72,0.346509,0.316067,-0.08785341794874021,0.310617,0.921,0.9575,0.948,0.873799,0,2000
