problema,D,n_ger,t_fit,t_busca,frac_busca,fit_ini,fit_fim,razao_fit,expoente_n,busca_med,ls_ini,ls_fim,ard_vivo,ard_tot,wall_h
BBOB_F1,10,201,45.901306,3623.7144,98.74915,0.66341877,0.406147,3.3671145,1.2080115578335608,13.249604,"[1.2656, 1.2928]","[1.8323, 1.8991]",402,402,1.0287464444444445
BBOB_F17,10,201,69.37386,378.31714,84.504074,0.6897285,0.7951391,6.074726,1.5946906128917402,1.9107745,"[2.3159, 0.9872]","[5.1015, 1.5986]",402,402,0.1340055
BBOB_F22,10,201,51.90687,1047.2443,95.27755,0.6800983,0.45925856,3.9346964,1.2116212401378765,4.487116,"[1.1619, 1.0434]","[1.874, 1.1865]",402,402,0.31496755555555556
BBOB_F37,10,201,58.200897,408.0998,87.51859,0.8114865,0.5853076,5.1905923,1.520377519262028,1.9746785,"[0.9657, 0.6309]","[1.372, 1.238]",402,402,0.13964988888888888
BBOB_F49,10,201,79.41718,469.38913,85.529106,0.73143363,0.7657497,4.363159,1.3579909277103042,2.3508158,"[0.7886, 0.3448]","[1.2546, 0.2537]",402,402,0.1627641388888889
BBOB_F5,10,201,52.223698,3875.2188,98.67029,0.7083707,0.4411738,3.6174235,1.1962405204554398,12.43023,"[1.2327, 0.9801]","[1.9268, 0.93]",402,402,1.1010016944444445
BBOB_F55,10,201,90.37044,1265.3472,93.33412,0.72306204,0.7539656,5.150853,0.9614147084571771,6.7264347,"[0.3742, 0.4383]","[0.4076, 0.2815]",402,402,0.38687061111111115
DTLZ1,7,141,42.178112,273.64017,86.64482,0.6871872,0.48134708,3.0236058,0.8325912736682283,1.9100423,"[0.6633, 0.76, 0.5414]","[0.5713, 0.4203, 0.4746]",423,423,0.0949741111111111
DTLZ2,12,241,170.0445,13247.334,98.73265,0.88568664,1.5516696,6.106008,1.5199649957275756,55.465637,"[1.2015, 1.3208, 1.2645]","[2.2947, 2.2956, 2.3599]",723,723,3.742057888888889
DTLZ3,12,241,215.93504,1189.9742,84.64089,0.8149462,2.2576416,10.058513,2.0257921475994247,4.5473413,"[1.1274, 0.8508, 0.8387]","[3.2866, 3.1704, 0.631]",723,723,0.4065043888888889
DTLZ4,12,241,309.82825,8672.3545,96.55064,0.99287343,2.5625377,7.563465,1.6955306297331338,35.742577,"[0.5013, 1.0006, 1.1248]","[0.8991, 4.1358, 3.9836]",723,723,2.5105309722222224
MMF1,2,41,6.1303344,49.45343,88.97099,0.661412,0.14242601,1.2091302,-0.0648144277117799,1.0490503,"[0.3183, 0.1113]","[0.1319, 0.0429]",82,82,0.01747625
MMF11_L,2,41,5.6023517,52.15802,90.3007,0.6512971,0.13959742,1.556382,0.17619051405458147,1.2424479,"[1.583, 0.3977]","[2.1853, 0.3463]",82,82,0.018175916666666667
MMF4,2,41,5.79527,66.73123,92.00944,0.6763201,0.15738773,1.4051969,0.036375509619778805,1.6445208,"[0.2843, 0.0862]","[0.1287, 0.0954]",82,82,0.022247138888888886
WFG2,22,441,1130.0588,4134.482,78.534515,1.0152438,5.70384,13.902141,2.414750539575035,9.107897,"[1.6647, 0.4252]","[1.2403, 1.8388]",882,882,1.492598111111111
WFG4,22,441,995.2537,8641.818,89.67265,1.0088375,5.564494,13.701478,2.528410030175347,18.204172,"[1.323, 1.3126]","[1.419, 1.6241]",882,882,2.706448305555556
WFG5,22,441,1412.8439,11278.09,88.8673,1.2454545,8.414355,17.211454,2.7408524692415432,18.777575,"[1.6558, 1.6339]","[3.5838, 4.2529]",882,882,3.5541863888888887
WFG9,22,441,1413.1222,4189.4424,74.77723,1.03666,7.467524,17.715965,2.993947874423684,9.405247,"[0.602, 0.3673]","[0.9945, 0.8836]",882,882,1.5857134166666667
ZDT1,30,640,3330.7397,28391.152,89.50018,1.3742249,10.632471,15.836621,2.548432170670112,33.3504,"[2.8367, 1.8942]","[4.4039, 2.7787]",1280,1280,8.860977527777779
ZDT4,10,201,95.66844,512.74347,84.27571,0.77476144,0.7329297,4.982786,1.0470838322815805,2.4553142,"[2.8917, 0.4888]","[3.5705, 0.0521]",402,402,0.17901230555555556
ZDT6,10,202,107.328186,1404.7242,92.90182,0.7383251,1.0815487,7.4875326,1.6355390226424533,6.062242,"[0.5591, 1.6075]","[2.5492, 0.1089]",404,404,0.43005258333333335
