problema,D,M,n_ger,U7_inv1_viol,U7_resid_ge_sonda,U7_n,U7_resid_med_com_sonda,U7_resid_med_sem_sonda,U7_sonda_med,U7_overhead_med,U7_ps_zero_fora,warn_dec,warn_rec,warn_no_hardstop,warn_fecha_c_hs,n_dentro_ref,frac_dentro_ref,nb_zero,nb_zero_frac,nb_max,it_1o_nb_pos,fe_1o_dentro_ref,nb_ge_front1,nb_lt_front1,pos_escolhido_hist,pos_sempre_9,pos_menos1,pos_tot,x3_x1_maxabs,x3_x1_n,refit_pares,refit_iguais,refit_iguais_eq_cachehit,refit_ch_next,refit_mll_iguais,refit_os_iguais,acqf_spread_med,acqf_spread_p90,acqf_spread_zero,acqf_esc_ini,acqf_esc_fim
BBOB_F1,10,2,201,0,99,201,0.007342815399169922,0.007091522216796875,0.0911475419998169,-0.08260810375213623,True,34,34,0,True,212,0.686084142394822,0,0.0,185.0,1,7,168,33,"{""9"": 200, ""-1"": 1}",200,1,201,0.0,200,200,0,True,0,0,0,1.2793241123050754,2.094433726869256,0,8.413583824155165,-2.344052666122869
BBOB_F17,10,2,201,0,99,201,0.007329463958740234,0.007198333740234375,0.09651637077331543,-0.0889737606048584,True,0,0,0,True,257,0.8317152103559871,0,0.0,13.0,1,4,201,0,"{""9"": 200, ""-1"": 1}",200,1,201,0.0,200,200,0,True,0,0,0,0.20538272937022484,0.476534106043097,0,22.232560094362782,19.475593171446512
BBOB_F22,10,2,201,0,99,201,0.0074405670166015625,0.007323026657104492,0.0924983024597168,-0.08486974239349365,True,0,0,0,True,200,0.6472491909385113,1,0.004975124378109453,123.0,2,109,195,6,"{""9"": 200, ""-1"": 1}",200,1,201,0.0,200,200,0,True,0,0,0,0.2630432721899716,0.6346802229322108,0,18.368053376528554,13.155082314097406
BBOB_F37,10,2,201,0,99,201,0.007828950881958008,0.007738828659057617,0.0989995002746582,-0.09117996692657471,True,0,0,0,True,177,0.5728155339805825,0,0.0,13.0,1,2,196,5,"{""9"": 200, ""-1"": 1}",200,1,201,0.0,200,200,0,True,0,0,0,0.21670908048221804,0.4051061837827348,0,13.887060854619094,9.109955196510704
BBOB_F49,10,2,201,0,99,201,0.008904814720153809,0.008794069290161133,0.10081875324249268,-0.09170746803283691,True,0,0,0,True,260,0.8414239482200647,0,0.0,14.0,1,3,196,5,"{""9"": 200, ""-1"": 1}",200,1,201,0.0,200,200,0,True,0,0,0,0.27382880349504113,0.7135695022686992,0,9.817531755044978,5.881403312823484
BBOB_F5,10,2,201,0,99,201,0.007522106170654297,0.007462501525878906,0.09620535373687744,-0.08826351165771484,True,43,45,2,True,209,0.6763754045307443,0,0.0,167.0,1,24,159,42,"{""9"": 200, ""-1"": 1}",200,1,201,0.0,200,200,0,True,0,0,0,1.2874630865273362,2.738349265214583,0,11.089248909599245,-0.04807925675161773
BBOB_F55,10,2,201,0,99,201,0.010190725326538086,0.01009678840637207,0.09772062301635742,-0.08698880672454834,True,0,0,0,True,194,0.627831715210356,0,0.0,53.0,1,6,67,134,"{""9"": 200, ""-1"": 1}",200,1,201,0.0,200,200,0,True,0,0,0,2.704952368141055,52.01872799024187,0,3.352143738588997,0.4761418073824606
DTLZ1,7,3,141,0,69,141,0.008254051208496094,0.008067846298217773,0.11561977863311768,-0.10696601867675781,True,0,0,0,True,0,0.0,141,1.0,0.0,-1,-1,0,141,"{""9"": 140, ""-1"": 1}",140,1,141,0.0,140,140,0,True,0,0,0,52.37465929524637,54.53856732949014,0,6.195090425531499,6.159844886826089
DTLZ2,12,3,241,0,119,241,0.010046958923339844,0.00989532470703125,0.15308642387390137,-0.1428431272506714,True,0,0,0,True,243,0.6549865229110512,0,0.0,234.0,1,5,196,45,"{""9"": 240, ""-1"": 1}",240,1,241,0.0,240,240,0,True,0,0,0,0.4359890680886114,0.9223741144010731,0,-3.405780414777032,-7.488757581235299
DTLZ3,12,3,241,0,119,241,0.010010242462158203,0.00968790054321289,0.17144453525543213,-0.1608511209487915,True,0,0,0,True,0,0.0,241,1.0,0.0,-1,-1,0,241,"{""9"": 240, ""-1"": 1}",240,1,241,0.0,240,240,0,True,0,0,0,56.471036214574255,58.61203692658229,0,-46.4866561437605,9.111100113391348
DTLZ4,12,3,241,0,119,241,0.009795188903808594,0.00994873046875,0.16076016426086426,-0.15067148208618164,True,0,0,0,True,161,0.4339622641509434,22,0.0912863070539419,163.0,23,153,176,65,"{""9"": 240, ""-1"": 1}",240,1,241,0.0,240,240,0,True,0,0,0,4.419830787105413,8.361013971745338,0,-0.11034618444481303,-5.328128398815377
MMF1,2,2,41,0,19,41,0.006529331207275391,0.006276845932006836,0.06513512134552002,-0.05860698223114014,True,2,2,0,True,32,0.5245901639344263,0,0.0,15.0,1,2,0,41,"{""9"": 40, ""-1"": 1}",40,1,41,0.0,40,40,0,True,0,0,0,1.4705753034769873,2.35625696031226,0,-0.19968455944083718,-2.062912374629243
MMF11_L,2,2,41,0,19,41,0.006557345390319824,0.006284952163696289,0.09250283241271973,-0.08583259582519531,True,0,0,0,True,57,0.9344262295081968,0,0.0,15.0,1,0,2,39,"{""9"": 40, ""-1"": 1}",40,1,41,0.0,40,40,0,True,0,0,0,1.8223916057136949,3.1964975429967204,0,-1.8669360098872225,-3.5569241506081
MMF4,2,2,41,0,19,41,0.006481647491455078,0.006329536437988281,0.07182967662811279,-0.06533646583557129,True,1,1,0,True,45,0.7377049180327869,0,0.0,25.0,1,0,16,25,"{""9"": 40, ""-1"": 1}",40,1,41,0.0,40,40,0,True,0,0,0,1.3969516222890728,2.0819123459308075,0,-1.864246720250791,-4.7868696446024614
WFG2,22,2,441,0,219,441,0.010379791259765625,0.01027679443359375,0.17940139770507812,-0.1694192886352539,True,0,0,0,True,620,0.9104258443465492,0,0.0,18.0,1,2,430,11,"{""9"": 440, ""-1"": 1}",440,1,441,0.0,440,440,0,True,0,0,0,1.8857871211987955,7.333648575040835,0,-1.276765048680018,-5.63713152869934
WFG4,22,2,441,0,219,441,0.009935379028320312,0.009979248046875,0.1772855520248413,-0.16722416877746582,True,0,0,0,True,589,0.8649045521292217,0,0.0,48.0,1,0,441,0,"{""9"": 440, ""-1"": 1}",440,1,441,0.0,440,440,0,True,0,0,0,0.2590718208974234,0.573432064249138,0,-2.4354256817779385,-4.62188187821543
WFG5,22,2,441,0,219,441,0.009918212890625,0.010128021240234375,0.16801655292510986,-0.15728998184204102,True,0,0,0,True,603,0.8854625550660793,0,0.0,436.0,1,0,439,2,"{""9"": 440, ""-1"": 1}",440,1,441,0.0,440,440,0,True,0,0,0,1.603637064544439,2.570988465369992,0,-1.7034780630604427,-3.7846054012432524
WFG9,22,2,441,0,219,441,0.011191844940185547,0.01113128662109375,0.17628109455108643,-0.16530907154083252,True,0,0,0,True,432,0.6343612334801763,0,0.0,47.0,1,0,284,157,"{""9"": 440, ""-1"": 1}",440,1,441,0.0,440,440,0,True,0,0,0,0.29974246245944647,1.2843057731852827,0,-0.14383865519502503,-1.0398269436843455
ZDT1,30,2,640,0,319,640,0.01175689697265625,0.01174163818359375,0.25056958198547363,-0.23876118659973145,True,67,67,0,True,591,0.6361679224973089,9,0.0140625,369.0,10,337,547,93,"{""9"": 639, ""-1"": 1}",639,1,640,0.0,639,639,39,False,39,39,39,3.0925046393827627,6.22420457156788,0,-7.306976877763029,-10.734837802405755
ZDT4,10,2,201,0,99,201,0.007437705993652344,0.007224082946777344,0.09552955627441406,-0.08793365955352783,True,0,0,0,True,0,0.0,201,1.0,0.0,-1,-1,0,201,"{""9"": 200, ""-1"": 1}",200,1,201,0.0,200,200,0,True,0,0,0,3.1724873832548823,48.576068810130145,0,-52.40935499785918,-47.15578164704743
