label,exp,tier,dist,problema,D,M,N,I_eff,U1_n_real,U1_fe_ok,U1_fase_init,U1_feindex_denso,U1_solid_unico,U1_tempo_aval_real,U1_N_esperado,U1_N_ok,U2_ds_existe,U2_dX_bitexato,U2_dX_max,U2_dF_bitexato,U2_hash_x_sidecar,U2_hash_x_manifesto,U2_hash_x_ok,U2_hash_f_ok,U2_doe_hash_eq_x,U3_n_timing,U3_ok,U3_ger_timing,U3_ger_51i,U4_n_ev_sonda,U4_n_pontos,U4_flags,U4_hash_ok,U4_ger_null,U4_len,U4_ok,U4_tempo_pred,U5_dX_blk0,U5_dX_blk1,U5_dX_ulp_ok,U5_hash_gab,U5_hash_ev,U5_hash_eq,U6_espaco,U6_transf,F1_bit_identico,F1_n_diff,F2_nan_pre50,F2_nan_build,F2_nan_final,F2_nan_sonda_b0,F2_nan_sonda_b1,F2_nan_busca,U7_viol,U7_viol_com_sonda,U7_linhas_com_sonda,U7_idx_viol_sonda,U7_ok,U7_folga_med,U7_fit_total,U7_busca_total,U8_valores,U8_ok,U9_n_guard,U9_cache_manifest,U9_cache_footer,U9_ok,U10_ngen,U10_esperado,U10_ok,U10_ok_footer,U11_pop_linhas,U11_rsid_naonulo,U11_ok,U12_nd_ok,U12_n_final,U12_n_nd,U12_razao_fantasia,U12_origem_unica,U12_origem_ger,U12_origem_eq_ultima,U12_pop_ultima,U12_nfinal_eq_pop,U12_link_bit,U12_link_dmax,U12_footer_nfinal_ok,U12_osid_null
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,4,309,True,1.0,True,True,0.0,309,True,True,True,0.0,True,c5d1ee9e3632a136fbc764a95a0e66515db9cc5983de45ca06568b41cda8ee5c,c5d1ee9e3632a136fbc764a95a0e66515db9cc5983de45ca06568b41cda8ee5c,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.3432,2.384185791015625e-07,2.384185791015625e-07,True,27f3472236e83f148f1a132f03465154628970ebe9a5663ddc2f9997e10015d5,27f3472236e83f148f1a132f03465154628970ebe9a5663ddc2f9997e10015d5,True,cru,None,True,0,1.0,0.23513740886146944,0.0013974343507459686,0.324625,0.324625,0.03071255231597088,0,1,1,3,True,0.0,0.871030330657959,2.3318631649017334,308,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,50,17,0.34,True,1204,True,50,True,True,0.0,True,0
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,4,309,True,1.0,True,True,0.0,309,True,True,True,0.0,True,118801c8e0992bab7dd7bc4a26ac90530a0f676577ef7027deaef0fc4f55598c,118801c8e0992bab7dd7bc4a26ac90530a0f676577ef7027deaef0fc4f55598c,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.49219999999999997,2.384185791015625e-07,2.384185791015625e-07,True,7c3f3dead6f879c433b7e56daaed73a6ed433a77d0200f2d664c7616011d508f,7c3f3dead6f879c433b7e56daaed73a6ed433a77d0200f2d664c7616011d508f,True,cru,None,True,0,1.0,0.09918478260869565,0.0,0.0,0.0,0.04309690478198532,0,1,1,3,True,0.0,0.9764020442962646,2.0198307037353516,308,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,2,1,0.5,True,1204,True,2,True,True,0.0,True,0
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,4,309,True,1.0,True,True,0.0,309,True,True,True,0.0,True,0b4475f70d78936a8cb286b157ec9a89933c1665a29f2f77c73fb3bee4cac52b,0b4475f70d78936a8cb286b157ec9a89933c1665a29f2f77c73fb3bee4cac52b,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.5471,2.384185791015625e-07,2.384185791015625e-07,True,debbf73cffb7ecc7c3504eca8f6c4c53429eb2123de916676901391bb894bb7d,debbf73cffb7ecc7c3504eca8f6c4c53429eb2123de916676901391bb894bb7d,True,cru,None,True,0,1.0,0.04523809523809524,0.0,0.0,0.0,0.00703117772226848,0,1,1,3,True,0.0,1.3824806213378906,2.1971473693847656,308,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,14,2,0.14285714285714285,True,1204,True,14,True,True,0.0,True,0
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,4,309,True,1.0,True,True,0.0,309,True,True,True,0.0,True,78d44f9fd856d02487d52202bbd05ab7e780ee160fbfccea4b77e2f3ed076eca,78d44f9fd856d02487d52202bbd05ab7e780ee160fbfccea4b77e2f3ed076eca,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.45399999999999996,2.384185791015625e-07,2.384185791015625e-07,True,4d01f6da97ec48d33c03974254a5aa08b7e25c8e14d8c0bc26f8609f8027f46a,4d01f6da97ec48d33c03974254a5aa08b7e25c8e14d8c0bc26f8609f8027f46a,True,cru,None,True,0,1.0,0.15562067929065224,0.0005046894057282248,0.16505,0.16505,0.01954508559622196,0,1,1,3,True,0.0,0.708223819732666,2.5638813972473145,308,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,50,5,0.1,True,1204,True,50,True,True,0.0,True,0
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,4,309,True,1.0,True,True,0.0,309,True,True,True,0.0,True,4c282ef0de8cdf39acfcdc2b88447b49db95ee2666ec4d6ce5a87cb37e7d96bd,4c282ef0de8cdf39acfcdc2b88447b49db95ee2666ec4d6ce5a87cb37e7d96bd,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.4526,2.384185791015625e-07,2.384185791015625e-07,True,e0018818d84148b133e5f4cf0f512d52c691059ee7363a42b2d7e0e79d73072a,e0018818d84148b133e5f4cf0f512d52c691059ee7363a42b2d7e0e79d73072a,True,cru,None,True,0,1.0,0.18998351950192272,0.0002444688913335778,0.17715,0.17715,0.027379861202042687,0,1,1,3,True,0.0,0.848975658416748,2.0325851440429688,308,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,32,5,0.15625,True,1204,True,32,True,True,0.0,True,0
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,4,309,True,1.0,True,True,0.0,309,True,True,True,0.0,True,33ef83f624ce5393395ba2eb1ea8562911ce6a609c8231f395c42166cc7ba58b,33ef83f624ce5393395ba2eb1ea8562911ce6a609c8231f395c42166cc7ba58b,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.4151,2.384185791015625e-07,2.384185791015625e-07,True,e3ec7d080a78160bfbdb4c07dd1e0d95edef6104b5fe37770e09eccfd72d927c,e3ec7d080a78160bfbdb4c07dd1e0d95edef6104b5fe37770e09eccfd72d927c,True,cru,None,True,0,1.0,0.03542375388256175,0.0013264465301364632,0.3504,0.3504,0.0054053575851940976,0,1,1,3,True,0.0,0.7597179412841797,2.6445343494415283,308,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,50,2,0.04,True,1204,True,50,True,True,0.0,True,0
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,4,309,True,1.0,True,True,0.0,309,True,True,True,0.0,True,56dca61b277d6c73ae1334694d7fc6223036f3df64b3d80357010f746fc979d2,56dca61b277d6c73ae1334694d7fc6223036f3df64b3d80357010f746fc979d2,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.3114,2.384185791015625e-07,2.384185791015625e-07,True,efc793cea39883de53539fc48c9f3c11f9cda0db371cd6f0b3fc46cb948084b1,efc793cea39883de53539fc48c9f3c11f9cda0db371cd6f0b3fc46cb948084b1,True,cru,None,True,0,1.0,0.03780228541057667,0.0011533678340755005,0.64635,0.64635,0.005960264900662252,0,1,1,3,True,0.0,0.3462104797363281,2.8816370964050293,308,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,50,7,0.14,True,1204,True,50,True,True,0.0,True,0
DTLZ1,off,small,lhs,DTLZ1,7,3,216,4,216,True,1.0,True,True,0.0,216,True,True,True,0.0,True,a5c89886de9b55b78a7caedb4e3fbb26ea3c9783076a315af4cdbf467edf3f08,a5c89886de9b55b78a7caedb4e3fbb26ea3c9783076a315af4cdbf467edf3f08,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.521,2.9802322387695312e-08,2.9802322387695312e-08,True,f9b86a17c9b741d4b9ca76a99235f023b4c78560fcbebed11274213d3e0a5a25,f9b86a17c9b741d4b9ca76a99235f023b4c78560fcbebed11274213d3e0a5a25,True,cru,None,True,0,1.0,0.11160412848461464,0.0,0.0,0.0,0.010267286667613233,0,1,1,3,True,0.0,0.7318277359008789,5.705775260925293,215,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,104,21,0.20192307692307693,True,1204,True,104,True,True,0.0,True,0
DTLZ2,off,small,lhs,DTLZ2,12,3,371,4,371,True,1.0,True,True,0.0,371,True,True,True,0.0,True,77b3ca1a9021b378f86d034ac80784954bed2938c4e61b6ce36e3998171f94f4,77b3ca1a9021b378f86d034ac80784954bed2938c4e61b6ce36e3998171f94f4,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.7962,2.9802322387695312e-08,2.9802322387695312e-08,True,0b76bc415a0090927784e6dd24a327876b96f26debde70bcb64d5466fab158a7,0b76bc415a0090927784e6dd24a327876b96f26debde70bcb64d5466fab158a7,True,cru,None,True,0,1.0,0.08323307110905445,0.0,0.0,0.0,0.008644859064445534,0,1,1,3,True,0.0,1.6781797409057617,6.590302467346191,370,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,94,93,0.9893617021276596,True,1204,True,94,True,True,0.0,True,0
DTLZ3,off,small,lhs,DTLZ3,12,3,371,4,371,True,1.0,True,True,0.0,371,True,True,True,0.0,True,80e82645869c393d96965bc87eb6427dc0170a913d1333389f893e3bf3bc51d4,80e82645869c393d96965bc87eb6427dc0170a913d1333389f893e3bf3bc51d4,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.8421,2.9802322387695312e-08,2.9802322387695312e-08,True,29238ea596c36588066dab6374ac68f00ea191ec7301309eed9634afb6e56e5f,29238ea596c36588066dab6374ac68f00ea191ec7301309eed9634afb6e56e5f,True,cru,None,True,0,1.0,0.058434905493729025,0.0,0.0,0.0,0.005277331087117441,0,1,1,3,True,0.0,1.4332454204559326,5.608313083648682,370,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,95,36,0.37894736842105264,True,1204,True,95,True,True,0.0,True,0
