label,exp,tier,dist,problema,D,M,N,Nmin,I_eff,I_max,I_frac,mono_ok,passo_ok,gps_le_folhas,sat_ok,n_inc_pos,n_inc_banda,n_inc_fora,incs_fora,n_gps_final,n_folhas_final,tp_final,cobertura_frac,prof_max,max_folhas,teto_folhas,early_any,early_idx,early_na_ultima,corte_antes_Imax,delta_unicos,delta_ultimo,pop_teto,pop_max,pop_min,pop_med_build,pop_med_final,pop_ger1,pop_ger50,pop_ultima,colapso_pre50,excede_teto,fit_total,busca_total,tempo_total_s
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,100,4,4,1.0,True,True,True,True,2,2,0,,"[1, 3]","[3, 3]","[108.0, 309.0]",0.6747572815533981,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,6,43.5,50.0,6,6,50,True,False,0.87103,2.331863,25.8568
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,100,4,4,1.0,True,True,True,True,3,3,0,,"[3, 2]","[3, 2]","[309.0, 309.0]",1.0,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,2,24.5,2.0,3,3,2,True,False,0.976402,2.019831,8.9056
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,100,4,4,1.0,True,True,True,True,2,2,0,,"[2, 2]","[2, 2]","[309.0, 309.0]",1.0,1.0,2.0,3,False,,False,False,1.0,1.0,50,50,3,24.0,25.0,3,3,14,True,False,1.3824809999999998,2.197147,19.3158
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,100,4,4,1.0,True,True,True,True,2,2,0,,"[2, 2]","[3, 2]","[207.0, 309.0]",0.8349514563106796,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,4,39.0,50.0,4,4,50,True,False,0.7082240000000001,2.5638810000000003,26.3116
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,100,4,4,1.0,True,True,True,True,2,2,0,,"[2, 2]","[3, 2]","[200.0, 309.0]",0.8236245954692557,2.0,3.0,3,False,,False,False,1.0,1.0,50,46,4,33.0,32.0,4,4,32,True,False,0.848976,2.032585,19.477
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,100,4,4,1.0,True,True,True,True,1,1,0,,"[1, 2]","[3, 2]","[100.0, 309.0]",0.6618122977346278,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,4,37.0,50.0,4,4,50,True,False,0.759718,2.6445339999999997,26.1997
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,100,4,4,1.0,True,True,True,True,0,0,0,,"[1, 1]","[2, 3]","[121.0, 101.0]",0.3592233009708738,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,4,50.0,50.0,4,4,50,True,False,0.34620999999999996,2.881637,26.0507
DTLZ1,off,small,lhs,DTLZ1,7,3,216,70,4,4,1.0,True,True,True,True,5,5,0,,"[3, 3, 2]","[3, 3, 2]","[216.0, 216.0, 216.0]",1.0,2.0,3.0,3,False,,False,False,1.0,1.0,105,104,8,20.0,103.0,8,8,104,True,False,0.731828,5.705775,69.6143
DTLZ2,off,small,lhs,DTLZ2,12,3,371,120,4,4,1.0,True,True,True,True,4,4,0,,"[2, 3, 2]","[2, 3, 2]","[371.0, 371.0, 371.0]",1.0,2.0,3.0,3,False,,False,False,1.0,1.0,105,95,7,60.0,94.0,7,7,94,True,False,1.67818,6.590303,68.3923
DTLZ3,off,small,lhs,DTLZ3,12,3,371,120,4,4,1.0,True,True,True,True,3,3,0,,"[2, 2, 2]","[2, 2, 2]","[371.0, 371.0, 371.0]",1.0,1.0,2.0,3,False,,False,False,1.0,1.0,105,96,4,30.0,95.0,4,4,95,True,False,1.4332449999999999,5.608313000000001,66.7212
