label,exp,tier,dist,problema,D,M,N,Nmin,I_eff,I_max,k,iteracao,geracao,n_gps,n_folhas,prof_max,tp,tp_frac,delta_total_point,early_stop,n_front1,f_best,tempo_fit_s,tempo_busca_s,motivo
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,100,4,4,0,1,51,"[1, 1]","[3, 3]",2.0,"[108.0, 100.0]",0.3365695792880259,1.0,False,1,"[80.54851063774095, 90.20606318817411]",0.415227,0.057787,construcao treed-GP: +GP na folha de maior impureza
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,100,4,4,1,2,102,"[1, 2]","[3, 3]",2.0,"[108.0, 201.0]",0.5,1.0,False,2,"[30.97287763164161, 78.10740910141601]",0.113122,0.479714,construcao treed-GP: +GP na folha de maior impureza
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,100,4,4,2,3,153,"[1, 3]","[3, 3]",2.0,"[108.0, 309.0]",0.6747572815533981,1.0,False,5,"[26.85470847779243, 42.87624167376066]",0.342456,0.836116,construcao treed-GP: +GP na folha de maior impureza
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,100,4,4,3,4,204,"[1, 3]","[3, 3]",2.0,"[108.0, 309.0]",0.6747572815533981,1.0,False,38,"[26.00630793817288, 8.970816944523165]",0.000225,0.958246,construcao treed-GP: +GP na folha de maior impureza
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,100,4,4,0,1,51,"[1, 1]","[3, 2]",2.0,"[102.0, 113.0]",0.3478964401294498,1.0,False,1,"[3534251.1801879127, 0.0]",0.25983,0.048619,construcao treed-GP: +GP na folha de maior impureza
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,100,4,4,1,2,102,"[2, 2]","[3, 2]",2.0,"[202.0, 309.0]",0.8268608414239482,1.0,False,1,"[3534251.1801879127, 0.0]",0.585518,0.192576,construcao treed-GP: +GP na folha de maior impureza
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,100,4,4,2,3,153,"[3, 2]","[3, 2]",2.0,"[309.0, 309.0]",1.0,1.0,False,1,"[2579950.031468173, 0.0]",0.130836,0.890784,construcao treed-GP: +GP na folha de maior impureza
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,100,4,4,3,4,204,"[3, 2]","[3, 2]",2.0,"[309.0, 309.0]",1.0,1.0,False,1,"[1571713.8023766591, 0.0]",0.000218,0.887852,construcao treed-GP: +GP na folha de maior impureza
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,100,4,4,0,1,51,"[1, 1]","[2, 2]",1.0,"[162.0, 127.0]",0.46763754045307443,1.0,False,1,"[509341.4209911364, 1923.118102792059]",0.638821,0.058507,construcao treed-GP: +GP na folha de maior impureza
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,100,4,4,1,2,102,"[2, 2]","[2, 2]",1.0,"[309.0, 309.0]",1.0,1.0,False,2,"[423391.2536648043, 2012.764595028604]",0.742977,0.436175,construcao treed-GP: +GP na folha de maior impureza
