label,exp,tier,dist,problema,D,M,N,Nmin,obj,n_folhas,n_gps,folhas_sem_gp,n_nan,nan_share,mu_dist_nan,mu_dist_gp,pred_dist,casa_nan,dmax_nan,dmed_nan,casa_gp,dmed_gp,escala,tolabs,mu_dist_le_folhas_sem_gp
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,100,0,3,1,2,12985,0.64925,2,7014,3,1.0,3.3187866250727893e-06,3.3187866250727893e-06,0.0,27.589599503411193,268.0382995605469,0.00012865837197750807,True
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,100,1,3,3,0,0,0.0,0,19988,3,,,,0.0,18.130687713623047,238.47911071777344,0.00011446997086750343,True
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,100,0,3,3,0,0,0.0,0,19974,3,,,,5e-05,4267719.5,74966544.0,35.98394012451172,True
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,100,1,2,2,0,0,0.0,0,12678,2,,,,0.0,73.80541038513184,3310.786865234375,0.001589177642017603,True
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,100,0,2,2,0,0,0.0,0,10870,2,,,,0.0,26839.53125,2329009.5,1.1179245710372925,True
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,100,1,2,2,0,0,0.0,0,11758,2,,,,0.0,31.87646484375,3398.910400390625,0.001631476916372776,True
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,100,0,3,2,1,6602,0.3301,1,6790,3,1.0,9.574142177370959e-05,9.574142177370959e-05,0.0,2.962275041852763,3360.8798828125,0.0016132222954183817,True
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,100,1,2,2,0,0,0.0,0,19970,2,,,,0.0,164.13501012851043,7227.873046875,0.0034693789202719927,True
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,100,0,3,2,1,7086,0.3543,1,6442,3,1.0,6.103515625e-05,6.103515625e-05,0.0,2823.243479614258,16451.91015625,0.007896916940808296,True
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,100,1,2,2,0,0,0.0,0,19639,2,,,,0.0,0.59014892578125,85.90257263183594,4.123323378735222e-05,True
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,100,0,3,1,2,14016,0.7008,2,5981,3,1.0,6.6144750690000365e-06,6.6144750690000365e-06,0.0,17.223326950073243,219.30494689941406,0.00010526637197472155,True
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,100,1,2,2,0,0,0.0,0,11333,2,,,,0.0,19.26861572265625,3157.87890625,0.0015157818561419845,True
