label,tier,it,pop,unicos,log,nd_todos,nd_unicos,casa_unicos,degenerado
BBOB_F37,small,3,48,48,3,2,2,False,False
BBOB_F5,small,3,49,49,5,3,3,False,False
BBOB_F5,small,4,50,50,9,8,8,False,False
DTLZ3,small,4,94,94,63,60,60,False,False
WFG2,small,4,37,37,8,4,4,False,False
swap_big-lhs_ZDT4,big,31,48,48,34,33,33,False,False
swap_big-lhs_ZDT4,big,32,50,50,35,34,34,False,False
swap_big-lhs_ZDT4,big,33,50,50,36,35,35,False,False
swap_big-mvns_WFG9,big,4,38,24,1,9,1,True,False
swap_big-mvns_WFG9,big,6,28,7,2,22,1,False,False
swap_big-mvns_WFG9,big,7,50,1,2,50,1,False,True
swap_big-mvns_WFG9,big,8,50,1,3,50,1,False,True
swap_big-mvns_ZDT4,big,9,50,50,7,6,6,False,False
swap_big-mvns_ZDT4,big,13,50,50,8,7,7,False,False
swap_big-mvns_ZDT4,big,14,50,50,9,7,7,False,False
swap_big-mvns_ZDT4,big,15,48,48,15,13,13,False,False
swap_big-mvns_ZDT4,big,16,50,50,11,8,8,False,False
swap_big-mvns_ZDT4,big,17,50,50,13,9,9,False,False
swap_big-mvns_ZDT4,big,18,50,50,12,8,8,False,False
swap_big-mvns_ZDT4,big,20,50,50,14,12,12,False,False
swap_big-mvns_ZDT4,big,21,50,50,17,13,13,False,False
swap_big-mvns_ZDT4,big,22,50,50,14,12,12,False,False
swap_big-mvns_ZDT4,big,23,50,50,12,10,10,False,False
swap_big-mvns_ZDT4,big,24,50,50,7,5,5,False,False
swap_big-mvns_ZDT4,big,26,50,50,9,8,8,False,False
swap_big-mvns_ZDT4,big,27,50,50,10,8,8,False,False
swap_big-mvns_ZDT4,big,28,50,50,8,7,7,False,False
swap_big-mvns_ZDT4,big,29,50,50,7,6,6,False,False
swap_medium-mvns_WFG9,medium,2,47,3,2,45,1,False,False
swap_medium-mvns_WFG9,medium,3,50,1,1,50,1,True,True
swap_medium-mvns_WFG9,medium,4,50,1,10,50,1,False,True
swap_medium-mvns_WFG9,medium,5,50,1,4,50,1,False,True
swap_medium-mvns_WFG9,medium,6,47,1,1,47,1,True,True
swap_medium-mvns_WFG9,medium,7,33,1,2,33,1,False,True
swap_medium-mvns_WFG9,medium,8,50,1,1,50,1,True,True
swap_small-mvns_WFG9,small,2,42,17,2,7,1,False,False
swap_small-mvns_WFG9,small,3,42,1,1,42,1,True,True
swap_small-mvns_WFG9,small,4,47,1,3,47,1,False,True
