problema,D,M,h1,h2,h3,n,vor_conv,vor_conv_n,vor_inc,vor_inc_n,u11_num,u11_den,ea_melhora,ea_n,rsid_n,rsid_ok,u11_wape
BBOB_F1,10,2,37,66,0,66,68,135,51,63,1071.9482339908316,11084.588927268982,66,66,198,198,0.09670617837290768
BBOB_F17,10,2,46,66,0,66,82,135,56,63,578974545.7184169,2528771027.3250246,62,66,198,198,0.22895491108614358
BBOB_F22,10,2,44,66,1,66,54,144,49,54,4498986.121245954,5758790.322875977,66,66,198,198,0.7812380498338984
BBOB_F37,10,2,44,66,1,66,63,141,50,57,27507.8208731921,228900.57775878906,66,66,198,198,0.12017366291744053
BBOB_F49,10,2,43,66,0,66,51,144,42,54,19341.429570049826,112837.79030036926,66,66,198,198,0.17140914864216844
BBOB_F5,10,2,43,66,1,66,48,138,49,60,13016.119185214347,147174.1459980011,66,66,198,198,0.08844025624847948
BBOB_F55,10,2,39,66,0,66,80,153,37,45,2930.4399872370686,12003.079315662384,66,66,198,198,0.24414068341723308
DTLZ1,7,3,31,46,0,46,70,105,32,33,15560.215356475892,37302.53260677634,46,46,138,138,0.417135627773682
DTLZ2,12,3,18,80,0,80,162,192,48,48,59.67217492458913,459.24832957293984,80,80,240,240,0.12993444087228134
DTLZ3,12,3,57,80,0,80,146,180,56,60,134796.9375395423,349640.3476389535,80,80,240,240,0.3855302697466045
DTLZ4,12,3,0,0,0,80,77,168,55,72,119.7834329017809,355.8588050572591,78,80,240,240,0.33660381926620386
DTLZ7,22,3,95,146,0,146,96,285,131,153,222.70554044724554,4888.385049160247,146,146,438,438,0.045558101133114114
MMF1,2,2,10,13,0,13,11,24,10,15,55.02867112552319,83.3824460953474,11,13,39,38,0.6599551068890229
MMF11_L,2,2,4,13,0,13,9,27,6,12,42.527066023949686,236.28373780101538,12,13,39,36,0.17998304250529312
MMF16_20,20,3,63,133,1,133,250,291,106,108,382.15763712101955,1368.5170982259922,133,133,399,399,0.27924944278475605
MMF4,2,2,0,13,0,13,13,27,7,12,18.166126061301377,56.891480784863234,13,13,39,38,0.31931188660736576
WFG1,22,2,78,146,0,146,134,339,60,99,627.6100794222858,1775.500589311123,98,146,438,438,0.35348345317406654
WFG2,22,2,140,146,0,146,135,321,93,117,438.60139583626363,2109.356794178486,146,146,438,438,0.20793134525497958
WFG4,22,2,83,146,0,146,108,327,75,111,400.04252453473407,1919.7718124985695,146,146,438,438,0.20838024703263122
WFG5,22,2,106,146,0,146,107,321,87,117,320.35956225858496,1830.8653624653816,146,146,438,438,0.17497712766120582
WFG9,22,2,128,146,0,146,127,306,105,132,812.0205610187606,2310.0193460285664,146,146,438,438,0.3515211084334871
ZDT1,30,2,158,200,4,200,207,435,146,165,113.44723302711088,1302.155189970299,200,200,600,600,0.08712266702227597
ZDT3,30,2,142,200,0,200,154,435,124,165,198.54051515062284,1512.5213388402644,200,200,600,600,0.1312646043743456
ZDT4,10,2,58,66,1,66,49,132,62,66,4326.104616405171,22495.029161366714,66,66,198,198,0.19231380343506668
ZDT6,10,2,50,66,0,66,78,147,44,51,99.73559776726704,1338.7584711313248,66,66,198,198,0.07449857455093073
