problema,ciclo,ramo,n_inf,n_achados,rank_min,ranks,km_ok,nf1_log,nf1_pop,nf1_arq,warm_inter,head_mean,head_std
BBOB_F1,1,convergencia,3,3,0,"[0, 11, 64]",2,2,41,7,0.0,-0.37840789556503296,2.6949543952941895
BBOB_F1,2,incerteza,3,3,0,"[0, 4, 7]",3,4,30,2,0.0,-0.2576132118701935,2.788347005844116
BBOB_F1,3,incerteza,3,3,0,"[0, 1, 3]",3,5,20,4,0.0,-0.3746689260005951,2.6925454139709473
BBOB_F1,4,convergencia,3,3,0,"[0, 3, 55]",3,5,21,5,0.0,-0.25235432386398315,2.734877347946167
BBOB_F1,5,convergencia,3,3,0,"[0, 34, 52]",2,8,20,5,0.0,-0.23600006103515625,2.6500260829925537
BBOB_F1,6,convergencia,3,3,0,"[0, 6, 57]",3,9,25,8,0.0,-0.3815104067325592,2.713404893875122
BBOB_F1,7,convergencia,3,3,0,"[0, 5, 95]",3,9,23,9,0.0,-0.3585375249385834,2.60815167427063
BBOB_F1,8,convergencia,3,3,0,"[0, 30, 85]",1,5,19,9,0.0,-0.5704248547554016,2.6522717475891113
BBOB_F1,9,convergencia,3,3,0,"[0, 9, 68]",3,6,18,5,0.0,-0.2679273784160614,2.6675593852996826
BBOB_F1,10,convergencia,3,3,0,"[0, 2, 77]",3,8,22,6,0.0,-0.5017281770706177,2.5526139736175537
BBOB_F1,11,convergencia,3,3,0,"[0, 3, 71]",3,8,30,8,0.0,-0.5117465257644653,2.629503011703491
BBOB_F1,12,convergencia,3,3,0,"[0, 7, 87]",3,8,26,8,0.0,-0.2694103419780731,2.7360782623291016
BBOB_F1,13,incerteza,3,3,0,"[0, 3, 8]",2,6,15,8,0.0,-0.4750276505947113,2.680708646774292
BBOB_F1,14,convergencia,3,3,0,"[0, 5, 89]",3,7,11,6,0.0,-0.33345651626586914,2.5778510570526123
BBOB_F1,15,convergencia,3,3,0,"[0, 1, 84]",3,9,16,7,0.0,-0.2666047215461731,2.7257778644561768
BBOB_F1,16,convergencia,3,3,0,"[0, 4, 87]",3,9,23,9,0.0,-0.4437766671180725,2.532543182373047
BBOB_F1,17,convergencia,3,3,0,"[0, 8, 90]",2,9,34,9,0.0,-0.43766218423843384,2.5848677158355713
BBOB_F1,18,incerteza,3,3,0,"[0, 5, 14]",2,9,15,9,0.0,-0.4178575575351715,2.6319565773010254
BBOB_F1,19,convergencia,3,3,0,"[0, 18, 56]",2,9,21,9,0.0,-0.45121678709983826,2.6527390480041504
BBOB_F1,20,incerteza,3,3,0,"[0, 2, 12]",2,9,13,9,0.0,-0.37176838517189026,2.6643989086151123
BBOB_F1,21,convergencia,3,3,0,"[0, 25, 83]",2,9,30,9,0.0,-0.5764089226722717,2.711170196533203
BBOB_F1,22,convergencia,3,3,0,"[0, 9, 82]",2,9,27,9,0.0,-0.3673848807811737,2.6199874877929688
BBOB_F1,23,convergencia,3,3,0,"[0, 1, 71]",3,9,24,9,0.0,-0.678252637386322,2.7070562839508057
BBOB_F1,24,incerteza,3,3,0,"[0, 4, 14]",2,11,13,9,0.0,-0.6074179410934448,2.599214792251587
BBOB_F1,25,convergencia,3,3,0,"[0, 15, 90]",3,12,24,11,0.0,-0.3395521342754364,2.6045608520507812
BBOB_F1,26,convergencia,3,3,0,"[0, 58, 83]",1,13,23,12,0.0,-0.33291104435920715,2.5483269691467285
BBOB_F1,27,convergencia,3,3,0,"[0, 19, 74]",1,11,30,13,0.0,-0.29102978110313416,2.7663490772247314
BBOB_F1,28,incerteza,3,3,0,"[0, 6, 24]",3,12,20,11,0.0,-0.27459579706192017,2.7108330726623535
BBOB_F1,29,convergencia,3,3,0,"[0, 6, 85]",3,13,48,12,0.0,-0.4319981038570404,2.554810047149658
BBOB_F1,30,incerteza,3,3,0,"[0, 1, 21]",3,14,24,13,0.0,-0.34902411699295044,2.687666893005371
BBOB_F1,31,convergencia,3,3,0,"[0, 58, 88]",3,13,24,14,0.0,-0.3622826933860779,2.5300815105438232
BBOB_F1,32,convergencia,3,3,0,"[0, 1, 57]",3,13,39,13,0.0,-0.2805440127849579,2.667649984359741
BBOB_F1,33,incerteza,3,3,0,"[0, 4, 6]",2,13,23,13,0.0,-0.4623333215713501,2.6838929653167725
BBOB_F1,34,convergencia,3,3,0,"[0, 8, 55]",1,13,28,13,0.0,-0.33852437138557434,2.6606929302215576
BBOB_F1,35,convergencia,3,3,0,"[0, 1, 73]",3,13,31,13,0.0,-0.4297246038913727,2.638500213623047
BBOB_F1,36,convergencia,3,3,0,"[0, 34, 52]",1,13,36,13,0.0,-0.35816192626953125,2.6217942237854004
BBOB_F1,37,convergencia,3,3,0,"[0, 2, 66]",3,12,32,13,0.0,-0.38230207562446594,2.483616590499878
BBOB_F1,38,incerteza,3,3,0,"[0, 3, 20]",2,12,26,12,0.0,-0.46168261766433716,2.598294734954834
BBOB_F1,39,convergencia,3,3,0,"[0, 9, 57]",3,12,31,12,0.0,-0.39947474002838135,2.582566738128662
BBOB_F1,40,incerteza,3,3,0,"[0, 9, 18]",3,12,20,12,0.0,-0.28526103496551514,2.5307533740997314
BBOB_F1,41,convergencia,3,3,0,"[0, 4, 77]",3,12,47,12,0.0,-0.2582978308200836,2.5630693435668945
BBOB_F1,42,incerteza,3,3,0,"[0, 10, 11]",2,12,34,12,0.0,-0.1451045423746109,2.755596160888672
BBOB_F1,43,convergencia,3,3,0,"[0, 27, 66]",3,12,32,12,0.0,-0.26479870080947876,2.507174015045166
BBOB_F1,44,convergencia,3,3,0,"[0, 22, 67]",2,12,40,12,0.0,-0.27786970138549805,2.6230571269989014
BBOB_F1,45,incerteza,3,3,0,"[0, 1, 18]",3,13,30,12,0.0,-0.365390419960022,2.607882499694824
BBOB_F1,46,convergencia,3,3,0,"[0, 12, 83]",2,13,60,13,0.0,-0.45008862018585205,2.59517502784729
BBOB_F1,47,incerteza,3,3,0,"[0, 11, 24]",2,14,39,13,0.0,-0.15978315472602844,2.7378175258636475
BBOB_F1,48,convergencia,3,3,0,"[0, 2, 81]",1,14,39,14,0.0,-0.2676772177219391,2.6144585609436035
BBOB_F1,49,convergencia,3,3,0,"[0, 3, 78]",1,15,61,14,0.0,-0.3765050768852234,2.631385087966919
BBOB_F1,50,incerteza,3,3,0,"[0, 1, 19]",2,15,34,15,0.0,-0.3003385066986084,2.6847639083862305
BBOB_F1,51,convergencia,3,3,0,"[0, 16, 37]",1,15,72,15,0.0,-0.339117169380188,2.6218338012695312
BBOB_F1,52,incerteza,3,3,0,"[0, 5, 8]",3,15,28,15,0.0,-0.2751520872116089,2.59529972076416
BBOB_F1,53,convergencia,3,3,0,"[0, 6, 69]",1,15,52,15,0.0,-0.3483532667160034,2.7214725017547607
BBOB_F1,54,incerteza,3,3,0,"[0, 13, 20]",3,17,36,15,0.0,-0.3330003619194031,2.6191012859344482
BBOB_F1,55,convergencia,3,3,0,"[0, 1, 55]",1,17,51,17,0.0,-0.41321825981140137,2.616858720779419
BBOB_F1,56,incerteza,3,3,0,"[0, 1, 34]",3,18,34,17,0.0,-0.36485162377357483,2.635437488555908
BBOB_F1,57,convergencia,3,3,0,"[0, 4, 88]",2,18,35,18,0.0,-0.2938030958175659,2.4299724102020264
BBOB_F1,58,convergencia,3,3,0,"[0, 1, 67]",3,18,40,18,0.0,-0.7232560515403748,2.418480157852173
BBOB_F1,59,convergencia,3,3,0,"[0, 23, 47]",2,18,39,18,0.0,-0.4020785391330719,2.5438084602355957
BBOB_F1,60,incerteza,3,3,0,"[0, 1, 21]",2,18,28,18,0.0,-0.4321151673793793,2.5728278160095215
BBOB_F1,61,convergencia,3,3,0,"[0, 5, 62]",1,19,35,18,0.0,-0.548750638961792,2.6991312503814697
BBOB_F1,62,convergencia,3,3,0,"[0, 45, 54]",1,19,62,19,0.0,-0.4164764881134033,2.6310927867889404
BBOB_F1,63,incerteza,3,3,0,"[0, 2, 11]",3,20,43,19,0.0,-0.1968107670545578,2.550729274749756
BBOB_F1,64,convergencia,3,3,0,"[0, 30, 42]",3,21,40,20,0.0,-0.5374555587768555,2.5988569259643555
BBOB_F1,65,convergencia,3,3,0,"[0, 3, 85]",3,21,54,21,0.0,-0.3762057423591614,2.6172966957092285
BBOB_F1,66,incerteza,3,3,0,"[0, 14, 39]",3,22,29,21,,,
BBOB_F17,1,convergencia,3,3,0,"[0, 46, 87]",3,5,22,6,0.0,0.019523194059729576,2.934828519821167
BBOB_F17,2,convergencia,3,3,0,"[0, 57, 77]",3,4,24,5,0.0,0.1392299234867096,2.9694457054138184
BBOB_F17,3,convergencia,3,3,0,"[0, 66, 80]",2,4,47,4,0.0,0.056718215346336365,2.9255692958831787
