problema,conv_ok,conv_n,inc_ok,inc_n,dupX_ciclos,ciclos,conv_popmin,conv_cru,inc_soma
BBOB_F1,45,45,21,21,31,66,33,38,0
BBOB_F17,45,45,21,21,36,66,21,23,0
BBOB_F22,48,48,18,18,34,66,8,41,0
BBOB_F37,47,47,19,19,35,66,13,37,0
BBOB_F49,48,48,18,18,38,66,13,33,0
BBOB_F5,46,46,20,20,30,66,14,44,0
BBOB_F55,51,51,15,15,30,66,35,33,0
DTLZ1,35,35,11,11,25,46,28,35,0
DTLZ2,64,64,16,16,23,80,61,64,0
DTLZ3,60,60,20,20,33,80,50,59,0
DTLZ4,56,56,24,24,30,80,5,55,0
DTLZ7,95,95,51,51,48,146,55,95,0
MMF1,8,8,5,5,13,13,2,2,0
MMF11_L,9,9,4,4,13,13,2,3,0
MMF16_20,97,97,36,36,44,133,66,97,0
MMF4,9,9,4,4,13,13,5,8,0
WFG1,113,113,33,33,51,146,15,17,0
WFG2,107,107,39,39,94,146,44,71,0
WFG4,109,109,37,37,81,146,9,94,0
WFG5,107,107,39,39,63,146,30,57,0
WFG9,102,102,44,44,77,146,32,48,0
ZDT1,145,145,55,55,60,200,70,45,0
ZDT3,145,145,55,55,55,200,20,133,0
ZDT4,44,44,22,22,22,66,41,44,0
ZDT6,49,49,17,17,29,66,23,39,0
