problema,n_ck,viol,pior_salto,ig0,ig1,melhora,nd0,nd1,fe_max
BBOB_F17,20,0,0.0,2.4167899424756034,0.025449054595285448,0.989469893867062,1,15,308
BBOB_F1,20,0,0.0,1.6651151931674129,0.0841150912283766,0.9494839206479335,1,22,308
BBOB_F22,20,0,0.0,6.550407018400444,0.23050086719345783,0.9648112145480474,1,14,308
BBOB_F37,20,0,0.0,1.182738987190214,0.1979404534507514,0.8326423195696029,1,12,308
BBOB_F49,20,0,0.0,1.3383037553621309,0.2726553045552879,0.796267997109886,1,12,308
BBOB_F55,20,0,0.0,1.388541999942182,0.11728601770050828,0.9155329707668965,1,11,308
BBOB_F5,20,0,0.0,0.9165469299595926,0.09036487154288507,0.901407261767961,1,16,308
DTLZ1,20,0,0.0,541.7753550899159,79.38235156797764,0.8534773669156602,1,25,215
DTLZ2,20,0,0.0,1.6297304711986438,0.18696032605201846,0.8852814441675673,1,94,370
DTLZ3,20,0,0.0,914.1600619307801,299.9544918120799,0.6718796802623912,1,32,370
DTLZ4,20,0,0.0,1.2302654075242083,0.21363718761949443,0.826348699790382,1,17,370
DTLZ7,20,0,0.0,2.9506393479468724,0.6977032729539132,0.7635416631180656,1,34,680
MMF11_L,20,0,0.0,0.5728206234612008,0.026053871586411242,0.95451652660656,1,12,60
MMF16_20,20,0,0.0,0.8559201840763245,0.04027217363502174,0.9529486809818816,1,111,618
MMF1,20,0,0.0,2.8112970162129414,0.06668599822697126,0.976279276845389,1,11,60
MMF4,20,0,0.0,0.3675238638476179,0.03112498249345951,0.9153116693767551,1,25,60
WFG1,20,0,0.0,1.1163446066331106,0.5217684614749941,0.5326098604546091,1,77,680
WFG2,20,0,0.0,0.6595702461706784,0.20850268377978584,0.6838810043504734,1,8,680
WFG4,20,0,0.0,0.32820668172874007,0.08489705205125035,0.7413305189154649,1,49,680
WFG5,20,0,0.0,0.5435150445367514,0.13684617518066927,0.7482200786230195,1,36,680
WFG9,20,0,0.0,0.6928485995065304,0.13454940281419597,0.8058025910566516,1,15,680
ZDT1,20,0,0.0,3.825360846748847,0.3972630146418627,0.8961501854185876,1,26,928
ZDT3,20,0,0.0,2.5208579962367232,0.3562110022142805,0.8586945386269073,1,17,928
ZDT4,20,0,0.0,160.0026906116995,55.444167231813715,0.6534797819971185,1,1,308
ZDT6,20,0,0.0,8.952705826241381,4.277823731996254,0.5221753272114141,1,4,308
