problema,est,cabeca,k_declarado,n_blocos,n_slots,idx0,deltas,delta3,delta_outro,ultimo_slot_coberto,ultima_ger_run
BBOB_F1,1,PNN(s1),6,25,73,1,"{""3"": 23, ""2"": 1}",23,1,True,290
BBOB_F1,2,RBF-global(s2),3,25,72,0,"{""3"": 23, ""2"": 1}",23,1,True,287
BBOB_F1,3,RBF-local(s3),12,24,72,2,"{""3"": 23}",23,0,True,288
BBOB_F17,1,PNN(s1),6,24,69,1,"{""3"": 22, ""1"": 1}",22,1,True,274
BBOB_F17,2,RBF-global(s2),3,24,69,0,"{""3"": 22, ""2"": 1}",22,1,True,275
BBOB_F17,3,RBF-local(s3),12,23,69,2,"{""3"": 22}",22,0,True,276
BBOB_F22,1,PNN(s1),6,24,71,1,"{""3"": 23}",23,0,True,282
BBOB_F22,2,RBF-global(s2),3,25,71,0,"{""3"": 23, ""1"": 1}",23,1,True,283
BBOB_F22,3,RBF-local(s3),12,24,70,2,"{""3"": 22, ""1"": 1}",22,1,True,280
BBOB_F37,1,PNN(s1),6,25,74,1,"{""3"": 24}",24,0,True,294
BBOB_F37,2,RBF-global(s2),3,25,73,0,"{""3"": 24}",24,0,True,291
BBOB_F37,3,RBF-local(s3),12,25,73,2,"{""3"": 23, ""1"": 1}",23,1,True,292
BBOB_F49,1,PNN(s1),6,24,71,1,"{""3"": 23}",23,0,True,282
BBOB_F49,2,RBF-global(s2),3,25,71,0,"{""3"": 23, ""1"": 1}",23,1,True,283
BBOB_F49,3,RBF-local(s3),12,24,71,2,"{""3"": 22, ""2"": 1}",22,1,True,284
BBOB_F5,1,PNN(s1),6,24,70,1,"{""3"": 22, ""2"": 1}",22,1,True,278
BBOB_F5,2,RBF-global(s2),3,24,70,0,"{""3"": 23}",23,0,True,279
BBOB_F5,3,RBF-local(s3),12,23,69,2,"{""3"": 22}",22,0,True,276
BBOB_F55,1,PNN(s1),6,25,72,1,"{""3"": 23, ""1"": 1}",23,1,True,286
BBOB_F55,2,RBF-global(s2),3,25,72,0,"{""3"": 23, ""2"": 1}",23,1,True,287
BBOB_F55,3,RBF-local(s3),12,24,71,2,"{""3"": 22, ""2"": 1}",22,1,True,284
DTLZ1,1,PNN(s1),6,16,46,1,"{""3"": 14, ""2"": 1}",14,1,True,182
DTLZ1,2,RBF-global(s2),3,16,46,0,"{""3"": 15}",15,0,True,183
DTLZ1,3,RBF-local(s3),12,15,45,2,"{""3"": 14}",14,0,True,180
DTLZ2,1,PNN(s1),6,27,79,1,"{""3"": 25, ""2"": 1}",25,1,True,314
DTLZ2,2,RBF-global(s2),3,27,79,0,"{""3"": 26}",26,0,True,315
DTLZ2,3,RBF-local(s3),12,27,79,2,"{""3"": 25, ""1"": 1}",25,1,True,316
DTLZ3,1,PNN(s1),6,27,80,1,"{""3"": 26}",26,0,True,318
DTLZ3,2,RBF-global(s2),3,28,80,0,"{""3"": 26, ""1"": 1}",26,1,True,319
DTLZ3,3,RBF-local(s3),12,27,80,2,"{""3"": 25, ""2"": 1}",25,1,True,320
DTLZ4,1,PNN(s1),6,27,79,1,"{""3"": 25, ""2"": 1}",25,1,True,314
DTLZ4,2,RBF-global(s2),3,27,79,0,"{""3"": 26}",26,0,True,315
DTLZ4,3,RBF-local(s3),12,27,79,2,"{""3"": 25, ""1"": 1}",25,1,True,316
DTLZ7,1,PNN(s1),6,55,163,1,"{""3"": 53, ""2"": 1}",53,1,True,650
DTLZ7,2,RBF-global(s2),3,55,162,0,"{""3"": 53, ""2"": 1}",53,1,True,647
DTLZ7,3,RBF-local(s3),12,54,162,2,"{""3"": 53}",53,0,True,648
MMF1,1,PNN(s1),6,6,15,1,"{""3"": 4, ""1"": 1}",4,1,True,58
MMF1,2,RBF-global(s2),3,6,15,0,"{""3"": 4, ""2"": 1}",4,1,True,59
MMF1,3,RBF-local(s3),12,5,14,2,"{""3"": 3, ""2"": 1}",3,1,True,56
