problema,D,M,geracao,N,arq,n_front1_ev,n_front1_rec,nf1_ok,fbest_dif,obs,obj,dec,ok_obj,ok_dec,ok_obj_n1,ok_dec_n1,frac_n1_ev,frac_n1_blk,frac_ok
BBOB_F1,10,2,2,100,111,8,8,True,1.1783028028844456e-06,"[10, 30, 40, 20]","[15, 27, 39, 19]","[96, 0, 0, 4]",False,False,False,False,0.98,0.1,False
BBOB_F1,10,2,26,100,123,7,7,True,4.0252966826415104e-07,"[10, 30, 40, 20]","[10, 37, 40, 13]","[99, 0, 0, 1]",False,False,True,False,1.0,0.1,False
BBOB_F1,10,2,50,100,136,14,14,True,1.8277917845921365e-07,"[98, 0, 1, 1]","[14, 27, 47, 12]","[99, 0, 0, 1]",False,False,False,False,0.78,0.98,False
BBOB_F1,10,2,74,100,154,25,25,True,6.09050410105283e-08,"[90, 7, 3, 0]","[25, 15, 42, 18]","[100, 0, 0, 0]",False,False,False,False,0.61,0.9,False
BBOB_F1,10,2,98,100,172,32,32,True,1.4698386785472195e-08,"[90, 3, 6, 1]","[32, 12, 36, 20]","[100, 0, 0, 0]",False,False,False,False,0.65,0.9,False
BBOB_F1,10,2,122,100,190,41,41,True,1.4698386785472195e-08,"[95, 1, 2, 2]","[41, 0, 42, 17]","[100, 0, 0, 0]",False,False,False,False,0.78,0.95,False
BBOB_F1,10,2,146,100,206,50,50,True,6.964964827105291e-09,"[0, 90, 10, 0]","[50, 0, 38, 12]","[98, 0, 0, 2]",False,False,False,False,0.0,0.0,True
BBOB_F1,10,2,170,100,218,58,58,True,6.964964827105291e-09,"[96, 0, 4, 0]","[58, 0, 26, 16]","[96, 0, 0, 4]",False,False,False,True,0.71,0.96,False
BBOB_F1,10,2,194,100,236,70,70,True,6.964964827105291e-09,"[99, 1, 0, 0]","[70, 0, 21, 9]","[95, 0, 0, 5]",False,False,False,False,0.93,0.99,False
BBOB_F1,10,2,218,100,254,79,79,True,6.964964827105291e-09,"[97, 2, 1, 0]","[79, 0, 21, 0]","[92, 0, 0, 8]",False,False,False,False,0.79,0.97,False
BBOB_F1,10,2,242,100,272,88,88,True,6.964964827105291e-09,"[99, 1, 0, 0]","[88, 0, 0, 12]","[90, 0, 0, 10]",False,False,False,False,0.92,0.99,False
BBOB_F1,10,2,266,100,290,95,95,True,3.843610540954501e-09,"[94, 4, 2, 0]","[95, 0, 0, 5]","[90, 0, 0, 10]",False,False,False,False,0.82,0.94,False
