problema,N_med,N_min,N_max,f1,f2,f3,f4,exato_10_30_40_20,ciclos,k_local,arq_min
BBOB_F1,100.0,100,100,0.7180821917808219,0.15520547945205482,0.09397260273972603,0.03273972602739726,7,73,[20],109
BBOB_F17,100.0,100,100,0.8671014492753625,0.04666666666666666,0.05826086956521739,0.027971014492753625,7,69,[20],109
BBOB_F22,100.0,100,100,0.775211267605634,0.08352112676056338,0.09985915492957748,0.04140845070422535,11,71,[20],109
BBOB_F37,100.0,100,100,0.7059459459459458,0.09891891891891892,0.1310810810810811,0.06405405405405405,20,74,[20],109
BBOB_F49,100.0,100,100,0.7925352112676057,0.0740845070422535,0.0895774647887324,0.043802816901408456,14,71,[20],109
BBOB_F5,100.0,100,100,0.7795714285714286,0.0697142857142857,0.109,0.04171428571428571,8,70,[20],109
BBOB_F55,100.0,100,100,0.7498611111111112,0.09277777777777779,0.10805555555555557,0.04930555555555556,17,72,[20],109
DTLZ1,100.0,79,100,0.9807118099834101,0.007238933591847561,0.009440560772568331,0.002608695652173913,0,46,[20],76
DTLZ2,100.0,100,100,0.9775949367088604,0.012278481012658231,0.008734177215189876,0.0013924050632911392,0,79,[20],131
DTLZ3,100.0,100,100,0.9533750000000001,0.01875,0.019625000000000004,0.008250000000000002,3,80,[20],131
DTLZ4,100.0,100,100,0.9822784810126581,0.009113924050632913,0.007468354430379747,0.001139240506329114,0,79,[20],131
DTLZ7,100.0,100,100,0.7050920245398773,0.1252760736196319,0.11319018404907977,0.05644171779141105,24,163,[20],241
MMF1,42.0,23,60,0.5334067928441794,0.34614171636126734,0.11403173770813352,0.006419753086419753,0,15,[20],21
MMF11_L,43.0,23,60,0.39749690345768357,0.583120158657997,0.012075952590201767,0.007306985294117647,0,16,[20],21
MMF16_20,100.0,100,100,0.972857142857143,0.016390977443609022,0.009022556390977442,0.0017293233082706768,0,133,[20],219
MMF4,41.0,23,59,0.9544515624516685,0.012770820371782624,0.023733363557827118,0.009044253618721704,0,13,[20],21
WFG1,100.0,100,100,0.9770748299319728,0.012653061224489797,0.008571428571428572,0.0017006802721088435,0,147,[20],241
WFG2,100.0,100,100,0.8581818181818182,0.05142857142857143,0.06175324675324676,0.028636363636363644,17,154,[20],241
WFG4,100.0,100,100,0.9778231292517008,0.013265306122448979,0.007551020408163266,0.001360544217687075,0,147,[20],241
WFG5,100.0,100,100,0.9830821917808217,0.009383561643835617,0.005479452054794521,0.0020547945205479454,0,146,[20],241
WFG9,100.0,100,100,0.9626530612244897,0.017006802721088437,0.014829931972789116,0.005510204081632653,3,147,[20],241
ZDT1,100.0,100,100,0.8390909090909091,0.05899521531100479,0.07162679425837322,0.030287081339712918,19,209,[20],329
ZDT3,100.0,100,100,0.7584862385321102,0.086651376146789,0.10371559633027523,0.05114678899082569,43,218,[20],329
ZDT4,100.0,100,100,0.3733720930232558,0.21034883720930234,0.2779069767441861,0.1383720930232558,34,86,[20],109
ZDT6,100.0,100,100,0.8095774647887325,0.06676056338028168,0.08295774647887325,0.04070422535211267,13,71,[20],109
