problema,slots_s1,aceitos_s1,dedup_s1,vazio_s1,slots_s2,aceitos_s2,slots_s3,aceitos_s3,fe_infill,fe_boot,fe_init,fe_total
BBOB_F1,73,54,11,8,72,72,72,72,198,2,109,309
BBOB_F17,69,60,9,0,69,69,69,69,198,2,109,309
BBOB_F22,71,57,14,0,71,71,70,70,198,2,109,309
BBOB_F37,74,52,22,0,73,73,73,73,198,2,109,309
BBOB_F49,71,56,15,0,71,71,71,71,198,2,109,309
BBOB_F5,70,59,11,0,70,70,69,69,198,2,109,309
BBOB_F55,72,55,17,0,72,72,71,71,198,2,109,309
DTLZ1,46,46,0,0,46,46,45,45,137,3,76,216
DTLZ2,79,79,0,0,79,79,79,79,237,3,131,371
DTLZ3,80,77,3,0,80,80,80,80,237,3,131,371
DTLZ4,79,79,0,0,79,79,79,79,237,3,131,371
DTLZ7,163,113,44,6,162,162,162,162,437,3,241,681
MMF1,15,9,0,6,15,15,14,14,38,2,21,61
MMF11_L,16,7,0,9,16,16,15,15,38,2,21,61
MMF16_20,133,133,0,0,132,132,132,132,397,3,219,619
MMF4,13,13,0,0,13,13,12,12,38,2,21,61
WFG1,147,146,1,0,146,146,146,146,438,2,241,681
WFG2,154,132,22,0,153,153,153,153,438,2,241,681
WFG4,147,146,1,0,146,146,146,146,438,2,241,681
WFG5,146,146,0,0,146,146,146,146,438,2,241,681
WFG9,147,144,3,0,147,147,147,147,438,2,241,681
ZDT1,209,181,28,0,209,209,208,208,598,2,329,929
ZDT3,218,163,55,0,218,218,217,217,598,2,329,929
ZDT4,86,27,59,0,86,86,85,85,198,2,109,309
ZDT6,71,57,14,0,71,71,70,70,198,2,109,309
