label,geracao,n_front,n_fill,desc_sel,desc_uni,seq_sel,seq_uni
q10_WFG9,6,7,3,True,False,"[2.0432, 2.0003, 1.9802]","[1.4179, 1.4301, 1.5242]"
q10_WFG9,13,9,1,True,True,[2.0649],[1.5491]
q10_WFG9,15,9,1,True,True,[2.0916],[1.5219]
q10_WFG9,171,8,2,True,True,"[2.1422, 2.128]","[1.3137, 1.169]"
q10_ZDT4,5,7,3,True,False,"[1.1965, 1.1224, 1.1202]","[0.4961, 0.5635, 0.595]"
q10_ZDT4,8,8,2,True,True,"[1.1685, 1.1119]","[0.8562, 0.4759]"
q10_ZDT4,19,9,1,True,True,[1.2219],[0.655]
q10_ZDT4,20,9,1,True,True,[1.3267],[0.7282]
q10_ZDT4,21,9,1,True,True,[1.2027],[0.4859]
q10_ZDT4,23,9,1,True,True,[1.2366],[0.8268]
q10_ZDT4,29,9,1,True,True,[1.0193],[0.5823]
q10_ZDT4,35,9,1,True,True,[1.1714],[0.6483]
q10_ZDT4,43,6,4,True,False,"[1.1764, 1.1679, 1.1144, 1.1099]","[0.5205, 0.5717, 0.5155, 0.6197]"
q10_ZDT4,54,9,1,True,True,[1.0362],[0.4865]
q10_ZDT4,55,7,3,True,False,"[1.3404, 1.2333, 1.1104]","[0.7221, 0.6036, 0.6631]"
q10_ZDT4,56,8,2,True,False,"[1.3229, 1.2435]","[0.4653, 0.6602]"
q10_ZDT4,57,8,2,True,True,"[1.2329, 1.1278]","[0.5386, 0.429]"
q10_ZDT4,61,8,2,True,False,"[1.226, 1.1195]","[0.5278, 0.5451]"
q10_ZDT4,65,9,1,True,True,[1.0384],[0.6469]
q10_ZDT4,68,7,3,True,True,"[1.1633, 1.0358, 0.9848]","[0.6492, 0.6137, 0.5787]"
q10_ZDT4,70,9,1,True,True,[1.2243],[0.5474]
q10_ZDT4,81,6,4,True,False,"[1.1713, 1.1696, 1.1217, 1.0966]","[0.274, 0.5702, 0.6346, 0.4395]"
q10_ZDT4,85,9,1,True,True,[1.043],[0.5139]
q10_ZDT4,101,9,1,True,True,[1.1076],[0.5268]
q10_ZDT4,112,9,1,True,True,[1.0789],[0.4192]
q10_ZDT4,113,8,2,True,True,"[1.2549, 1.0962]","[0.8062, 0.5135]"
q10_ZDT4,128,6,4,True,False,"[1.3595, 1.2476, 1.2082, 1.1953]","[0.3865, 0.4712, 0.4884, 0.6217]"
q10_ZDT4,133,9,1,True,True,[1.0835],[0.3981]
q10_ZDT4,147,6,4,True,False,"[1.1928, 1.1562, 1.0844, 1.0421]","[0.5344, 0.2112, 0.4719, 0.3746]"
q10_ZDT4,159,9,1,True,True,[1.149],[0.5047]
q10_ZDT4,164,6,4,True,False,"[1.2226, 1.1943, 1.0905, 1.0683]","[0.5084, 0.43, 0.5481, 0.3991]"
q10_ZDT4,173,8,2,True,False,"[1.0618, 1.0468]","[0.4468, 0.4721]"
