label,exp,problema,D,q,dist_min_arquivo_rel_err_max,razao_nativo_norm,bounds_heterogeneos,rng_min,rng_max
BBOB_F1,main,BBOB_F1,10,1,7.798071901311537e-08,10.0,False,10.0,10.0
BBOB_F17,main,BBOB_F17,10,1,4.9010373822534395e-08,10.0,False,10.0,10.0
BBOB_F22,main,BBOB_F22,10,1,7.454172108690791e-08,10.0,False,10.0,10.0
BBOB_F37,main,BBOB_F37,10,1,3.595827754303847e-08,10.0,False,10.0,10.0
BBOB_F49,main,BBOB_F49,10,1,5.3775524092802126e-08,10.0,False,10.0,10.0
BBOB_F5,main,BBOB_F5,10,1,1.41352037732195e-07,10.0,False,10.0,10.0
BBOB_F55,main,BBOB_F55,10,1,1.2022669234093728e-07,10.0,False,10.0,10.0
DTLZ1,main,DTLZ1,7,1,7.349026249261319e-08,1.0,False,1.0,1.0
DTLZ2,main,DTLZ2,12,1,7.37584750331277e-08,1.0,False,1.0,1.0
DTLZ3,main,DTLZ3,12,1,5.0134111926383176e-08,1.0,False,1.0,1.0
DTLZ4,main,DTLZ4,12,1,5.982310157426657e-08,1.0,False,1.0,1.0
DTLZ7,main,DTLZ7,22,1,3.6176513991603254e-08,1.0,False,1.0,1.0
MMF1,main,MMF1,2,1,9.377177229039217e-07,2.0,False,2.0,2.0
MMF11_L,main,MMF11_L,2,1,6.052570544065018e-07,1.0,False,1.0,1.0
MMF16_20,main,MMF16_20,20,1,3.705410764259589e-08,1.0,False,1.0,1.0
MMF4,main,MMF4,2,1,3.312395424425247e-07,2.0,False,2.0,2.0
WFG1,main,WFG1,22,1,6.370498986125609e-08,,True,2.0,44.0
WFG2,main,WFG2,22,1,7.707058539686927e-08,,True,2.0,44.0
WFG4,main,WFG4,22,1,5.9416884573328085e-08,,True,2.0,44.0
WFG5,main,WFG5,22,1,5.99434320953063e-08,,True,2.0,44.0
WFG9,main,WFG9,22,1,7.592877627300166e-08,,True,2.0,44.0
ZDT1,main,ZDT1,30,1,3.79259279089412e-08,1.0,False,1.0,1.0
ZDT3,main,ZDT3,30,1,3.6621699910124364e-08,1.0,False,1.0,1.0
ZDT4,main,ZDT4,10,1,4.975671721937452e-08,,True,1.0,10.0
ZDT6,main,ZDT6,10,1,9.126704765085885e-08,1.0,False,1.0,1.0
q10_DTLZ2,batch,DTLZ2,12,10,0.4271123047403727,1.0,False,1.0,1.0
q10_MMF16_20,batch,MMF16_20,20,10,0.146908035862851,1.0,False,1.0,1.0
q10_WFG9,batch,WFG9,22,10,1.0438344082495048,,True,2.0,44.0
q10_ZDT1,batch,ZDT1,30,10,0.8295720073330421,1.0,False,1.0,1.0
q10_ZDT4,batch,ZDT4,10,10,2.8083138707150903,,True,1.0,10.0
