label,geracao,n_front_acq,n_online,q,n_lote,idx,mm,front_todo_selecionado,ok_val,dv,marked
q10_WFG9,6,7,10,10,10,"[0, 5, 1, 3, 6, 4, 2]","[np.float64(0.743384), np.float64(0.96917), np.float64(1.042838), np.float64(1.074016), np.float64(1.090012), np.float64(1.129396), np.float64(1.354103)]",True,True,4.062897562828738e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_WFG9,13,9,10,10,10,"[4, 1, 8, 5, 3, 6, 2, 0, 7]","[np.float64(1.00222), np.float64(1.100842), np.float64(1.121067), np.float64(1.135039), np.float64(1.216327), np.float64(1.226815), np.float64(1.232852), np.float64(1.242253), np.float64(1.354701)]",True,True,5.153937610025139e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_WFG9,15,9,10,10,10,"[7, 8, 5, 2, 4, 0, 1, 3, 6]","[np.float64(1.090479), np.float64(1.121882), np.float64(1.144736), np.float64(1.182484), np.float64(1.189237), np.float64(1.202319), np.float64(1.261439), np.float64(1.283491), np.float64(1.333511)]",True,True,5.121065860258511e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_WFG9,171,8,10,10,10,"[7, 0, 4, 1, 6, 5, 3, 2]","[np.float64(0.759375), np.float64(0.985737), np.float64(0.992923), np.float64(1.006022), np.float64(1.038416), np.float64(1.207604), np.float64(1.249976), np.float64(1.266541)]",True,True,3.599756781547114e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,5,7,10,10,10,"[1, 2, 0, 6, 5, 4, 3]","[np.float64(0.324232), np.float64(0.37346), np.float64(0.456788), np.float64(0.526494), np.float64(0.622552), np.float64(0.680233), np.float64(0.725062)]",True,True,1.1394523768970544e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,8,8,10,10,10,"[7, 3, 6, 0, 4, 2, 1, 5]","[np.float64(0.360023), np.float64(0.402445), np.float64(0.45033), np.float64(0.478679), np.float64(0.618994), np.float64(0.630531), np.float64(0.643143), np.float64(0.705374)]",True,True,1.4516464363900639e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,19,9,10,10,10,"[4, 2, 3, 1, 6, 0, 5, 7, 8]","[np.float64(0.316802), np.float64(0.403537), np.float64(0.419585), np.float64(0.501077), np.float64(0.515727), np.float64(0.523989), np.float64(0.54369), np.float64(0.60356), np.float64(0.634061)]",True,True,2.3841313034900224e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,20,9,10,10,10,"[8, 7, 1, 2, 0, 6, 4, 3, 5]","[np.float64(0.326869), np.float64(0.410165), np.float64(0.475459), np.float64(0.476403), np.float64(0.503282), np.float64(0.515007), np.float64(0.53069), np.float64(0.619329), np.float64(0.629106)]",True,True,1.847966579759941e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,21,9,10,10,10,"[4, 7, 2, 3, 0, 6, 8, 1, 5]","[np.float64(0.326104), np.float64(0.405473), np.float64(0.44694), np.float64(0.460575), np.float64(0.501241), np.float64(0.525777), np.float64(0.564407), np.float64(0.620227), np.float64(0.721126)]",True,True,1.4191964381460309e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,23,9,10,10,10,"[0, 5, 2, 7, 6, 1, 4, 8, 3]","[np.float64(0.370454), np.float64(0.402994), np.float64(0.437421), np.float64(0.44036), np.float64(0.490567), np.float64(0.50593), np.float64(0.540677), np.float64(0.557964), np.float64(0.579956)]",True,True,2.4085736072265718e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,29,9,10,10,10,"[1, 4, 6, 3, 2, 8, 0, 5, 7]","[np.float64(0.329466), np.float64(0.344143), np.float64(0.36593), np.float64(0.373259), np.float64(0.434671), np.float64(0.44643), np.float64(0.446513), np.float64(0.496134), np.float64(0.550296)]",True,True,1.4026888983664776e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,35,9,10,10,10,"[6, 2, 0, 1, 8, 5, 7, 4, 3]","[np.float64(0.290675), np.float64(0.35728), np.float64(0.365088), np.float64(0.371079), np.float64(0.423767), np.float64(0.430479), np.float64(0.460113), np.float64(0.548404), np.float64(0.631064)]",True,True,1.021041029503067e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,43,6,10,10,10,"[4, 0, 5, 3, 1, 2]","[np.float64(0.256435), np.float64(0.402755), np.float64(0.422882), np.float64(0.464091), np.float64(0.514203), np.float64(0.614521)]",True,True,1.8619969288646843e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,54,9,10,10,10,"[8, 0, 5, 7, 6, 1, 3, 4, 2]","[np.float64(0.244688), np.float64(0.291294), np.float64(0.29726), np.float64(0.313349), np.float64(0.333099), np.float64(0.365849), np.float64(0.413949), np.float64(0.421451), np.float64(0.603339)]",True,True,1.8840333959602162e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,55,7,10,10,10,"[6, 4, 2, 1, 3, 0, 5]","[np.float64(0.227007), np.float64(0.303723), np.float64(0.326924), np.float64(0.339145), np.float64(0.391496), np.float64(0.428962), np.float64(0.456173)]",True,True,1.535524390972043e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,56,8,10,10,10,"[7, 5, 6, 3, 4, 1, 2, 0]","[np.float64(0.306442), np.float64(0.333338), np.float64(0.372229), np.float64(0.37539), np.float64(0.40197), np.float64(0.429619), np.float64(0.447192), np.float64(0.532148)]",True,True,1.1626396900776825e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,57,8,10,10,10,"[3, 5, 0, 7, 4, 1, 6, 2]","[np.float64(0.228976), np.float64(0.401403), np.float64(0.410142), np.float64(0.438292), np.float64(0.475579), np.float64(0.483786), np.float64(0.502661), np.float64(0.665574)]",True,True,1.8133976542600294e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,61,8,10,10,10,"[3, 0, 5, 2, 6, 1, 7, 4]","[np.float64(0.306958), np.float64(0.342978), np.float64(0.365855), np.float64(0.386808), np.float64(0.446095), np.float64(0.538549), np.float64(0.543738), np.float64(0.604698)]",True,True,2.3897801404437757e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,65,9,10,10,10,"[6, 2, 8, 4, 5, 7, 3, 0, 1]","[np.float64(0.250733), np.float64(0.25663), np.float64(0.269958), np.float64(0.297585), np.float64(0.309245), np.float64(0.339235), np.float64(0.345411), np.float64(0.362289), np.float64(0.510772)]",True,True,1.606800481557258e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
