exp,alg,problema,label,maquina,wall_s,h
main,e81,MMF1,MMF1,mac,12.4504,0.0034584444444444445
main,e81,MMF4,MMF4,mac,12.3508,0.003430777777777778
main,e81,MMF11_L,MMF11_L,mac,12.0785,0.003355138888888889
main,e81,MMF16_20,MMF16_20,mac,3909.1846,1.0858846111111111
main,e81,ZDT1,ZDT1,mac,8628.3044,2.3967512222222225
main,e81,ZDT3,ZDT3,mac,8814.7557,2.4485432499999997
main,e81,ZDT4,ZDT4,mac,325.965,0.09054583333333333
main,e81,ZDT6,ZDT6,mac,351.7306,0.09770294444444444
main,e81,DTLZ1,DTLZ1,mac,129.2118,0.03589216666666667
main,e81,DTLZ2,DTLZ2,mac,703.2638,0.19535105555555554
main,e81,DTLZ3,DTLZ3,mac,716.1824,0.19893955555555556
main,e81,DTLZ4,DTLZ4,mac,746.1076,0.20725211111111114
main,e81,DTLZ7,DTLZ7,mac,4385.3649,1.2181569166666666
main,e81,WFG1,WFG1,mac,3551.4556,0.9865154444444444
main,e81,WFG2,WFG2,mac,3560.2516,0.9889587777777777
main,e81,WFG4,WFG4,mac,3535.4864,0.9820795555555555
main,e81,WFG5,WFG5,mac,3638.9359,1.0108155277777777
main,e81,WFG9,WFG9,mac,3142.8244,0.8730067777777778
main,e81,BBOB_F1,BBOB_F1,mac,301.8465,0.08384625
main,e81,BBOB_F5,BBOB_F5,mac,318.2885,0.08841347222222222
main,e81,BBOB_F17,BBOB_F17,mac,319.3219,0.08870052777777779
main,e81,BBOB_F22,BBOB_F22,mac,312.7839,0.08688441666666667
main,e81,BBOB_F37,BBOB_F37,mac,317.4879,0.08819108333333334
main,e81,BBOB_F49,BBOB_F49,mac,323.0231,0.08972863888888889
main,e81,BBOB_F55,BBOB_F55,mac,326.6701,0.09074169444444444
batch,e81,MMF16_20,q10_MMF16_20,mac,12962.5359,3.600704416666667
batch,e81,ZDT4,q10_ZDT4,mac,2076.7516,0.5768754444444445
batch,e81,DTLZ2,q10_DTLZ2,mac,5721.3468,1.589263
batch,e81,WFG9,q10_WFG9,mac,4501.3464,1.250374
batch,e81,ZDT1,q10_ZDT1,mac,7999.9668,2.222213
