label,obj,bloco_de,bloco_para,cob_de,cob_para,dcob,wape_de,wape_para,dwape,ls_med_de,ls_med_para,ls_razao,osc_de,osc_para,osc_razao,sig_de,sig_para
DTLZ4,1,36,38,0.9785,0.9805,0.0020000000000000018,0.8089903309564941,0.5696053609767485,-0.2959058480917978,1.24894116333011,1.4246811812520817,1.1407112064858107,0.8104481493654192,0.639827375795217,0.789473547809569,0.0975283570587635,0.090148564428091
DTLZ4,2,84,86,0.9555,0.968,0.012499999999999956,1.3969990582335243,0.8608977125912631,-0.3837521167123405,1.564294895481874,1.6194150912943506,1.0352364480454928,0.9835765666484048,0.8584264517233761,0.8727601702107594,0.0768469646573066,0.0765483081340789
DTLZ4,2,142,144,0.965,0.9815,0.01650000000000007,0.766258384005645,0.3365613102498417,-0.5607730795838676,2.0804578705878396,2.4742397994901393,1.1892765695808276,0.9678135710136664,0.8433985829949463,0.8714473616148918,0.0540295168757438,0.047909727320075
DTLZ4,2,152,154,0.9655,0.9805,0.015000000000000013,0.7420582163187891,0.3327317286312909,-0.5516096698155163,2.154067397821349,2.586804943103186,1.2008932244736228,0.9848108993887152,0.8542380172793627,0.8674132443188831,0.0512758456170558,0.0449374951422214
DTLZ4,2,204,206,0.9645,0.979,0.014499999999999957,0.6678074832078229,0.2883258151063325,-0.5682500984844385,2.583182959860414,3.124187376906183,1.2094332555813248,1.1144097869571932,0.8908556790873766,0.7993968551907524,0.0391139704734087,0.0336707346141338
DTLZ7,2,394,396,0.9395,0.989,0.04949999999999999,0.016900925907439,0.0088088119318153,-0.4787970801091985,2.6195943570886535,3.7119016694801292,1.4169757464302362,0.3266852701127153,0.4459399651135486,1.3650446038160435,0.3577954024076462,0.2819073647260666
MMF1,0,2,4,0.874,0.954,0.07999999999999996,0.021586796249902,0.0143287005545348,-0.33622848019423685,0.7593608416016702,0.8157297783802123,1.07423208268107,1.0908997969551004,0.7457415684757956,0.6836022616901166,0.0157577628269791,0.0153107135556638
MMF1,1,16,18,0.5385,0.7845,0.246,0.8112316788461177,0.7994024072371427,-0.014581865966823083,0.30143777229203944,0.12165421741935749,0.4035798715414346,1.9610610894776297,1.2830597184221595,0.6542681027667169,0.5793558061122894,1.4430190324783323
MMF1,1,18,20,0.7845,0.9725,0.18800000000000006,0.7994024072371427,0.5129432228000367,-0.3583416585235875,0.12165421741935749,0.16259559754630434,1.3365389297258534,1.2830597184221595,1.1938844219074234,0.9304979376763544,1.4430190324783323,1.7407652735710144
MMF1,1,20,22,0.9725,0.747,-0.22550000000000003,0.5129432228000367,0.7981769488703366,0.5560727062798022,0.16259559754630434,0.126973492084472,0.7809159288480256,1.1938844219074234,1.3512171995532818,1.131782251915553,1.7407652735710144,1.2745724320411682
MMF1,1,30,32,0.6895,0.9645,0.275,0.8104165710748207,0.441860709864725,-0.4547733528218653,0.13257846594836875,0.20117477880673357,1.5174016184881707,1.4564459061119306,1.3462969043531496,0.9243713746617406,1.1241104006767273,1.3407965898513794
MMF11_L,0,6,8,1.0,1.0,0.0,0.000276367124459,0.0001814532712375,-0.3434339500665926,3.031162490777771,3.1944452736614246,1.0538680401926446,1.6426705606381076,1.774372458973954,1.0801754785723352,0.0005121419089846,0.0004435124574229
