alg,label,M,pop,n_ger,onset,congeladas_trans,n_mortos,mortos,J_star,n_face,face_bate,amp_zero_em_alguma_ger,amp_min_global
b5m,BBOB_F1,2,50,801,801,0,0,[],None,0,,0,12.041436195373535
b5m,BBOB_F17,2,50,801,801,0,0,[],None,0,,1,0.0
b5m,BBOB_F22,2,50,801,801,0,0,[],None,0,,0,750.6109008789062
b5m,BBOB_F37,2,50,801,801,0,0,[],None,0,,0,410.41229248046875
b5m,BBOB_F49,2,50,801,801,0,0,[],None,0,,0,23.84203338623047
b5m,BBOB_F5,2,50,801,801,0,0,[],None,0,,0,38.37286925315857
b5m,BBOB_F55,2,50,801,801,0,0,[],None,0,,0,4.284397125244141
b5m,DTLZ1,3,105,381,11,370,0,[],None,0,,381,0.0
b5m,DTLZ2,3,105,381,381,0,0,[],None,0,,0,4.287445222958922
b5m,DTLZ3,3,105,381,1,380,105,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",None,0,,381,0.0
b5m,DTLZ4,3,105,381,381,0,0,[],None,0,,0,0.3741806014440954
b5m,DTLZ7,3,105,381,381,0,0,[],None,0,,0,1.306960940361023
b5m,MMF1,2,50,801,801,0,0,[],None,0,,0,0.35921622812747955
b5m,MMF11_L,2,50,801,800,1,0,[],None,0,,0,0.864710807800293
b5m,MMF16_20,3,105,381,381,0,0,[],None,0,,0,3.17776791844517
b5m,MMF4,2,50,801,801,0,0,[],None,0,,0,0.4940105378627777
b5m,WFG1,2,50,801,801,0,0,[],None,0,,0,0.06255143880844116
b5m,WFG2,2,50,801,801,0,0,[],None,0,,0,0.1728532910346985
b5m,WFG4,2,50,801,801,0,0,[],None,0,,0,0.36575525999069214
b5m,WFG5,2,50,801,801,0,0,[],None,0,,0,0.4617478996515274
b5m,WFG9,2,50,801,801,0,0,[],None,0,,0,0.8897016048431396
b5m,ZDT1,2,50,801,801,0,0,[],None,0,,0,0.5346064567565918
b5m,ZDT3,2,50,801,801,0,0,[],None,0,,0,0.12376338243484497
b5m,ZDT4,2,50,801,801,0,0,[],None,0,,0,0.4734648037701845
b5m,ZDT6,2,50,801,801,0,0,[],None,0,,0,0.32399916648864746
