alg,celula,M,D,N_RV,n_ger_arquivadas_K,keys_densas,n_ger_manifesto,n_ger1,n_ger2,n_ger3,n_pop_mediana_g>=2,n_pop_max_g>=2,frac_g>=2_com_NRV,lhs_ok_g1,lhs_dim_g1,lhs_ok_g2,lhs_dim_g2,lhs_ok_g3,lhs_dim_g3,inter_g1g2,frac_g2_em_g1,frac_pais_retidos_g3_40,FE_A_antes,FE_A_final,FE_A_ok,FE_B_antes,FE_B_final,FE_B_ok,n_eventos_decision,fbest_g1_bate_mu_g1
b5r,BBOB_F1,2,10,50,828,True,828,50,30,31,48.0,50,0.218863361547763,10,10,0,10,0,10,15,0.5,0.6471539193184633,39974,40024,True,40024,40072,False,828,False
b5r,BBOB_F17,2,10,50,2461,True,2461,50,2,2,15.0,38,0.0,10,10,5,10,5,10,0,0.0,0.5570175438596491,39984,40014,True,40014,40044,False,2461,False
b5r,BBOB_F22,2,10,50,1144,True,1144,50,3,3,39.0,48,0.0,10,10,1,10,1,10,1,0.3333333333333333,0.4964181286549707,39972,40012,True,40012,40052,False,1144,False
b5r,BBOB_F37,2,10,50,814,True,814,50,36,33,50.0,50,0.5313653136531366,10,10,0,10,0,10,18,0.5,0.6562476999384645,39966,40016,True,40016,40066,False,814,False
b5r,BBOB_F49,2,10,50,919,True,919,50,10,10,44.0,50,0.0010893246187363835,10,10,0,10,0,10,7,0.7,0.6730998948574438,39986,40026,True,40026,40072,False,919,False
b5r,BBOB_F5,2,10,50,879,True,879,50,13,13,46.0,50,0.009111617312072893,10,10,0,10,0,10,6,0.46153846153846156,0.6346215710250908,39958,40004,True,40004,40050,False,879,False
b5r,BBOB_F55,2,10,50,942,True,942,50,24,28,42.0,47,0.0,10,10,0,10,0,10,9,0.375,0.6314011281549544,39978,40022,True,40022,40066,False,942,False
b5r,DTLZ1,3,7,105,870,True,870,105,15,14,46.0,61,0.0,7,7,0,7,0,7,8,0.5333333333333333,0.5705663168879118,39953,40003,True,40003,40055,False,870,False
b5r,DTLZ2,3,12,105,504,True,504,105,70,64,79.0,85,0.0,12,12,0,12,0,12,34,0.4857142857142857,0.6279359245180062,39993,40077,True,40077,40161,False,504,False
b5r,DTLZ3,3,12,105,1077,True,1077,105,59,48,37.0,59,0.0,12,12,0,12,0,12,27,0.4576271186440678,0.49684232662295374,39983,40015,True,40015,40053,False,1077,False
b5r,DTLZ4,3,12,105,2312,True,2312,105,8,8,14.0,50,0.0,12,12,0,12,0,12,5,0.625,0.6886346110030322,39995,40009,True,40009,40023,False,2312,False
b5r,DTLZ7,3,22,105,785,True,785,105,19,24,51.0,60,0.0,22,22,0,22,0,22,8,0.42105263157894735,0.6147828485962658,39957,40007,True,40007,40059,False,785,False
b5r,MMF1,2,2,50,909,True,909,50,32,28,44.0,50,0.0011013215859030838,2,2,0,2,0,2,17,0.53125,0.6947912575862503,39994,40038,True,40038,40082,False,909,False
b5r,MMF11_L,2,2,50,848,True,848,50,35,33,47.0,50,0.03541912632821724,2,2,0,2,0,2,21,0.6,0.6550569798016375,39952,40002,True,40002,40050,False,848,False
b5r,MMF16_20,3,20,105,595,True,595,105,65,65,68.0,80,0.0,20,20,0,20,0,20,29,0.4461538461538462,0.7454899614456145,39957,40031,True,40031,40105,False,595,False
b5r,MMF4,2,2,50,865,True,865,50,39,40,46.0,50,0.017361111111111112,2,2,0,2,0,2,22,0.5641025641025641,0.7151405283014078,39966,40014,True,40014,40062,False,865,False
b5r,WFG1,2,22,50,935,True,935,50,37,37,43.0,48,0.0,22,22,0,22,0,22,15,0.40540540540540543,0.6802918420163886,39998,40044,True,40044,40090,False,935,False
b5r,WFG2,2,22,50,923,True,923,50,38,30,44.0,50,0.0010845986984815619,22,22,0,22,0,22,22,0.5789473684210527,0.6267931928310058,39974,40020,True,40020,40062,False,923,False
b5r,WFG4,2,22,50,937,True,937,50,33,35,43.0,49,0.0,22,22,0,22,0,22,17,0.5151515151515151,0.5860946413198715,39982,40028,True,40028,40074,False,937,False
b5r,WFG5,2,22,50,930,True,930,50,37,34,43.0,48,0.0,22,22,0,22,0,22,19,0.5135135135135135,0.5633096679409165,39998,40044,True,40044,40088,False,930,False
b5r,WFG9,2,22,50,906,True,906,50,23,25,45.0,50,0.019889502762430938,22,22,0,22,0,22,12,0.5217391304347826,0.6167187788991678,39992,40040,True,40040,40086,False,906,False
b5r,ZDT1,2,30,50,878,True,878,50,33,36,46.0,50,0.004561003420752566,30,30,0,30,0,30,16,0.48484848484848486,0.5557170365252277,40000,40046,True,40046,40094,False,878,False
b5r,ZDT3,2,30,50,921,True,921,50,38,36,43.0,49,0.0,30,30,0,30,0,30,21,0.5526315789473685,0.5638568397314085,39992,40038,True,40038,40084,False,921,False
b5r,ZDT4,2,10,50,3845,True,3845,50,5,5,10.0,17,0.0,10,10,1,10,0,10,2,0.4,0.7775062656641606,40000,40014,True,40014,40026,False,3845,False
b5r,ZDT6,2,10,50,950,True,950,50,34,34,42.0,48,0.0,10,10,0,10,0,10,18,0.5294117647058824,0.6146132919299593,39994,40034,True,40034,40072,False,950,False
b5r,swap_medium-lhs_DTLZ2,3,12,105,408,True,408,105,72,78,99.0,100,0.0,12,12,0,12,0,12,39,0.5416666666666666,0.6449855715520957,39987,40087,True,40087,40187,False,408,False
b5r,swap_medium-lhs_MMF16_20,3,20,105,512,True,512,105,64,69,82.0,88,0.0,20,20,0,20,0,20,33,0.515625,0.7369965305212531,39951,40037,True,40037,40125,False,512,False
b5r,swap_medium-lhs_WFG9,2,22,50,905,True,905,50,33,34,44.0,50,0.011061946902654867,22,22,0,22,0,22,15,0.45454545454545453,0.5945617578243255,39978,40024,True,40024,40068,False,905,False
b5r,swap_medium-lhs_ZDT1,2,30,50,852,True,852,50,35,40,47.0,50,0.03760282021151586,30,30,0,30,0,30,16,0.45714285714285713,0.582791009252832,39974,40024,True,40024,40072,False,852,False
b5r,swap_medium-lhs_ZDT4,2,10,50,5465,True,5465,50,5,3,7.0,16,0.0,10,10,1,10,0,10,3,0.6,0.5614035087719298,39998,40008,True,40008,40016,False,5465,False
b5r,swap_medium-mvns_DTLZ2,3,12,105,454,True,454,105,67,69,90.0,93,0.0,12,12,0,12,0,12,35,0.5223880597014925,0.6661790816028366,39935,40025,True,40025,40113,False,454,False
b5r,swap_medium-mvns_MMF16_20,3,20,105,647,True,647,105,61,61,65.0,72,0.0,20,20,0,20,0,20,33,0.5409836065573771,0.683139845312584,39937,40007,True,40007,40077,False,647,False
b5r,swap_medium-mvns_WFG9,2,22,50,954,True,954,50,35,35,42.0,49,0.0,22,22,0,22,0,22,19,0.5428571428571428,0.5098311062474666,39962,40004,True,40004,40046,False,954,False
b5r,swap_medium-mvns_ZDT1,2,30,50,864,True,864,50,33,31,46.0,50,0.027809965237543453,30,30,0,30,0,30,15,0.45454545454545453,0.6052893492054376,39988,40034,True,40034,40082,False,864,False
b5r,swap_medium-mvns_ZDT4,2,10,50,3660,True,3660,50,5,4,12.0,17,0.0,10,10,0,10,0,10,4,0.8,0.4644736842105262,39994,40008,True,40008,40024,False,3660,False
b5r,swap_small-lhs_DTLZ2,3,12,105,504,True,504,105,70,64,79.0,85,0.0,12,12,0,12,0,12,34,0.4857142857142857,0.6279359245180062,39993,40077,True,40077,40161,False,504,False
b5r,swap_small-lhs_MMF16_20,3,20,105,595,True,595,105,65,65,68.0,80,0.0,20,20,0,20,0,20,29,0.4461538461538462,0.7454899614456145,39957,40031,True,40031,40105,False,595,False
b5r,swap_small-lhs_WFG9,2,22,50,906,True,906,50,23,25,45.0,50,0.019889502762430938,22,22,0,22,0,22,12,0.5217391304347826,0.6167187788991678,39992,40040,True,40040,40086,False,906,False
b5r,swap_small-lhs_ZDT1,2,30,50,878,True,878,50,33,36,46.0,50,0.004561003420752566,30,30,0,30,0,30,16,0.48484848484848486,0.5557170365252277,40000,40046,True,40046,40094,False,878,False
b5r,swap_small-lhs_ZDT4,2,10,50,3845,True,3845,50,5,5,10.0,17,0.0,10,10,1,10,0,10,2,0.4,0.7775062656641606,40000,40014,True,40014,40026,False,3845,False
b5r,swap_small-mvns_DTLZ2,3,12,105,557,True,557,105,64,69,73.0,81,0.0,12,12,0,12,0,12,35,0.546875,0.6413953106022674,39989,40067,True,40067,40145,False,557,False
b5r,swap_small-mvns_MMF16_20,3,20,105,507,True,507,105,60,63,81.0,92,0.0,20,20,0,20,0,20,29,0.48333333333333334,0.6505254060968033,39917,40003,True,40003,40089,False,507,False
b5r,swap_small-mvns_WFG9,2,22,50,944,True,944,50,37,37,42.0,48,0.0,22,22,0,22,0,22,22,0.5945945945945946,0.5226526505372361,39982,40028,True,40028,40074,False,944,False
b5r,swap_small-mvns_ZDT1,2,30,50,854,True,854,50,35,35,47.0,50,0.04220398593200469,30,30,0,30,0,30,16,0.45714285714285713,0.5713676361862992,39968,40016,True,40016,40064,False,854,False
b5r,swap_small-mvns_ZDT4,2,10,50,5548,True,5548,50,5,5,7.0,12,0.0,10,10,0,10,0,10,3,0.6,0.45175438596491224,40000,40010,True,40010,40018,False,5548,False
