celula,K,n_ger1,n_busca,frac_linhas_ger1,erro_rel_n_ger,inv_DI1616_ok,fbest_g1_eq_min_mu_g1
BBOB_F1,828,50,39655,0.0012608750472828142,0.0012077294685990338,True,True
BBOB_F17,2461,50,38877,0.0012861074671399542,0.0004063388866314506,True,True
BBOB_F22,1144,50,39436,0.0012678770666396187,0.0008741258741258741,True,True
BBOB_F37,814,50,39765,0.001257387149503332,0.0012285012285012285,True,True
BBOB_F49,919,50,39595,0.0012627857052658164,0.001088139281828074,True,True
BBOB_F5,879,50,39561,0.0012638709840499481,0.0011376564277588168,True,True
BBOB_F55,942,50,39547,0.0012643184059473538,0.0010615711252653928,True,True
DTLZ1,870,105,39524,0.0026566137030664913,0.0011494252873563218,True,False
DTLZ2,504,105,39791,0.002638787665552512,0.001984126984126984,True,True
DTLZ3,1077,105,39397,0.0026651775515902226,0.0009285051067780873,True,True
DTLZ4,2312,105,38993,0.0026927910137717025,0.00043252595155709344,True,True
DTLZ7,785,105,39563,0.0026539948942193464,0.0012738853503184713,True,True
MMF1,909,50,39588,0.0012630089926240274,0.0011001100110011,True,True
MMF11_L,848,50,39562,0.0012638390374601891,0.0011792452830188679,True,True
MMF16_20,595,105,39690,0.0026455026455026454,0.0016806722689075631,True,True
MMF4,865,50,39569,0.0012636154565442645,0.0011560693641618498,True,True
WFG1,935,50,39594,0.0012628175986260544,0.0010695187165775401,True,True
WFG2,923,50,39567,0.0012636793287335406,0.0010834236186348862,True,True
WFG4,937,50,39574,0.001263455804315965,0.0010672358591248667,True,True
WFG5,930,50,39572,0.0012635196603659152,0.001075268817204301,True,True
WFG9,906,50,39572,0.0012635196603659152,0.0011037527593818985,True,True
ZDT1,878,50,39597,0.0012627219233780336,0.0011389521640091116,True,True
ZDT3,921,50,39588,0.0012630089926240274,0.0010857763300760044,True,True
ZDT4,3845,50,37997,0.0013158933600021054,0.0002600780234070221,True,True
ZDT6,950,50,39553,0.0012641266149217506,0.0010526315789473684,True,True
swap_medium-lhs_DTLZ2,408,105,39905,0.002631249216890114,0.0024509803921568627,True,True
swap_medium-lhs_MMF16_20,512,105,39775,0.0026398491514770584,0.001953125,True,True
swap_medium-lhs_WFG9,905,50,39570,0.0012635835228708618,0.0011049723756906078,True,True
swap_medium-lhs_ZDT1,852,50,39588,0.0012630089926240274,0.0011737089201877935,True,True
swap_medium-lhs_ZDT4,5465,50,37292,0.0013407701383674783,0.00018298261665141812,True,True
swap_medium-mvns_DTLZ2,454,105,39807,0.002637727032933906,0.0022026431718061676,True,True
swap_medium-mvns_MMF16_20,647,105,39660,0.00264750378214826,0.0015455950540958269,True,True
swap_medium-mvns_WFG9,954,50,39547,0.0012643184059473538,0.0010482180293501049,True,True
swap_medium-mvns_ZDT1,864,50,39606,0.001262434984598293,0.0011574074074074073,True,True
swap_medium-mvns_ZDT4,3660,50,38172,0.0013098606308288797,0.000273224043715847,True,True
swap_small-lhs_DTLZ2,504,105,39791,0.002638787665552512,0.001984126984126984,True,True
swap_small-lhs_MMF16_20,595,105,39690,0.0026455026455026454,0.0016806722689075631,True,True
swap_small-lhs_WFG9,906,50,39572,0.0012635196603659152,0.0011037527593818985,True,True
swap_small-lhs_ZDT1,878,50,39597,0.0012627219233780336,0.0011389521640091116,True,True
swap_small-lhs_ZDT4,3845,50,37997,0.0013158933600021054,0.0002600780234070221,True,True
swap_small-mvns_DTLZ2,557,105,39768,0.00264031382015691,0.0017953321364452424,True,True
swap_small-mvns_MMF16_20,507,105,39760,0.002640845070422535,0.0019723865877712033,True,True
swap_small-mvns_WFG9,944,50,39577,0.001263360032342017,0.001059322033898305,True,True
swap_small-mvns_ZDT1,854,50,39595,0.0012627857052658164,0.00117096018735363,True,True
swap_small-mvns_ZDT4,5548,50,37340,0.001339046598821639,0.0001802451333813987,True,True
