problema,D,N,n_init,frac_gt_2N_b1,med_b1,p90_b1,p99_b1,max_b1,frac_gt0_b1,frac_gt0_b2,max_b2,razao_max_b1_b2,med_b1_por_2N,near_int_b1,conf_med_b1,t_g1,t_med,t_prev_H1,overhead_abs_s,t_por_ref_g1,t_por_ref_rest,n_pop_g1,n_pop_g1_eq_N
BBOB_F1,10,11,109,0.6695,36.19650650024414,82.47547073364261,113.07129035949707,130.34410095214844,0.9915,0.1275,9.439169883728027,13.808852108578499,1.6452957500110974,0.026,1.0,5.389489650726318,0.4719088077545166,4.67618727684021,0.7133023738861084,0.049444859180975395,0.042900800704956055,11,True
BBOB_F17,10,11,109,0.5035,22.387396812438965,64.9475395202637,106.73765983581544,146.82408142089844,0.9635,0.0975,8.737174987792969,16.804525676323504,1.0176089460199529,0.0435,1.0,5.394850730895996,0.47158968448638916,4.6730250553651285,0.7218256755308676,0.049494043402715564,0.04287178949876265,11,True
BBOB_F22,10,11,109,0.818,49.3380241394043,92.12591705322266,109.5407331085205,122.39627838134766,0.9925,0.1115,6.1165947914123535,20.010525881686814,2.2426374608820137,0.0095,1.0,5.339262962341309,0.46922755241394043,4.649618473919955,0.6896444884213535,0.048984063874690904,0.04265705021944913,11,True
BBOB_F37,10,11,109,0.714,42.957441329956055,95.22130508422856,124.61167350769041,137.3412322998047,0.982,0.5755,10.076810836791992,13.629434403824536,1.952610969543457,0.021,1.0,5.345633029937744,0.47192811965942383,4.676378640261563,0.6692543896761816,0.04904250486181417,0.042902556332674896,11,True
BBOB_F49,10,11,109,0.6565,33.68105506896973,76.2943214416504,101.1634451293945,119.6408462524414,0.9785,0.691,9.238160133361816,12.950722278604132,1.530957048589533,0.0235,1.0,5.4985175132751465,0.47482776641845703,4.705111503601074,0.7934060096740723,0.05044511480068942,0.043166160583496094,11,True
BBOB_F5,10,11,109,0.778,49.79590606689453,107.3889762878418,143.5133692932129,164.0558624267578,0.9845,0.1145,11.34803581237793,14.456762838888208,2.263450275767933,0.0245,1.0,5.340156078338623,0.46919023990631104,4.649248740889809,0.6909073374488139,0.04899225759943691,0.042653658173301,11,True
BBOB_F55,10,11,109,0.828,57.141489028930664,111.34498138427738,150.36631561279296,173.85928344726562,0.996,0.1175,10.359949111938477,16.78186654864122,2.5973404104059394,0.0055,1.0,5.319316864013672,0.47119808197021484,4.669144630432129,0.650172233581543,0.04880107214691442,0.04283618927001953,11,True
DTLZ1,7,15,76,0.093,7.388507843017578,28.858155632019084,59.47724536895752,84.34614562988281,0.9565,0.2525,9.981734275817871,8.450049189770859,0.24628359476725262,0.0465,1.0,3.477994680404663,0.5730854272842407,2.903632831573486,0.574361848831177,0.04576308790006136,0.03820569515228271,15,True
DTLZ2,12,15,131,0.0745,9.721109390258789,27.616196632385254,44.99754947662353,65.1719741821289,0.9745,0.1215,3.941624164581299,16.5342943570704,0.324036979675293,0.031,1.0,6.7558183670043945,0.6857550144195557,5.988927125930785,0.7668912410736093,0.05157113257255263,0.04571700096130371,15,True
DTLZ3,12,15,131,0.149,10.258173942565918,36.47767143249512,70.91587486267089,94.91818237304688,0.9435,0.198,6.998884677886963,13.56190118018971,0.34193913141886395,0.058,1.0,6.739009857177734,0.6881955862045288,6.010241452852885,0.7287684043248497,0.051442823337234614,0.045879705746968584,15,True
DTLZ4,12,15,131,0.868,79.77987289428711,140.10417938232422,185.50167083740232,235.120849609375,0.991,0.6885,16.501325607299805,14.248603730682278,2.659329096476237,0.011,1.0,6.6775312423706055,0.6817145347595215,5.953640270233154,0.7238909721374513,0.050973520934126756,0.04544763565063477,15,True
