problema,n_it,rho_alpha_sigma,rho_alpha_mu
BBOB_F1,201,0.28134453781512603,-0.06352941176470588
BBOB_F17,201,-0.5248019207683073,-0.5416086434573829
BBOB_F22,201,-0.5293157262905162,0.29254706142068176
BBOB_F37,201,-0.6790722251395043,-0.733109243697479
BBOB_F49,193,-0.2829015302559078,0.15699740821870609
BBOB_F5,201,0.33839135654261704,0.11654261704681872
DTLZ1,141,-0.1542232805715086,-0.4416275660385344
MMF1,41,0.07294866524160776,-0.19999999999999998
MMF11_L,43,0.4424242424242424,-0.006060606060606061
MMF4,41,0.23636363636363633,-0.09726488698881033
ZDT4,201,0.5082841112625216,0.5039857862130753
