problema,D,n_iters,argmax_bitexato,winner_last,informativos,H1_ok,H0_ok,nulo_hits,nulo_draws
BBOB_F1,10,201,201,200,6,195,195,0,1200
BBOB_F17,10,201,201,200,180,21,21,0,36000
BBOB_F22,10,201,201,200,200,1,1,0,40000
BBOB_F37,10,201,201,200,198,3,3,0,39600
BBOB_F49,10,201,201,200,201,0,0,0,40200
BBOB_F5,10,201,201,200,3,198,198,0,600
DTLZ1,7,141,141,140,140,1,1,0,28000
MMF1,2,41,41,40,41,3,0,24,8200
MMF11_L,2,43,43,42,35,24,14,79,7000
MMF4,2,41,41,40,38,6,5,12,7600
ZDT4,10,201,201,200,175,28,27,2,35000
