problema,D,n_it,dup_pares,A_H1,A_H0,A_nulo,A_nulo_n,B_H1,B_H0,B_nulo,B_n
BBOB_F1,10,201,0,0,0,0,0,0.40790513833992087,0.021475625823451906,0.07865612648221343,201
BBOB_F17,10,201,2,2,2,1,60,0.2938076416337285,0.03715415019762845,0.00303030303030303,201
BBOB_F22,10,201,0,0,0,0,0,0.5006587615283267,0.07628458498023714,0.015678524374176547,201
BBOB_F37,10,201,0,0,0,0,0,0.3856389986824769,0.1067193675889328,-0.014756258234519102,201
BBOB_F49,10,201,0,0,0,0,0,0.4823451910408431,0.11012984761272082,0.01686429512516469,201
BBOB_F5,10,201,0,0,0,0,0,0.33886693017127795,0.0005270092226613965,0.0683794466403162,201
BBOB_F55,10,201,0,0,0,0,0,0.7363046450290492,0.11778656126482213,0.032349453436729264,201
DTLZ1,7,141,29,29,14,63,870,0.23563522167993334,0.12998320372391142,-0.023782857947388707,141
DTLZ2,12,241,0,0,0,0,0,0.1549407114624506,0.01805006587615283,-0.03346508563899868,241
DTLZ3,12,241,0,0,0,0,0,0.2909090909090909,0.06831582071626645,0.003425559947299077,241
DTLZ4,12,241,0,0,0,0,0,0.002766798418972332,0.00764163372859025,-0.11857707509881422,241
MMF1,2,41,23,23,17,125,690,0.4940711462450592,0.33091771598264114,-0.005014024986477105,41
MMF11_L,2,41,94,94,62,526,2820,0.39522451867010083,0.15272056166221434,-0.01872599479581863,41
MMF4,2,41,43,43,39,191,1290,0.48005555973738845,0.19116100975520067,0.004151291657112919,41
WFG2,22,441,0,0,0,0,0,0.5113306982872199,0.07780229919567083,-0.026745718050065877,441
WFG4,22,441,0,0,0,0,0,0.2263504611330698,0.04637681159420289,-0.013702239789196309,441
WFG5,22,441,0,0,0,0,0,0.15546772068511197,0.03952569169960474,-0.0067193675889328066,441
WFG9,22,441,0,0,0,0,0,0.6,0.1346508563899868,-0.009486166007905137,441
ZDT1,30,640,5592,4852,2983,69753,167760,0.5372680850712059,0.08504950643747738,0.06668726861944668,638
ZDT4,10,201,0,0,0,0,0,0.6703557312252963,0.03135704874835309,0.10184453227931489,201
ZDT6,10,202,26,26,10,101,780,0.7444664031620553,0.26086956521739124,0.03965744400527009,202
