problema,ger,log,meu,nf1_log,nf1_meu,nadpop_log,nadpop_meu,ideal_log,ideal_meu
BBOB_F1,1,7,7,"[np.float64(168.55566307454401), np.float64(169.0356708246142)]","[np.float64(168.5556640625), np.float64(169.03567504882812)]","[np.float64(204.00389314185952), np.float64(169.0356708246142)]","[np.float64(204.00389099121094), np.float64(169.03567504882812)]","[np.float64(30.649736763088104), np.float64(43.37586857267376)]","[np.float64(30.649736404418945), np.float64(43.37586975097656)]"
BBOB_F1,2,3,3,"[np.float64(35.107897635220496), np.float64(169.0356708246142)]","[np.float64(35.1078987121582), np.float64(169.03567504882812)]","[np.float64(207.5263027651619), np.float64(169.0356708246142)]","[np.float64(207.52630615234375), np.float64(169.03567504882812)]","[np.float64(30.649736763088104), np.float64(33.46168633128564)]","[np.float64(30.649736404418945), np.float64(33.46168518066406)]"
BBOB_F1,3,3,3,"[np.float64(35.03191041063624), np.float64(169.0356708246142)]","[np.float64(35.03190994262695), np.float64(169.03567504882812)]","[np.float64(188.39095545032296), np.float64(169.0356708246142)]","[np.float64(188.39096069335938), np.float64(169.03567504882812)]","[np.float64(30.649736763088104), np.float64(34.09715254817077)]","[np.float64(30.649736404418945), np.float64(34.09715270996094)]"
BBOB_F1,4,3,3,"[np.float64(33.703932697505934), np.float64(57.07490150386103)]","[np.float64(33.70393371582031), np.float64(57.07490158081055)]","[np.float64(153.15829088057978), np.float64(169.0356708246142)]","[np.float64(153.15829467773438), np.float64(169.03567504882812)]","[np.float64(28.993007941615826), np.float64(33.82620602766679)]","[np.float64(28.99300765991211), np.float64(33.82620620727539)]"
BBOB_F1,5,4,4,"[np.float64(33.703932697505934), np.float64(133.6927566087918)]","[np.float64(33.70393371582031), np.float64(133.6927490234375)]","[np.float64(153.15829088057978), np.float64(143.92290225496868)]","[np.float64(153.15829467773438), np.float64(143.9228973388672)]","[np.float64(24.08481149472412), np.float64(33.82620602766679)]","[np.float64(24.08481216430664), np.float64(33.82620620727539)]"
BBOB_F1,6,4,4,"[np.float64(33.3720522367578), np.float64(133.6927566087918)]","[np.float64(33.37205123901367), np.float64(133.6927490234375)]","[np.float64(153.15829088057978), np.float64(143.92290225496868)]","[np.float64(153.15829467773438), np.float64(143.9228973388672)]","[np.float64(24.08481149472412), np.float64(34.31962890504116)]","[np.float64(24.08481216430664), np.float64(34.31962966918945)]"
BBOB_F1,7,5,5,"[np.float64(33.3720522367578), np.float64(133.6927566087918)]","[np.float64(33.37205123901367), np.float64(133.6927490234375)]","[np.float64(153.15829088057978), np.float64(143.92290225496868)]","[np.float64(153.15829467773438), np.float64(143.9228973388672)]","[np.float64(24.08481149472412), np.float64(34.31962890504116)]","[np.float64(24.08481216430664), np.float64(34.31962966918945)]"
BBOB_F1,8,5,5,"[np.float64(32.84385148191348), np.float64(133.6927566087918)]","[np.float64(32.84385299682617), np.float64(133.6927490234375)]","[np.float64(152.60699310218382), np.float64(143.92290225496868)]","[np.float64(152.60699462890625), np.float64(143.9228973388672)]","[np.float64(24.08481149472412), np.float64(34.650703904305516)]","[np.float64(24.08481216430664), np.float64(34.65070343017578)]"
BBOB_F1,9,5,5,"[np.float64(32.84385148191348), np.float64(133.6927566087918)]","[np.float64(32.84385299682617), np.float64(133.6927490234375)]","[np.float64(152.4160796397), np.float64(143.92290225496868)]","[np.float64(152.41607666015625), np.float64(143.9228973388672)]","[np.float64(24.08481149472412), np.float64(34.650703904305516)]","[np.float64(24.08481216430664), np.float64(34.65070343017578)]"
BBOB_F1,10,5,5,"[np.float64(32.48862529819907), np.float64(133.6927566087918)]","[np.float64(32.488624572753906), np.float64(133.6927490234375)]","[np.float64(152.4160796397), np.float64(133.6927566087918)]","[np.float64(152.41607666015625), np.float64(133.6927490234375)]","[np.float64(24.08481149472412), np.float64(35.863627308916605)]","[np.float64(24.08481216430664), np.float64(35.86362838745117)]"
BBOB_F1,11,3,3,"[np.float64(28.178522250811817), np.float64(117.94296348040454)]","[np.float64(28.17852210998535), np.float64(117.94296264648438)]","[np.float64(144.4674561896519), np.float64(124.14685564664724)]","[np.float64(144.4674530029297), np.float64(124.14685821533203)]","[np.float64(26.05983285342993), np.float64(37.98845604206735)]","[np.float64(26.059833526611328), np.float64(37.98845672607422)]"
BBOB_F1,12,3,3,"[np.float64(27.35836003079199), np.float64(117.03583466542602)]","[np.float64(27.358360290527344), np.float64(117.03583526611328)]","[np.float64(141.42645713995728), np.float64(124.14685564664724)]","[np.float64(141.42645263671875), np.float64(124.14685821533203)]","[np.float64(25.48869908545589), np.float64(38.58191924530971)]","[np.float64(25.488698959350586), np.float64(38.5819206237793)]"
BBOB_F17,1,6,6,"[np.float64(22609337.147447657), np.float64(64.69891337807242)]","[np.float64(22609338.0), np.float64(64.69891357421875)]","[np.float64(60589610.98365234), np.float64(181.734977304693)]","[np.float64(60589612.0), np.float64(181.73497009277344)]","[np.float64(573097.8100169055), np.float64(11.73925963213151)]","[np.float64(573097.8125), np.float64(11.739259719848633)]"
BBOB_F17,2,7,7,"[np.float64(59106856.75805459), np.float64(50.64394072243296)]","[np.float64(59106856.0), np.float64(50.64393997192383)]","[np.float64(59106856.75805459), np.float64(227.95850574922497)]","[np.float64(59106856.0), np.float64(227.95851135253906)]","[np.float64(541308.5065064684), np.float64(11.434524588520295)]","[np.float64(541308.5), np.float64(11.434524536132812)]"
BBOB_F17,3,11,11,"[np.float64(27444173.759779982), np.float64(95.4715252122584)]","[np.float64(27444174.0), np.float64(95.47152709960938)]","[np.float64(27444173.759779982), np.float64(227.95850574922497)]","[np.float64(27444174.0), np.float64(227.95851135253906)]","[np.float64(117599.18145130808), np.float64(15.76204723184243)]","[np.float64(117599.1796875), np.float64(15.762046813964844)]"
BBOB_F17,4,8,8,"[np.float64(21709477.242168497), np.float64(95.4715252122584)]","[np.float64(21709478.0), np.float64(95.47152709960938)]","[np.float64(21709477.242168497), np.float64(187.22597565174203)]","[np.float64(21709478.0), np.float64(187.22598266601562)]","[np.float64(117599.18145130808), np.float64(13.702106717515818)]","[np.float64(117599.1796875), np.float64(13.702106475830078)]"
BBOB_F17,5,9,9,"[np.float64(21708055.333950847), np.float64(67.46886591632789)]","[np.float64(21708056.0), np.float64(67.46886444091797)]","[np.float64(21708055.333950847), np.float64(187.22597565174203)]","[np.float64(21708056.0), np.float64(187.22598266601562)]","[np.float64(117582.72188372159), np.float64(19.11942338111132)]","[np.float64(117582.71875), np.float64(19.119422912597656)]"
BBOB_F17,6,9,9,"[np.float64(20595107.80644414), np.float64(70.96047367792666)]","[np.float64(20595108.0), np.float64(70.9604721069336)]","[np.float64(20595107.80644414), np.float64(183.32840285649922)]","[np.float64(20595108.0), np.float64(183.32839965820312)]","[np.float64(115656.74709252417), np.float64(19.15036385654944)]","[np.float64(115656.75), np.float64(19.15036392211914)]"
BBOB_F17,7,3,3,"[np.float64(425508.58927029686), np.float64(70.96047367792666)]","[np.float64(425508.59375), np.float64(70.9604721069336)]","[np.float64(20593308.081936), np.float64(183.32840285649922)]","[np.float64(20593308.0), np.float64(183.32839965820312)]","[np.float64(115656.74709252417), np.float64(16.550938904874613)]","[np.float64(115656.75), np.float64(16.550939559936523)]"
BBOB_F17,8,3,3,"[np.float64(424456.4678043783), np.float64(70.96047367792666)]","[np.float64(424456.46875), np.float64(70.9604721069336)]","[np.float64(20593298.896966863), np.float64(183.32840285649922)]","[np.float64(20593298.0), np.float64(183.32839965820312)]","[np.float64(115656.74709252417), np.float64(17.06347624902918)]","[np.float64(115656.75), np.float64(17.0634765625)]"
BBOB_F17,9,3,3,"[np.float64(424456.4678043783), np.float64(70.96047367792666)]","[np.float64(424456.46875), np.float64(70.9604721069336)]","[np.float64(20593298.896966863), np.float64(183.32840285649922)]","[np.float64(20593298.0), np.float64(183.32839965820312)]","[np.float64(115656.74709252417), np.float64(17.06347624902918)]","[np.float64(115656.75), np.float64(17.0634765625)]"
BBOB_F17,10,3,3,"[np.float64(414948.72005634225), np.float64(70.96047367792666)]","[np.float64(414948.71875), np.float64(70.9604721069336)]","[np.float64(20593298.896966863), np.float64(183.32840285649922)]","[np.float64(20593298.0), np.float64(183.32839965820312)]","[np.float64(115656.74709252417), np.float64(14.750389279123468)]","[np.float64(115656.75), np.float64(14.750389099121094)]"
BBOB_F17,11,5,5,"[np.float64(20520076.401961725), np.float64(70.96047367792666)]","[np.float64(20520076.0), np.float64(70.9604721069336)]","[np.float64(20520076.401961725), np.float64(183.32840285649922)]","[np.float64(20520076.0), np.float64(183.32839965820312)]","[np.float64(115656.74709252417), np.float64(13.574781727587705)]","[np.float64(115656.75), np.float64(13.57478141784668)]"
BBOB_F17,12,6,6,"[np.float64(20520074.227767978), np.float64(70.96047367792666)]","[np.float64(20520074.0), np.float64(70.9604721069336)]","[np.float64(20520074.227767978), np.float64(238.33963908333425)]","[np.float64(20520074.0), np.float64(238.3396453857422)]","[np.float64(115656.74709252417), np.float64(14.475336596671607)]","[np.float64(115656.75), np.float64(14.475337028503418)]"
BBOB_F17,13,8,8,"[np.float64(20511600.12793769), np.float64(87.78412466167894)]","[np.float64(20511600.0), np.float64(87.78412628173828)]","[np.float64(20511600.12793769), np.float64(238.33963908333425)]","[np.float64(20511600.0), np.float64(238.3396453857422)]","[np.float64(107150.5496828304), np.float64(12.974949636145375)]","[np.float64(107150.546875), np.float64(12.974949836730957)]"
BBOB_F17,14,8,8,"[np.float64(20511401.203274246), np.float64(87.78412466167894)]","[np.float64(20511402.0), np.float64(87.78412628173828)]","[np.float64(20511401.203274246), np.float64(234.16781866129907)]","[np.float64(20511402.0), np.float64(234.16781616210938)]","[np.float64(107150.5496828304), np.float64(13.872272094523325)]","[np.float64(107150.546875), np.float64(13.872272491455078)]"
BBOB_F22,1,5,5,"[np.float64(139090.98046581403), np.float64(2462.884961620926)]","[np.float64(139090.984375), np.float64(2462.885009765625)]","[np.float64(866113.3795936236), np.float64(2462.884961620926)]","[np.float64(866113.375), np.float64(2462.885009765625)]","[np.float64(206.08567425945012), np.float64(1039.564760018665)]","[np.float64(206.08567810058594), np.float64(1039.5648193359375)]"
BBOB_F22,2,7,7,"[np.float64(233447.94354982185), np.float64(2462.884961620926)]","[np.float64(233447.9375), np.float64(2462.885009765625)]","[np.float64(636043.840865275), np.float64(2462.884961620926)]","[np.float64(636043.8125), np.float64(2462.885009765625)]","[np.float64(206.08567425945012), np.float64(1089.3888536016768)]","[np.float64(206.08567810058594), np.float64(1089.3887939453125)]"
BBOB_F22,3,10,10,"[np.float64(233447.94354982185), np.float64(2455.410801424584)]","[np.float64(233447.9375), np.float64(2455.410888671875)]","[np.float64(321418.0112552485), np.float64(2455.410801424584)]","[np.float64(321418.0), np.float64(2455.410888671875)]","[np.float64(205.31195714843452), np.float64(1089.3888536016768)]","[np.float64(205.31195068359375), np.float64(1089.3887939453125)]"
