alg,problema,M,ger,n_pop,log,lo,hi,dentro,delta,largura,pares_empate_f32
moead,BBOB_F1,2,1,20,7,7,7,True,0,0,0
moead,BBOB_F1,2,2,20,3,3,3,True,0,0,0
moead,BBOB_F1,2,3,20,3,3,3,True,0,0,0
moead,BBOB_F1,2,4,20,3,3,3,True,0,0,0
moead,BBOB_F1,2,5,20,4,4,4,True,0,0,0
moead,BBOB_F1,2,6,20,4,4,4,True,0,0,0
moead,BBOB_F1,2,7,20,5,5,5,True,0,0,0
moead,BBOB_F1,2,8,20,5,5,5,True,0,0,0
moead,BBOB_F1,2,9,20,5,5,5,True,0,0,0
moead,BBOB_F1,2,10,20,5,5,5,True,0,0,0
moead,BBOB_F1,2,11,20,3,3,3,True,0,0,0
moead,BBOB_F1,2,12,20,3,3,3,True,0,0,0
moead,BBOB_F17,2,1,20,6,6,6,True,0,0,0
moead,BBOB_F17,2,2,20,7,7,7,True,0,0,0
moead,BBOB_F17,2,3,20,11,11,11,True,0,0,0
moead,BBOB_F17,2,4,20,8,8,8,True,0,0,0
moead,BBOB_F17,2,5,20,9,9,9,True,0,0,0
moead,BBOB_F17,2,6,20,9,9,9,True,0,0,0
moead,BBOB_F17,2,7,20,3,3,3,True,0,0,0
moead,BBOB_F17,2,8,20,3,3,3,True,0,0,0
moead,BBOB_F17,2,9,20,3,3,3,True,0,0,0
moead,BBOB_F17,2,10,20,3,3,3,True,0,0,0
moead,BBOB_F17,2,11,20,5,5,5,True,0,0,0
moead,BBOB_F17,2,12,20,6,6,6,True,0,0,0
moead,BBOB_F17,2,13,20,8,8,8,True,0,0,0
moead,BBOB_F17,2,14,20,8,8,8,True,0,0,0
moead,BBOB_F22,2,1,20,5,5,5,True,0,0,0
moead,BBOB_F22,2,2,20,7,7,7,True,0,0,0
moead,BBOB_F22,2,3,20,10,10,10,True,0,0,0
moead,BBOB_F22,2,4,20,11,11,11,True,0,0,0
moead,BBOB_F22,2,5,20,10,10,10,True,0,0,0
moead,BBOB_F22,2,6,20,11,11,11,True,0,0,0
moead,BBOB_F22,2,7,20,11,11,11,True,0,0,0
moead,BBOB_F22,2,8,20,7,7,7,True,0,0,0
moead,BBOB_F22,2,9,20,9,9,9,True,0,0,0
moead,BBOB_F22,2,10,20,9,9,9,True,0,0,0
moead,BBOB_F22,2,11,20,8,8,8,True,0,0,0
moead,BBOB_F22,2,12,20,7,7,7,True,0,0,0
moead,BBOB_F22,2,13,20,7,7,7,True,0,0,0
moead,BBOB_F22,2,14,20,8,8,8,True,0,0,0
moead,BBOB_F37,2,1,20,5,5,5,True,0,0,0
moead,BBOB_F37,2,2,20,6,6,6,True,0,0,0
moead,BBOB_F37,2,3,20,6,6,6,True,0,0,0
moead,BBOB_F37,2,4,20,6,6,6,True,0,0,0
moead,BBOB_F37,2,5,20,6,6,6,True,0,0,0
moead,BBOB_F37,2,6,20,7,7,7,True,0,0,0
moead,BBOB_F37,2,7,20,9,9,9,True,0,0,0
moead,BBOB_F37,2,8,20,8,8,8,True,0,0,0
moead,BBOB_F37,2,9,20,6,6,6,True,0,0,0
moead,BBOB_F37,2,10,20,7,7,7,True,0,0,0
moead,BBOB_F37,2,11,20,6,6,6,True,0,0,0
moead,BBOB_F37,2,12,20,6,6,6,True,0,0,0
moead,BBOB_F37,2,13,20,6,6,6,True,0,0,0
moead,BBOB_F49,2,1,20,5,5,5,True,0,0,0
moead,BBOB_F49,2,2,20,7,7,7,True,0,0,0
moead,BBOB_F49,2,3,20,7,7,7,True,0,0,0
moead,BBOB_F49,2,4,20,6,6,6,True,0,0,0
moead,BBOB_F49,2,5,20,6,6,6,True,0,0,0
moead,BBOB_F49,2,6,20,6,6,6,True,0,0,0
moead,BBOB_F49,2,7,20,8,8,8,True,0,0,0
moead,BBOB_F49,2,8,20,8,8,8,True,0,0,0
moead,BBOB_F49,2,9,20,8,8,8,True,0,0,0
moead,BBOB_F49,2,10,20,8,8,8,True,0,0,0
moead,BBOB_F49,2,11,20,8,8,8,True,0,0,0
moead,BBOB_F49,2,12,20,8,8,8,True,0,0,0
moead,BBOB_F49,2,13,20,10,10,10,True,0,0,0
moead,BBOB_F49,2,14,20,10,10,10,True,0,0,0
moead,BBOB_F5,2,1,20,7,7,7,True,0,0,0
moead,BBOB_F5,2,2,20,7,7,7,True,0,0,0
moead,BBOB_F5,2,3,20,7,7,7,True,0,0,0
moead,BBOB_F5,2,4,20,7,7,7,True,0,0,0
moead,BBOB_F5,2,5,20,6,6,6,True,0,0,0
moead,BBOB_F5,2,6,20,7,7,7,True,0,0,0
moead,BBOB_F5,2,7,20,6,6,6,True,0,0,0
moead,BBOB_F5,2,8,20,6,6,6,True,0,0,0
moead,BBOB_F5,2,9,20,7,7,7,True,0,0,0
moead,BBOB_F5,2,10,20,8,8,8,True,0,0,0
moead,BBOB_F5,2,11,20,8,8,8,True,0,0,0
moead,BBOB_F5,2,12,20,7,7,7,True,0,0,0
moead,BBOB_F5,2,13,20,7,7,7,True,0,0,0
moead,BBOB_F5,2,14,20,8,8,8,True,0,0,0
moead,BBOB_F55,2,1,20,4,4,4,True,0,0,0
moead,BBOB_F55,2,2,20,4,4,4,True,0,0,0
moead,BBOB_F55,2,3,20,5,5,5,True,0,0,0
moead,BBOB_F55,2,4,20,5,5,5,True,0,0,0
moead,BBOB_F55,2,5,20,5,5,5,True,0,0,0
moead,BBOB_F55,2,6,20,5,5,5,True,0,0,0
moead,BBOB_F55,2,7,20,5,5,5,True,0,0,0
moead,BBOB_F55,2,8,20,5,5,5,True,0,0,0
moead,BBOB_F55,2,9,20,4,4,4,True,0,0,0
moead,BBOB_F55,2,10,20,6,6,6,True,0,0,0
moead,BBOB_F55,2,11,20,4,4,4,True,0,0,0
moead,BBOB_F55,2,12,20,4,4,4,True,0,0,0
moead,BBOB_F55,2,13,20,4,4,4,True,0,0,0
moead,DTLZ1,3,1,15,15,15,15,True,0,0,0
moead,DTLZ1,3,2,15,8,8,8,True,0,0,0
moead,DTLZ1,3,3,15,11,11,11,True,0,0,0
moead,DTLZ1,3,4,15,10,10,10,True,0,0,0
moead,DTLZ1,3,5,15,10,10,10,True,0,0,0
moead,DTLZ1,3,6,15,9,9,9,True,0,0,0
moead,DTLZ1,3,7,15,10,10,10,True,0,0,2
moead,DTLZ1,3,8,15,11,11,11,True,0,0,1
moead,DTLZ1,3,9,15,13,13,13,True,0,0,1
moead,DTLZ1,3,10,15,12,12,12,True,0,0,0
moead,DTLZ1,3,11,15,11,11,11,True,0,0,0
moead,DTLZ2,3,1,15,15,15,15,True,0,0,0
moead,DTLZ2,3,2,15,13,13,13,True,0,0,0
moead,DTLZ2,3,3,15,11,11,11,True,0,0,0
moead,DTLZ2,3,4,15,12,12,12,True,0,0,0
moead,DTLZ2,3,5,15,12,12,12,True,0,0,0
