exp,problema,obj,b5m,b5r,moead_media,cel
off,BBOB_F1,0,False,False,False,off/BBOB_F1
off,BBOB_F1,1,False,False,False,off/BBOB_F1
off,BBOB_F17,0,False,False,False,off/BBOB_F17
off,BBOB_F17,1,False,False,True,off/BBOB_F17
off,BBOB_F22,0,False,False,False,off/BBOB_F22
off,BBOB_F22,1,False,False,False,off/BBOB_F22
off,BBOB_F37,0,False,False,False,off/BBOB_F37
off,BBOB_F37,1,False,False,False,off/BBOB_F37
off,BBOB_F49,0,False,False,False,off/BBOB_F49
off,BBOB_F49,1,False,False,False,off/BBOB_F49
off,BBOB_F5,0,False,False,False,off/BBOB_F5
off,BBOB_F5,1,False,False,False,off/BBOB_F5
off,BBOB_F55,0,False,False,False,off/BBOB_F55
off,BBOB_F55,1,False,False,False,off/BBOB_F55
off,DTLZ1,0,True,False,True,off/DTLZ1
off,DTLZ1,1,True,False,False,off/DTLZ1
off,DTLZ1,2,True,True,True,off/DTLZ1
off,DTLZ2,0,False,False,True,off/DTLZ2
off,DTLZ2,1,False,False,True,off/DTLZ2
off,DTLZ2,2,False,False,True,off/DTLZ2
off,DTLZ3,0,True,True,True,off/DTLZ3
off,DTLZ3,1,True,True,True,off/DTLZ3
off,DTLZ3,2,True,True,False,off/DTLZ3
off,DTLZ4,0,False,False,True,off/DTLZ4
off,DTLZ4,1,True,False,False,off/DTLZ4
off,DTLZ4,2,False,True,True,off/DTLZ4
off,DTLZ7,0,False,False,False,off/DTLZ7
off,DTLZ7,1,False,False,False,off/DTLZ7
off,DTLZ7,2,False,False,False,off/DTLZ7
off,MMF1,0,False,False,False,off/MMF1
off,MMF1,1,False,False,False,off/MMF1
off,MMF11_L,0,False,False,False,off/MMF11_L
off,MMF11_L,1,False,False,False,off/MMF11_L
off,MMF16_20,0,False,False,False,off/MMF16_20
off,MMF16_20,1,False,False,False,off/MMF16_20
off,MMF16_20,2,False,False,False,off/MMF16_20
off,MMF4,0,False,False,False,off/MMF4
off,MMF4,1,False,False,False,off/MMF4
off,WFG1,0,False,False,False,off/WFG1
off,WFG1,1,False,False,False,off/WFG1
off,WFG2,0,False,False,False,off/WFG2
off,WFG2,1,False,False,False,off/WFG2
off,WFG4,0,False,False,False,off/WFG4
off,WFG4,1,False,False,False,off/WFG4
off,WFG5,0,False,False,False,off/WFG5
off,WFG5,1,False,False,False,off/WFG5
off,WFG9,0,False,False,False,off/WFG9
off,WFG9,1,False,False,False,off/WFG9
off,ZDT1,0,False,False,False,off/ZDT1
off,ZDT1,1,False,False,False,off/ZDT1
off,ZDT3,0,False,False,False,off/ZDT3
off,ZDT3,1,False,False,False,off/ZDT3
off,ZDT4,0,False,False,False,off/ZDT4
off,ZDT4,1,False,False,False,off/ZDT4
off,ZDT6,0,False,False,True,off/ZDT6
off,ZDT6,1,False,False,False,off/ZDT6
sweep-medium-lhs,DTLZ2,0,False,False,True,sweep-medium-lhs/DTLZ2
sweep-medium-lhs,DTLZ2,1,False,False,False,sweep-medium-lhs/DTLZ2
sweep-medium-lhs,DTLZ2,2,False,False,True,sweep-medium-lhs/DTLZ2
sweep-medium-lhs,MMF16_20,0,True,False,True,sweep-medium-lhs/MMF16_20
sweep-medium-lhs,MMF16_20,1,False,False,True,sweep-medium-lhs/MMF16_20
sweep-medium-lhs,MMF16_20,2,False,False,True,sweep-medium-lhs/MMF16_20
sweep-medium-lhs,WFG9,0,False,False,False,sweep-medium-lhs/WFG9
sweep-medium-lhs,WFG9,1,False,False,False,sweep-medium-lhs/WFG9
sweep-medium-lhs,ZDT1,0,False,False,False,sweep-medium-lhs/ZDT1
sweep-medium-lhs,ZDT1,1,False,False,False,sweep-medium-lhs/ZDT1
sweep-medium-lhs,ZDT4,0,False,False,False,sweep-medium-lhs/ZDT4
sweep-medium-lhs,ZDT4,1,False,False,True,sweep-medium-lhs/ZDT4
sweep-medium-mvns,DTLZ2,0,False,False,True,sweep-medium-mvns/DTLZ2
sweep-medium-mvns,DTLZ2,1,False,False,False,sweep-medium-mvns/DTLZ2
sweep-medium-mvns,DTLZ2,2,False,False,True,sweep-medium-mvns/DTLZ2
sweep-medium-mvns,MMF16_20,0,True,False,True,sweep-medium-mvns/MMF16_20
sweep-medium-mvns,MMF16_20,1,False,False,True,sweep-medium-mvns/MMF16_20
sweep-medium-mvns,MMF16_20,2,False,False,True,sweep-medium-mvns/MMF16_20
sweep-medium-mvns,WFG9,0,False,False,False,sweep-medium-mvns/WFG9
sweep-medium-mvns,WFG9,1,False,False,False,sweep-medium-mvns/WFG9
sweep-medium-mvns,ZDT1,0,False,False,False,sweep-medium-mvns/ZDT1
sweep-medium-mvns,ZDT1,1,False,False,False,sweep-medium-mvns/ZDT1
sweep-medium-mvns,ZDT4,0,False,False,False,sweep-medium-mvns/ZDT4
sweep-medium-mvns,ZDT4,1,False,False,True,sweep-medium-mvns/ZDT4
sweep-small-lhs,DTLZ2,0,False,False,True,sweep-small-lhs/DTLZ2
sweep-small-lhs,DTLZ2,1,False,False,True,sweep-small-lhs/DTLZ2
sweep-small-lhs,DTLZ2,2,False,False,True,sweep-small-lhs/DTLZ2
sweep-small-lhs,MMF16_20,0,False,False,False,sweep-small-lhs/MMF16_20
sweep-small-lhs,MMF16_20,1,False,False,False,sweep-small-lhs/MMF16_20
sweep-small-lhs,MMF16_20,2,False,False,False,sweep-small-lhs/MMF16_20
sweep-small-lhs,WFG9,0,False,False,False,sweep-small-lhs/WFG9
sweep-small-lhs,WFG9,1,False,False,False,sweep-small-lhs/WFG9
sweep-small-lhs,ZDT1,0,False,False,False,sweep-small-lhs/ZDT1
sweep-small-lhs,ZDT1,1,False,False,False,sweep-small-lhs/ZDT1
sweep-small-lhs,ZDT4,0,False,False,False,sweep-small-lhs/ZDT4
sweep-small-lhs,ZDT4,1,False,False,False,sweep-small-lhs/ZDT4
sweep-small-mvns,DTLZ2,0,False,False,True,sweep-small-mvns/DTLZ2
sweep-small-mvns,DTLZ2,1,False,False,False,sweep-small-mvns/DTLZ2
sweep-small-mvns,DTLZ2,2,False,False,True,sweep-small-mvns/DTLZ2
sweep-small-mvns,MMF16_20,0,False,False,False,sweep-small-mvns/MMF16_20
sweep-small-mvns,MMF16_20,1,False,False,False,sweep-small-mvns/MMF16_20
sweep-small-mvns,MMF16_20,2,False,False,False,sweep-small-mvns/MMF16_20
sweep-small-mvns,WFG9,0,False,False,False,sweep-small-mvns/WFG9
sweep-small-mvns,WFG9,1,False,False,False,sweep-small-mvns/WFG9
sweep-small-mvns,ZDT1,0,False,False,False,sweep-small-mvns/ZDT1
sweep-small-mvns,ZDT1,1,False,False,False,sweep-small-mvns/ZDT1
