alg,label,ts_first,ts_last,n_header,n_footer,ftr_esp,jsonl_bad,n_retro,jsonl_linhas,assinatura,veredito,sinais,n_sinais,created_at,updated_at
e81,q10_ZDT4,2026-07-24T11:46:33.948000+00:00,2026-07-28T18:42:14.673000+00:00,95,95,2,0,0,747,DIFERE_md5=1;DIFERE_tam=1;igual_copia=4,OK,"S1_multi_header,S5_footer_extra,S6_bucket_ne_mac,S8_pulou,S9_pre_campanha",5,2026-07-24T12:21:10+00:00,2026-07-28T18:42:14+00:00
b5m,swap_medium-lhs_MMF16_20,2026-07-24T01:08:50.086000+00:00,2026-07-24T02:03:58.094000+00:00,1,1,2,0,0,384,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou,S9_pre_campanha",3,2026-07-24T02:03:58+00:00,2026-07-24T02:03:58+00:00
b5m,swap_medium-lhs_ZDT4,2026-07-24T00:39:47.031000+00:00,2026-07-24T01:28:24.520000+00:00,1,1,2,0,0,804,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou,S9_pre_campanha",3,2026-07-24T01:28:24+00:00,2026-07-24T01:28:24+00:00
b5m,swap_medium-mvns_ZDT4,2026-07-24T00:39:50.699000+00:00,2026-07-24T01:29:53.456000+00:00,1,1,2,0,0,804,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou,S9_pre_campanha",3,2026-07-24T01:29:53+00:00,2026-07-24T01:29:53+00:00
b5r,swap_small-mvns_ZDT4,2026-07-24T00:17:13.573000+00:00,2026-07-24T00:19:40.225000+00:00,1,1,2,0,0,5551,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou,S9_pre_campanha",3,2026-07-24T00:19:40+00:00,2026-07-24T00:19:40+00:00
c311,swap_big-lhs_ZDT4,2026-07-24T01:34:09.875000+00:00,2026-07-24T01:35:15.082000+00:00,1,1,2,0,0,54,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou,S9_pre_campanha",3,2026-07-24T01:35:15+00:00,2026-07-24T01:35:15+00:00
c311,swap_big-mvns_ZDT4,2026-07-24T02:02:06.570000+00:00,2026-07-24T02:02:55.241000+00:00,1,1,2,0,0,34,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou,S9_pre_campanha",3,2026-07-24T02:02:55+00:00,2026-07-24T02:02:55+00:00
moead_media,swap_small-lhs_ZDT1,2026-07-26T11:24:10.351000+00:00,2026-07-26T11:26:29.581000+00:00,1,3,2,1,1,807,igual_copia=8,IDS_AUSENTES,"S2_jsonl_splice,S3_retro_ts,S5_footer_extra",3,2026-07-26T11:26:29+00:00,2026-07-26T11:26:29+00:00
treed_media,swap_big-lhs_DTLZ2,2026-07-24T22:33:12.682000+00:00,2026-07-24T22:33:22.838000+00:00,1,1,2,0,0,3,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou,S9_pre_campanha",3,2026-07-24T22:33:22+00:00,2026-07-24T22:33:22+00:00
treed_media,swap_big-lhs_MMF16_20,2026-07-25T01:03:59.879000+00:00,2026-07-25T01:04:10.965000+00:00,1,1,2,0,0,3,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou,S9_pre_campanha",3,2026-07-25T01:04:10+00:00,2026-07-25T01:04:10+00:00
treed_media,swap_big-lhs_WFG9,2026-07-25T01:03:51.581000+00:00,2026-07-25T01:03:57.755000+00:00,1,1,2,0,0,3,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou,S9_pre_campanha",3,2026-07-25T01:03:57+00:00,2026-07-25T01:03:57+00:00
treed_media,swap_big-lhs_ZDT1,2026-07-25T01:03:42.547000+00:00,2026-07-25T01:03:49.313000+00:00,1,1,2,0,0,3,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou,S9_pre_campanha",3,2026-07-25T01:03:49+00:00,2026-07-25T01:03:49+00:00
treed_media,swap_big-lhs_ZDT4,2026-07-24T22:32:24.471000+00:00,2026-07-24T22:32:29.237000+00:00,1,1,2,0,0,3,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou,S9_pre_campanha",3,2026-07-24T22:32:29+00:00,2026-07-24T22:32:29+00:00
treed_media,swap_big-mvns_ZDT4,2026-07-24T22:33:05.797000+00:00,2026-07-24T22:33:10.419000+00:00,1,1,2,0,0,3,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou,S9_pre_campanha",3,2026-07-24T22:33:10+00:00,2026-07-24T22:33:10+00:00
b1,WFG1,2026-07-26T23:33:56+00:00,2026-07-27T00:38:11+00:00,1,0,1,49,0,930,igual_copia=6,OK,"S2_jsonl_splice,S4_footer_faltante",2,2026-07-27T00:39:31Z,2026-07-27T00:39:31Z
