alg,label,fontes,assinatura
b1,BBOB_F1,"{""bucket"": 6}",bucketx6
b1,BBOB_F17,"{""bucket"": 6}",bucketx6
b1,BBOB_F22,"{""bucket"": 6}",bucketx6
b1,BBOB_F37,"{""bucket"": 6}",bucketx6
b1,BBOB_F49,"{""bucket"": 6}",bucketx6
b1,BBOB_F5,"{""bucket"": 6}",bucketx6
b1,BBOB_F55,"{""bucket"": 6}",bucketx6
b1,DTLZ1,"{""bucket"": 6}",bucketx6
b1,DTLZ2,"{""bucket"": 6}",bucketx6
b1,DTLZ3,"{""bucket"": 6}",bucketx6
b1,DTLZ7,"{""bucket"": 6}",bucketx6
b1,MMF1,"{""bucket"": 6}",bucketx6
b1,MMF11_L,"{""bucket"": 6}",bucketx6
b1,MMF16_20,"{""bucket"": 6}",bucketx6
b1,MMF4,"{""bucket"": 6}",bucketx6
b1,WFG1,"{""bucket"": 6}",bucketx6
b1,WFG2,"{""bucket"": 6}",bucketx6
b1,WFG4,"{""bucket"": 6}",bucketx6
b1,WFG5,"{""bucket"": 6}",bucketx6
b1,WFG9,"{""bucket"": 6}",bucketx6
b1,ZDT1,"{""bucket"": 6}",bucketx6
b1,ZDT3,"{""bucket"": 6}",bucketx6
b1,ZDT4,"{""bucket"": 6}",bucketx6
b1,ZDT6,"{""bucket"": 6}",bucketx6
b3,BBOB_F1,"{""bucket"": 6}",bucketx6
b3,BBOB_F17,"{""bucket"": 6}",bucketx6
b3,BBOB_F22,"{""bucket"": 6}",bucketx6
b3,BBOB_F37,"{""bucket"": 6}",bucketx6
b3,BBOB_F49,"{""bucket"": 6}",bucketx6
b3,BBOB_F5,"{""bucket"": 6}",bucketx6
b3,BBOB_F55,"{""bucket"": 6}",bucketx6
b3,DTLZ1,"{""bucket"": 6}",bucketx6
b3,DTLZ2,"{""bucket"": 6}",bucketx6
b3,DTLZ3,"{""bucket"": 6}",bucketx6
b3,DTLZ4,"{""bucket"": 6}",bucketx6
b3,DTLZ7,"{""bucket"": 6}",bucketx6
b3,MMF1,"{""bucket"": 6}",bucketx6
b3,MMF11_L,"{""bucket"": 6}",bucketx6
b3,MMF16_20,"{""bucket"": 6}",bucketx6
b3,MMF4,"{""bucket"": 6}",bucketx6
b3,WFG1,"{""bucket"": 6}",bucketx6
b3,WFG2,"{""bucket"": 6}",bucketx6
b3,WFG4,"{""bucket"": 6}",bucketx6
b3,WFG5,"{""bucket"": 6}",bucketx6
b3,WFG9,"{""bucket"": 6}",bucketx6
b3,ZDT1,"{""bucket"": 6}",bucketx6
b3,ZDT3,"{""bucket"": 6}",bucketx6
b3,ZDT4,"{""bucket"": 6}",bucketx6
b3,ZDT6,"{""bucket"": 6}",bucketx6
b4,BBOB_F1,"{""bucket"": 6}",bucketx6
b4,BBOB_F17,"{""bucket"": 6}",bucketx6
b4,BBOB_F22,"{""bucket"": 6}",bucketx6
b4,BBOB_F37,"{""bucket"": 6}",bucketx6
b4,BBOB_F49,"{""bucket"": 6}",bucketx6
b4,BBOB_F5,"{""bucket"": 6}",bucketx6
b4,BBOB_F55,"{""bucket"": 6}",bucketx6
b4,DTLZ1,"{""bucket"": 6}",bucketx6
b4,DTLZ2,"{""bucket"": 6}",bucketx6
b4,DTLZ3,"{""bucket"": 6}",bucketx6
b4,DTLZ4,"{""bucket"": 6}",bucketx6
b4,DTLZ7,"{""bucket"": 6}",bucketx6
b4,MMF1,"{""bucket"": 6}",bucketx6
b4,MMF11_L,"{""bucket"": 6}",bucketx6
b4,MMF16_20,"{""bucket"": 6}",bucketx6
b4,MMF4,"{""bucket"": 6}",bucketx6
b4,WFG1,"{""bucket"": 6}",bucketx6
b4,WFG2,"{""bucket"": 6}",bucketx6
b4,WFG4,"{""bucket"": 6}",bucketx6
b4,WFG5,"{""bucket"": 6}",bucketx6
b4,WFG9,"{""bucket"": 6}",bucketx6
b4,ZDT1,"{""bucket"": 6}",bucketx6
b4,ZDT3,"{""bucket"": 6}",bucketx6
b4,ZDT4,"{""bucket"": 6}",bucketx6
b4,ZDT6,"{""bucket"": 6}",bucketx6
b5m,BBOB_F1,"{""bucket"": 8}",bucketx8
b5m,BBOB_F17,"{""bucket"": 8}",bucketx8
b5m,BBOB_F22,"{""bucket"": 8}",bucketx8
b5m,BBOB_F37,"{""bucket"": 8}",bucketx8
