alg,label,dir,n_files,size_jsonl,nlink_jsonl,size_manifest,nlink_manifest,size_pop,nlink_pop,size_real,nlink_real,size_surrogate,nlink_surrogate,size_timing,nlink_timing,mtime_jsonl,mtime_manifest,mtime_pop,mtime_real,mtime_surrogate,mtime_timing,mtime_min,mtime_max,mtime_spread_s,run_id,exp,status,n_retries,n_geracoes,fe_final,maxfe,motivo_parada,created_at,updated_at,upd_minus_created_s,env_exec,env_python,path_jsonl,path_real,bucket,upload_status,tempo_total_s,tempo_total_despachante_s,n_fit_series,jsonl_linhas,jsonl_bad,n_header,n_footer,n_header_null,n_fit,n_decision,n_sonda,n_guard,recs,ts_min,ts_max,ts_first,ts_last,ts_span_s,n_retro,max_retro_s,max_gap_s,n_janelas_900s,hdr_ts,ftr_ts_last,ftr_ts_first,size_final_manifest,nlink_final_manifest,size_final,nlink_final,mtime_final_manifest,mtime_final,final_n,final_created_at,final_keys
b1,BBOB_F1,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/BBOB_F1/42,6,394453,2,24708,2,6981,2,22897,2,5519000,2,6457,2,1785285293.395988,1785285292.833116,1785285292.7781172,1785285292.9274318,1785285323.027758,1785285292.778663,1785285292.7781172,1785285323.027758,30.249640703201294,main_b1_BBOB_F1_42,main,ok,0,205,309,309,,2026-07-26T11:54:27Z,2026-07-26T11:54:27Z,0.0,,,data/experiments/main/b1/exp_main_b1_BBOB_F1_42.jsonl,data/experiments/main/b1/exp_main_b1_BBOB_F1_42__real.parquet,,,327.114108,,204,323,0,1,1,0,0,0,103,14,"{""b1_gen"": 204, ""footer"": 1, ""guard"": 14, ""header"": 1, ""sonda"": 103}",2026-07-26T11:49:02+00:00,2026-07-26T11:54:27+00:00,2026-07-26T11:49:02+00:00,2026-07-26T11:54:27+00:00,325.0,0,0.0,5.0,1,"[""2026-07-26T11:49:02Z""]",2026-07-26T11:54:27Z,2026-07-26T11:54:27Z,,,,,,,,,
b1,BBOB_F17,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/BBOB_F17/42,6,394030,2,24943,2,7044,2,21621,2,5605661,2,6584,2,1785285295.4054894,1785285292.7793345,1785285292.8192832,1785285292.8362176,1785285336.5797982,1785285292.9009757,1785285292.7793345,1785285336.5797982,43.80046367645264,main_b1_BBOB_F17_42,main,ok,0,207,309,309,,2026-07-26T11:54:22Z,2026-07-26T11:54:22Z,0.0,,,data/experiments/main/b1/exp_main_b1_BBOB_F17_42.jsonl,data/experiments/main/b1/exp_main_b1_BBOB_F17_42__real.parquet,,,322.339422,,206,358,0,1,1,0,0,0,104,46,"{""b1_gen"": 206, ""footer"": 1, ""guard"": 46, ""header"": 1, ""sonda"": 104}",2026-07-26T11:49:02+00:00,2026-07-26T11:54:22+00:00,2026-07-26T11:49:02+00:00,2026-07-26T11:54:22+00:00,320.0,0,0.0,4.0,1,"[""2026-07-26T11:49:02Z""]",2026-07-26T11:54:22Z,2026-07-26T11:54:22Z,,,,,,,,,
b1,BBOB_F22,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/BBOB_F22/42,6,496564,2,31157,2,8273,2,21475,2,5954074,2,7726,2,1785285295.2855368,1785285292.8591971,1785285292.7651455,1785285292.7529793,1785285339.7617795,1785285292.714395,1785285292.714395,1785285339.7617795,47.04738450050354,main_b1_BBOB_F22_42,main,ok,0,265,309,309,,2026-07-26T11:56:27Z,2026-07-26T11:56:27Z,0.0,,,data/experiments/main/b1/exp_main_b1_BBOB_F22_42.jsonl,data/experiments/main/b1/exp_main_b1_BBOB_F22_42__real.parquet,,,429.771871,,264,488,0,1,1,0,0,0,133,89,"{""b1_gen"": 264, ""footer"": 1, ""guard"": 89, ""header"": 1, ""sonda"": 133}",2026-07-26T11:49:20+00:00,2026-07-26T11:56:27+00:00,2026-07-26T11:49:20+00:00,2026-07-26T11:56:27+00:00,427.0,0,0.0,6.0,1,"[""2026-07-26T11:49:20Z""]",2026-07-26T11:56:27Z,2026-07-26T11:56:27Z,,,,,,,,,
b1,BBOB_F37,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/BBOB_F37/42,6,906435,2,58110,2,13368,2,20794,2,9453396,2,12638,2,1785285298.5552123,1785285292.8921766,1785285292.7482643,1785285292.7526371,1785285356.494245,1785285292.7396,1785285292.7396,1785285356.494245,63.754645109176636,main_b1_BBOB_F37_42,main,ok,0,516,309,309,,2026-07-26T12:06:55Z,2026-07-26T12:06:55Z,0.0,,,data/experiments/main/b1/exp_main_b1_BBOB_F37_42.jsonl,data/experiments/main/b1/exp_main_b1_BBOB_F37_42__real.parquet,,,872.31913,,515,1124,0,1,1,0,0,0,259,348,"{""b1_gen"": 515, ""footer"": 1, ""guard"": 348, ""header"": 1, ""sonda"": 259}",2026-07-26T11:52:25+00:00,2026-07-26T12:06:55+00:00,2026-07-26T11:52:25+00:00,2026-07-26T12:06:55+00:00,870.0,0,0.0,13.0,1,"[""2026-07-26T11:52:25Z""]",2026-07-26T12:06:55Z,2026-07-26T12:06:55Z,,,,,,,,,
b1,BBOB_F49,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/BBOB_F49/42,6,882453,2,56956,2,11302,2,22199,2,9570856,2,12041,2,1785285297.1925123,1785285292.9015107,1785285292.7482705,1785285622.3616333,1785285429.3418229,1785285684.8677258,1785285292.7482705,1785285684.8677258,392.1194553375244,main_b1_BBOB_F49_42,main,ok,0,505,309,309,,2026-07-26T12:06:45Z,2026-07-26T12:06:45Z,0.0,,,data/experiments/main/b1/exp_main_b1_BBOB_F49_42.jsonl,data/experiments/main/b1/exp_main_b1_BBOB_F49_42__real.parquet,,,836.982062,,504,1088,0,1,1,0,0,0,253,329,"{""b1_gen"": 504, ""footer"": 1, ""guard"": 329, ""header"": 1, ""sonda"": 253}",2026-07-26T11:52:50+00:00,2026-07-26T12:06:45+00:00,2026-07-26T11:52:50+00:00,2026-07-26T12:06:45+00:00,835.0,0,0.0,12.0,1,"[""2026-07-26T11:52:50Z""]",2026-07-26T12:06:45Z,2026-07-26T12:06:45Z,,,,,,,,,
b1,BBOB_F5,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/BBOB_F5/42,6,423230,2,25779,2,7204,2,22193,2,5681041,2,6586,2,1785285339.6469343,1785285293.2439902,1785285293.5097263,1785285293.2288117,1785285332.6191366,1785285293.127581,1785285293.127581,1785285339.6469343,46.51935338973999,main_b1_BBOB_F5_42,main,ok,0,215,309,309,,2026-07-26T12:00:06Z,2026-07-26T12:00:06Z,0.0,,,data/experiments/main/b1/exp_main_b1_BBOB_F5_42.jsonl,data/experiments/main/b1/exp_main_b1_BBOB_F5_42__real.parquet,,,331.996878,,214,427,0,1,1,0,0,0,108,103,"{""b1_gen"": 214, ""footer"": 1, ""guard"": 103, ""header"": 1, ""sonda"": 108}",2026-07-26T11:54:36+00:00,2026-07-26T12:00:06+00:00,2026-07-26T11:54:36+00:00,2026-07-26T12:00:06+00:00,330.0,0,0.0,5.0,1,"[""2026-07-26T11:54:36Z""]",2026-07-26T12:00:06Z,2026-07-26T12:00:06Z,,,,,,,,,
b1,BBOB_F55,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/BBOB_F55/42,6,380421,2,24408,2,6927,2,22254,2,5449583,2,6409,2,1785285823.5314724,1785285695.1030421,1785285684.9244313,1785285694.7219434,1785285730.7547245,1785285293.1546772,1785285293.1546772,1785285823.5314724,530.3767952919006,main_b1_BBOB_F55_42,main,ok,0,202,309,309,,2026-07-26T11:59:46Z,2026-07-26T11:59:46Z,0.0,,,data/experiments/main/b1/exp_main_b1_BBOB_F55_42.jsonl,data/experiments/main/b1/exp_main_b1_BBOB_F55_42__real.parquet,,,307.248087,,201,309,0,1,1,0,0,0,102,4,"{""b1_gen"": 201, ""footer"": 1, ""guard"": 4, ""header"": 1, ""sonda"": 102}",2026-07-26T11:54:40+00:00,2026-07-26T11:59:46+00:00,2026-07-26T11:54:40+00:00,2026-07-26T11:59:46+00:00,306.0,0,0.0,5.0,1,"[""2026-07-26T11:54:40Z""]",2026-07-26T11:59:46Z,2026-07-26T11:59:46Z,,,,,,,,,
b1,DTLZ1,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/DTLZ1/42,6,326958,2,19211,2,3376,2,14479,2,3372186,2,5702,2,1785285295.6188369,1785285293.15743,1785285293.2738266,1785285294.2010944,1785285323.985833,1785285293.235408,1785285293.15743,1785285323.985833,30.828402996063232,main_b1_DTLZ1_42,main,ok,0,154,216,216,,2026-07-26T11:42:35Z,2026-07-26T11:42:35Z,0.0,,,data/experiments/main/b1/exp_main_b1_DTLZ1_42.jsonl,data/experiments/main/b1/exp_main_b1_DTLZ1_42__real.parquet,,,186.891935,,153,394,0,1,1,0,0,0,78,161,"{""b1_gen"": 153, ""footer"": 1, ""guard"": 161, ""header"": 1, ""sonda"": 78}",2026-07-26T11:39:30+00:00,2026-07-26T11:42:35+00:00,2026-07-26T11:39:30+00:00,2026-07-26T11:42:35+00:00,185.0,0,0.0,3.0,1,"[""2026-07-26T11:39:30Z""]",2026-07-26T11:42:35Z,2026-07-26T11:42:35Z,,,,,,,,,
b1,DTLZ2,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/DTLZ2/42,6,456410,2,28553,2,8015,2,34458,2,9542025,2,7222,2,1785285295.5702624,1785285293.312454,1785285293.297757,1785285293.520402,1785285359.7816677,1785285293.4059649,1785285293.297757,1785285359.7816677,66.48391079902649,main_b1_DTLZ2_42,main,ok,0,241,371,371,,2026-07-26T12:12:25Z,2026-07-26T12:12:25Z,0.0,,,data/experiments/main/b1/exp_main_b1_DTLZ2_42.jsonl,data/experiments/main/b1/exp_main_b1_DTLZ2_42__real.parquet,,,433.853162,,240,441,0,1,1,0,0,0,121,78,"{""b1_gen"": 240, ""footer"": 1, ""guard"": 78, ""header"": 1, ""sonda"": 121}",2026-07-26T12:05:13+00:00,2026-07-26T12:12:25+00:00,2026-07-26T12:05:13+00:00,2026-07-26T12:12:25+00:00,432.0,0,0.0,6.0,1,"[""2026-07-26T12:05:13Z""]",2026-07-26T12:12:25Z,2026-07-26T12:12:25Z,,,,,,,,,
b1,DTLZ3,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/DTLZ3/42,6,458607,2,28541,2,8015,2,32600,2,8552397,2,7320,2,1785285298.0097103,1785285293.5702937,1785285293.412408,1785285293.6420205,1785285347.2725585,1785285293.5601518,1785285293.412408,1785285347.2725585,53.86015033721924,main_b1_DTLZ3_42,main,ok,0,241,371,371,,2026-07-26T12:12:33Z,2026-07-26T12:12:33Z,0.0,,,data/experiments/main/b1/exp_main_b1_DTLZ3_42.jsonl,data/experiments/main/b1/exp_main_b1_DTLZ3_42__real.parquet,,,420.18939,,240,592,0,1,1,0,0,0,121,229,"{""b1_gen"": 240, ""footer"": 1, ""guard"": 229, ""header"": 1, ""sonda"": 121}",2026-07-26T12:05:35+00:00,2026-07-26T12:12:33+00:00,2026-07-26T12:05:35+00:00,2026-07-26T12:12:33+00:00,418.0,0,0.0,6.0,1,"[""2026-07-26T12:05:35Z""]",2026-07-26T12:12:33Z,2026-07-26T12:12:33Z,,,,,,,,,
