config,exp,problema,q,t_total,t_fit,t_busca,t_aval,t_sonda,cobertura,frac_aval
c149,batch,DTLZ2,10,15112.3629,13094.218,1973.7455,0.0915,2.9731,0.9972648354017492,6.05464549822318e-06
c149,batch,MMF16_20,10,16727.4201,14581.5373,2101.0729,0.1112,3.0924,0.9975126887618492,6.647767517956938e-06
c149,batch,WFG9,10,16737.5303,14622.0915,2067.6136,3.4238,3.0403,0.997528840918663,0.0002045582555271013
c149,batch,ZDT1,10,17894.1298,15601.6305,2246.6484,0.0681,3.051,0.9976119654614329,3.805717336419455e-06
c149,batch,ZDT4,10,15164.567,13143.9838,1973.2516,0.0714,3.0463,0.9970843941670079,4.708344128783895e-06
e81,batch,DTLZ2,10,5721.3468,4707.0269,896.8599,0.0614,73.488,0.9923251287616405,1.0731738897561673e-05
e81,batch,MMF16_20,10,12962.5359,10719.1901,2073.897,0.0831,77.688,0.9929274872827931,6.4107826308893765e-06
e81,batch,WFG9,10,4501.3464,2381.7805,2018.4706,2.0993,61.5486,0.991680844646837,0.0004663715727365483
e81,batch,ZDT1,10,7999.9668,4188.4166,3717.3929,0.051,64.7966,0.9963362722955299,6.3750264563597935e-06
e81,batch,ZDT4,10,2076.7516,1615.7028,398.1868,0.0429,35.1694,0.986686082244983,2.065726108023704e-05
sobol_batch,batch,DTLZ2,10,3.2655,0.0,0.1604,0.0,0.0,0.04911958352472822,0.0
sobol_batch,batch,MMF16_20,10,3.3378,0.0,0.2064,0.0,0.0,0.061837138234765415,0.0
sobol_batch,batch,WFG9,10,6.8203,0.0,0.2439,0.0,0.0,0.03576089028341862,0.0
sobol_batch,batch,ZDT1,10,3.3356,0.0,0.268,0.0,0.0,0.08034536515169685,0.0
sobol_batch,batch,ZDT4,10,3.1561,0.0,0.1415,0.0,0.0,0.0448338138842242,0.0
