problema,D,M,N,n_ger,transicoes,subst_total,subst_por_ger,taxa_subst,co_subst_total,frac_co,pares_id_ini,pares_id_fim,distintos_ini,distintos_fim,doe_ini,doe_fim
BBOB_F1,10,2,20,12,11,114,10.363636363636363,0.5181818181818182,69,0.6052631578947368,0,8,20,16,20,0
BBOB_F17,10,2,20,14,13,148,11.384615384615385,0.5692307692307692,121,0.8175675675675675,0,17,20,11,20,0
BBOB_F22,10,2,20,14,13,150,11.538461538461538,0.5769230769230769,113,0.7533333333333333,0,18,20,11,20,0
BBOB_F37,10,2,20,13,12,119,9.916666666666666,0.49583333333333335,67,0.5630252100840336,0,9,20,15,20,0
BBOB_F49,10,2,20,14,13,91,7.0,0.35,74,0.8131868131868132,0,16,20,12,20,0
BBOB_F5,10,2,20,14,13,156,12.0,0.6,126,0.8076923076923077,0,17,20,11,20,0
BBOB_F55,10,2,20,13,12,126,10.5,0.525,87,0.6904761904761905,0,9,20,15,20,0
DTLZ1,7,3,15,11,10,69,6.9,0.46,21,0.30434782608695654,0,4,15,12,15,0
DTLZ2,12,3,15,17,16,123,7.6875,0.5125,28,0.22764227642276422,0,2,15,14,15,0
DTLZ3,12,3,15,18,17,117,6.882352941176471,0.4588235294117647,44,0.37606837606837606,0,3,15,13,15,0
DTLZ4,12,3,15,18,17,148,8.705882352941176,0.5803921568627451,46,0.3108108108108108,0,5,15,12,15,0
DTLZ7,22,3,15,33,32,303,9.46875,0.63125,127,0.41914191419141916,0,3,15,13,15,0
MMF1,2,2,20,3,2,21,10.5,0.525,12,0.5714285714285714,0,14,20,12,20,6
MMF11_L,2,2,20,3,2,28,14.0,0.7,18,0.6428571428571429,0,14,20,13,20,1
MMF16_20,20,3,15,29,28,266,9.5,0.6333333333333333,84,0.3157894736842105,0,3,15,13,15,0
MMF4,2,2,20,3,2,25,12.5,0.625,15,0.6,0,12,20,14,20,4
WFG1,22,2,20,31,30,288,9.6,0.48,199,0.6909722222222222,0,14,20,13,20,0
WFG2,22,2,20,27,26,250,9.615384615384615,0.4807692307692308,152,0.608,0,10,20,15,20,0
WFG4,22,2,20,27,26,204,7.846153846153846,0.3923076923076923,127,0.6225490196078431,0,8,20,16,20,0
WFG5,22,2,20,26,25,217,8.68,0.434,115,0.5299539170506913,0,3,20,18,20,0
WFG9,22,2,20,25,24,157,6.541666666666667,0.32708333333333334,54,0.34394904458598724,0,2,20,19,20,0
ZDT1,30,2,20,38,37,328,8.864864864864865,0.44324324324324327,212,0.6463414634146342,0,11,20,14,20,0
ZDT3,30,2,20,38,37,360,9.72972972972973,0.4864864864864865,224,0.6222222222222222,0,7,20,16,20,0
ZDT4,10,2,20,14,13,111,8.538461538461538,0.4269230769230769,87,0.7837837837837838,0,17,20,11,20,0
ZDT6,10,2,20,14,13,145,11.153846153846153,0.5576923076923077,115,0.7931034482758621,0,11,20,14,20,0
