problema,D,M,maxfe,maxfe_esperado,u1_maxfe_ok,u1_len_real,u1_len_ok,u1_fe_final_ok,u1_feindex_denso,u1_sid_unicos,u1_dupX,u1_status,u1_nretries,u1_termino,u1_n_footers,u1_fallback,u1_hardstop_guards,u2_n_init,u2_init_ok,u2_dX_max,u2_hash_ok,u2_cp_init,u2_init_prefixo,u2_fases,u3_sur_linhas,u3_tempo_fit_null,u3_tempo_busca_null,u3_tempo_sonda_null,u3_sigma_dict,u3_sonda_status,u3_sonda_nblocos,u3_fit_series_vazia,u3_timing_fit_null_man,u3_timing_busca_null_man,u3_timing_sonda_null_man,u7_n_tim,u7_len_ok,u7_ger_seq,u7_dt_max,u7_soma_ger,u7_total,u7_soma_le_total,u7_aval_real,u7_nacum,u7_nacum_eq_fe,u9_cache_guards,u9_cache_man,u9_cache_footer,u9_recon_ok,u9_guard_nomes,u9_ch_fe_min,u9_ch_no_init,u9_ch_sid_valido,u10_n_gen_man,u10_n_gen_jsonl,u10_gen_ok,u10_pop_ngrupos,u10_pop_N_const,u10_pop_N,u10_pop_linhas,u10_pop_linhas_ok,u10_pop_gers,u10_ledger_viol,u10_ledger_det,u10_resto_final,u10_sids_pop_validos,p1_n_doe,p1_n_frentes,p1_n_frente1,p1_excede,p1_n_doe_ok,p1_sel_bitexata,p1_sel_inter,p1_nfrentes_recomp,p1_nfrente1_recomp,p1_nfrentes_ok,p1_nfrente1_ok,p1_pop_g1_todos_init,p2_N_nominal,p2_N_efetivo,p2_N_eq,p2_npop_gens,p2_npop_const20,p2_footer_Nef,p3_orc_infill,p3_ger_prevista,p3_ger_obs,p3_ger_teorica_20D,p4_elit_viol,p4_elit_pares,p4_turnover_med,p4_turnover_max,p4_turnover_min,p4_turnover_zero,p4_sobrev_doe_final,p5_ideal_viol,p5_ideal_viol_max,p5_fbest_eq_ideal,p5_ideal_ganho,p5_nadir1_subidas,p5_nadirpop_subidas,p5_nadir1_le_pop,p6_nf1_ini,p6_nf1_fim,p6_nf1_med,p6_nf1_max,p6_nf1_satura,p6_nf1_le_N,p6_nf1_ger_sat1,p7_ch_taxa,p7_offspring_slots,p8_pop_npop_ok,p8_nf1_recomp_ok,p8_nf1_recomp_n,p8_ideal_dmax,p8_nadir1_dmax,p8_nadirpop_dmax,n1_patches,n1_surrogate,n1_operadores,n1_parameter,n1_principio,n1_algo_version,n1_piso_flag,n1_surr_flag,n1_env_matlab,n1_repo_hash,n2_x_min,n2_x_max,n2_f_nan,n2_x_nan
BBOB_F1,10,2,309,309,True,309,True,True,True,309,0,ok,0,normal,1,False,1,109,True,0.0,True,True,True,init|opt,0,True,True,True,False,nao_se_aplica,0,True,True,True,True,11,True,True,6.226539617237847e-09,0.4825279712677002,4.459311,True,0.07799999999999993,nan,False,38,38,38,True,cache_hit|hard_stop,109,21,True,11,11,True,11,True,20,220,True,1..11,2,"[(5, 20, 1), (7, 16, 3)]",16,True,109,17,7,False,True,True,20,17,7,True,True,True,20,20,True,20,True,20,200,10,11,10.0,0,10,8.7,12,5,0,0,0,0.0,True,18.27|34.92,3,2,True,7,20,14.0,20,2,True,9,0.19,200,False,6,11,1.1783028028844456e-06,5.0529917814401415e-06,5.0529917814401415e-06,NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,Balde C: OperatorGA stock (SBX proC=1 dis_c=20; PM proM=1 dis_m=20),nenhum (NSGA-II stock nao expoe parametro),dominancia/Pareto,piso-NSGAII-PlatEMO4.15,True,False,25.1.0.2973910 (R2025a) Update 1,,-4.983510494232178,4.994968414306641,0,0
BBOB_F17,10,2,309,309,True,309,True,True,True,309,0,ok,0,normal,1,False,1,109,True,0.0,True,True,True,init|opt,0,True,True,True,False,nao_se_aplica,0,True,True,True,True,11,True,True,5.239486705610474e-09,0.5337860584259033,4.467689,True,0.13726999999999995,nan,False,30,30,30,True,cache_hit|hard_stop,109,21,True,11,11,True,11,True,20,220,True,1..11,2,"[(5, 18, 3), (6, 18, 1)]",7,True,109,14,6,False,True,True,20,14,6,True,True,True,20,20,True,20,True,20,200,10,11,10.0,0,10,9.3,12,6,0,0,0,0.0,True,4.943e+05|6.66,6,7,True,6,13,8.545454545454545,13,0,True,-1,0.15,200,False,6,11,0.029842624440789223,0.9693664312362671,1.7415949627757072,NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,Balde C: OperatorGA stock (SBX proC=1 dis_c=20; PM proM=1 dis_m=20),nenhum (NSGA-II stock nao expoe parametro),dominancia/Pareto,piso-NSGAII-PlatEMO4.15,True,False,25.1.0.2973910 (R2025a) Update 1,,-5.0,4.9993181228637695,0,0
BBOB_F22,10,2,309,309,True,309,True,True,True,309,0,ok,0,normal,1,False,1,109,True,0.0,True,True,True,init|opt,0,True,True,True,False,nao_se_aplica,0,True,True,True,True,11,True,True,1.8916130051227498e-09,0.49987196922302246,4.389883,True,0.11232699999999991,nan,False,24,24,24,True,cache_hit|hard_stop,109,21,True,11,11,True,11,True,20,220,True,1..11,0,[],3,True,109,20,5,False,True,True,20,20,5,True,True,True,20,20,True,20,True,20,200,10,11,10.0,0,10,9.4,13,5,0,0,0,0.0,True,170.8|487.7,4,5,True,5,20,9.0,20,2,True,10,0.12,200,False,10,11,5.931727241659246e-05,0.003909185965312645,0.029708000598475337,NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,Balde C: OperatorGA stock (SBX proC=1 dis_c=20; PM proM=1 dis_m=20),nenhum (NSGA-II stock nao expoe parametro),dominancia/Pareto,piso-NSGAII-PlatEMO4.15,True,False,25.1.0.2973910 (R2025a) Update 1,,-5.0,5.0,0,0
BBOB_F37,10,2,309,309,True,309,True,True,True,309,0,ok,0,normal,1,False,1,109,True,0.0,True,True,True,init|opt,0,True,True,True,False,nao_se_aplica,0,True,True,True,True,11,True,True,6.3047408960237306e-09,0.5201449990272522,4.544575,True,0.13711299999999993,nan,False,24,24,24,True,cache_hit|hard_stop,109,21,True,11,11,True,11,True,20,220,True,1..11,0,[],3,True,109,17,5,False,True,True,20,17,5,True,True,True,20,20,True,20,True,20,200,10,11,10.0,0,10,7.9,10,4,0,0,0,0.0,True,330.9|117.1,3,2,True,5,14,11.636363636363637,20,1,True,8,0.12,200,False,10,11,2.4981133719848003e-05,4.7480949433520436e-05,5.4699802149116294e-05,NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,Balde C: OperatorGA stock (SBX proC=1 dis_c=20; PM proM=1 dis_m=20),nenhum (NSGA-II stock nao expoe parametro),dominancia/Pareto,piso-NSGAII-PlatEMO4.15,True,False,25.1.0.2973910 (R2025a) Update 1,,-4.980626106262207,4.998353958129883,0,0
BBOB_F49,10,2,309,309,True,309,True,True,True,309,0,ok,0,normal,1,False,1,109,True,0.0,True,True,True,init|opt,0,True,True,True,False,nao_se_aplica,0,True,True,True,True,11,True,True,1.0713577247578598e-08,0.8282780051231384,5.2227,True,0.5794209999999996,nan,False,24,24,24,True,cache_hit|hard_stop,109,21,True,11,11,True,11,True,20,220,True,1..11,0,[],3,True,109,20,5,False,True,True,20,20,5,True,True,True,20,20,True,20,True,20,200,10,11,10.0,0,10,7.1,12,4,0,0,0,0.0,True,25.4|11.57,1,1,True,5,8,9.636363636363637,15,0,True,-1,0.12,200,False,9,11,4.028690000268398e-06,5.246920159152069e-05,5.246920159152069e-05,NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,Balde C: OperatorGA stock (SBX proC=1 dis_c=20; PM proM=1 dis_m=20),nenhum (NSGA-II stock nao expoe parametro),dominancia/Pareto,piso-NSGAII-PlatEMO4.15,True,False,25.1.0.2973910 (R2025a) Update 1,,-4.967920780181885,5.0,0,0
BBOB_F5,10,2,309,309,True,309,True,True,True,309,0,ok,0,normal,1,False,1,109,True,0.0,True,True,True,init|opt,0,True,True,True,False,nao_se_aplica,0,True,True,True,True,11,True,True,3.6830902216955508e-09,0.4767460525035858,4.438904,True,0.08485699999999999,nan,False,27,27,27,True,cache_hit|hard_stop,109,21,True,11,11,True,11,True,20,220,True,1..11,1,"[(10, 18, 3)]",5,True,109,22,7,False,True,True,20,22,7,True,True,True,20,20,True,20,True,20,200,10,11,10.0,0,10,8.8,12,6,0,0,0,0.0,True,40.23|136.4,4,4,True,7,20,10.909090909090908,20,1,True,11,0.135,200,False,7,11,2.9309754609130323e-05,6.038869037183758e-05,8.418854213232407e-05,NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,Balde C: OperatorGA stock (SBX proC=1 dis_c=20; PM proM=1 dis_m=20),nenhum (NSGA-II stock nao expoe parametro),dominancia/Pareto,piso-NSGAII-PlatEMO4.15,True,False,25.1.0.2973910 (R2025a) Update 1,,-4.996821880340576,5.0,0,0
BBOB_F55,10,2,309,309,True,309,True,True,True,309,0,ok,0,normal,1,False,1,109,True,0.0,True,True,True,init|opt,0,True,True,True,False,nao_se_aplica,0,True,True,True,True,11,True,True,5.885124193527602e-09,1.2705010175704956,5.45224,True,1.1754899999999993,nan,False,27,27,27,True,cache_hit|hard_stop,109,21,True,11,11,True,11,True,20,220,True,1..11,2,"[(5, 19, 2), (6, 17, 2)]",6,True,109,17,4,False,True,True,20,17,4,True,True,True,20,20,True,20,True,20,200,10,11,10.0,0,10,7.3,9,4,0,0,0,0.0,True,33.66|32.77,5,3,True,4,6,8.454545454545455,13,0,True,-1,0.135,200,False,8,11,1.8221229538539774e-06,3.14898464637281e-06,3.14898464637281e-06,NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,Balde C: OperatorGA stock (SBX proC=1 dis_c=20; PM proM=1 dis_m=20),nenhum (NSGA-II stock nao expoe parametro),dominancia/Pareto,piso-NSGAII-PlatEMO4.15,True,False,25.1.0.2973910 (R2025a) Update 1,,-5.0,4.996640682220459,0,0
DTLZ1,7,3,216,216,True,216,True,True,True,216,0,ok,0,normal,1,False,1,76,True,0.0,True,True,True,init|opt,0,True,True,True,False,nao_se_aplica,0,True,True,True,True,8,True,True,4.457473778973764e-09,0.5719410181045532,4.27355,True,0.07693200000000004,nan,False,23,23,23,True,cache_hit|hard_stop,76,21,True,8,8,True,8,True,20,160,True,1..8,0,[],2,True,76,6,17,False,True,True,20,6,17,True,True,True,20,20,True,20,True,20,140,7,8,7.0,0,7,8.571428571428571,9,8,0,0,0,0.0,True,0.21|0.1206|0.2243,6,8,True,17,20,16.625,20,1,True,8,0.16428571428571428,140,True,8,8,6.345320546774502e-09,1.409419786568833e-05,1.4448048830217886e-05,NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,Balde C: OperatorGA stock (SBX proC=1 dis_c=20; PM proM=1 dis_m=20),nenhum (NSGA-II stock nao expoe parametro),dominancia/Pareto,piso-NSGAII-PlatEMO4.15,True,False,25.1.0.2973910 (R2025a) Update 1,,0.0,1.0,0,0
DTLZ2,12,3,371,371,True,371,True,True,True,371,0,ok,0,normal,1,False,1,131,True,0.0,True,True,True,init|opt,0,True,True,True,False,nao_se_aplica,0,True,True,True,True,13,True,True,7.0943832475300894e-09,0.5057160258293152,4.329258,True,0.10087899999999989,nan,False,25,25,25,True,cache_hit|hard_stop,131,21,True,13,13,True,13,True,20,260,True,1..13,0,[],4,True,131,6,40,True,True,True,20,6,40,True,True,True,20,20,True,20,True,20,240,12,13,12.0,0,12,8.5,11,5,0,0,0,0.0,True,0.0006324|0.01561|0.008002,6,6,True,20,20,20.0,20,13,True,1,0.10416666666666667,240,True,13,13,2.667471174500058e-10,4.949201803938763e-08,4.949201803938763e-08,NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,Balde C: OperatorGA stock (SBX proC=1 dis_c=20; PM proM=1 dis_m=20),nenhum (NSGA-II stock nao expoe parametro),dominancia/Pareto,piso-NSGAII-PlatEMO4.15,True,False,25.1.0.2973910 (R2025a) Update 1,,0.0,1.0,0,0
DTLZ3,12,3,371,371,True,371,True,True,True,371,0,ok,0,normal,1,False,1,131,True,0.0,True,True,True,init|opt,0,True,True,True,False,nao_se_aplica,0,True,True,True,True,13,True,True,4.854202262372098e-09,0.534248948097229,4.68587,True,0.09627999999999994,nan,False,24,24,24,True,cache_hit|hard_stop,131,21,True,13,13,True,13,True,20,260,True,1..13,0,[],3,True,131,7,19,False,True,True,20,7,19,True,True,True,20,20,True,20,True,20,240,12,13,12.0,0,12,7.583333333333333,10,5,0,0,0,0.0,True,0.3943|0.8814|8.05,5,6,True,19,15,18.153846153846153,20,7,True,2,0.1,240,False,12,13,2.4908005791246524e-07,6.077836474105425e-05,6.077836474105425e-05,NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,Balde C: OperatorGA stock (SBX proC=1 dis_c=20; PM proM=1 dis_m=20),nenhum (NSGA-II stock nao expoe parametro),dominancia/Pareto,piso-NSGAII-PlatEMO4.15,True,False,25.1.0.2973910 (R2025a) Update 1,,0.0,1.0,0,0
