problema,D,M,gers,nf1_mismatch,nf1_recomp_maior,nf1_recomp_menor,pts_demotados,demot_com_empate_f32,f_zeros,f_total,f_denormal,exemplo
BBOB_F1,10,2,11,0,0,0,0,0,0,618,0,[]
BBOB_F17,10,2,11,0,0,0,0,0,0,618,0,[]
BBOB_F22,10,2,11,0,0,0,0,0,0,618,0,[]
BBOB_F37,10,2,11,0,0,0,0,0,0,618,0,[]
BBOB_F49,10,2,11,0,0,0,0,0,0,618,0,[]
BBOB_F5,10,2,11,0,0,0,0,0,0,618,0,[]
BBOB_F55,10,2,11,0,0,0,0,0,0,618,0,[]
DTLZ1,7,3,8,0,0,0,0,0,43,648,0,[]
DTLZ2,12,3,13,0,0,0,0,0,11,1113,0,[]
DTLZ3,12,3,13,0,0,0,0,0,58,1113,0,[]
DTLZ4,12,3,13,13,0,13,134,143,357,1113,31,"[(1, [np.float64(1.975966215133667), np.float64(0.0), np.float64(0.0)], [np.float64(1.8271445035934448), np.float64(0.0), np.float64(0.0)])]"
DTLZ7,22,3,23,9,0,9,16,23,123,2043,0,"[(2, [np.float64(0.012687565758824348), np.float64(0.039845872670412064), np.float64(22.306604385375977)], [np.float64(0.012687565758824348), np.float64(0.03743503987789154), np.float64(21.864103317260742)])]"
MMF1,2,2,3,2,0,2,2,4,0,122,0,"[(2, [np.float64(0.0016209034947678447), np.float64(1.5648775100708008)], [np.float64(0.0016209034947678447), np.float64(1.3687256574630737)])]"
MMF11_L,2,2,3,0,0,0,0,0,0,122,0,[]
MMF16_20,20,3,21,0,0,0,0,0,62,1857,0,[]
MMF4,2,2,3,1,1,0,-1,3,0,122,0,"[(2, [np.float64(0.7197895050048828), np.float64(0.5786829590797424)], [np.float64(0.7197895050048828), np.float64(0.5540383458137512)])]"
WFG1,22,2,23,0,0,0,0,0,0,1362,0,[]
WFG2,22,2,23,0,0,0,0,0,0,1362,0,[]
WFG4,22,2,23,0,0,0,0,0,0,1362,0,[]
WFG5,22,2,23,0,0,0,0,0,0,1362,0,[]
WFG9,22,2,23,0,0,0,0,0,0,1362,0,[]
ZDT1,30,2,31,10,0,10,13,44,64,1858,0,"[(2, [np.float64(0.0013779643923044205), np.float64(6.057699203491211)], [np.float64(0.0013779643923044205), np.float64(5.333102703094482)])]"
ZDT3,30,2,31,14,0,14,20,48,55,1858,0,"[(2, [np.float64(0.8412290811538696), np.float64(2.1426162719726562)], [np.float64(0.8412290811538696), np.float64(2.008141040802002)])]"
ZDT4,10,2,11,0,0,0,0,0,0,618,0,[]
ZDT6,10,2,11,1,0,1,2,7,0,618,0,"[(3, [np.float64(0.3118826150894165), np.float64(8.4010648727417)], [np.float64(0.3118826150894165), np.float64(8.200029373168945)])]"
